Burned (Dead?) ,Tree,Depth (cm),Wet mass of core (cm) <--- Including bag,Soil mass (extraction tube) (ideal= 2.0g),Soil mass in pH tube (g)~5g +- 1,Sol mass saved in whirl-top bag (g) ~40-50g,Notes,"Weighers LB, EW, BL Deep cores: 63.6cm from the tree, snaller cores 39cm",,,,,,,,,,,,,,,,,
"Dead, Burned",T07,90-100,783.3,1.9,5,40.3,"Starting depth, 90cm ending depth 96cm. Spilled ~ 1/3 of sample after sieving",,,,,,,,,,,,,,,,,,
"Dead, Burned",T07,0-7.5,581.2,2,4.4,42.1,"Some roots, fire layer",,,,,,,,,,,,,,,,,,
"Dead, Burned",T07,7.5-15,893.6,2.1,5,47.5,some roots,,,,,,,,,,,,,,,,,,
"Dead, Burned",T07,15-22.5,780.3,2.1,5,48.4,lots of mycorrhizas on roots. Are they alive?,,,,,,,,,,,,,,,,,,
"Dead, Burned",T07,22.5-30,974.8,2.1,5.5,48.7,Very dense,,,,,,,,,,,,,,,,,,
"Dead, Burned",T07,30-37.5,919.1,2,4.9,49.2,,,,,,,,,,,,,,,,,,,
"Dead, Burned",T07,37.5-45,497.3,2,4.3,49.2,Hit huge root; could not extract core intact. Don't trust bulk density for this core,,,,,,,,,,,,,,,,,,
