Sample_ID,pH,Notes
DO-T02-0-7.5,6.79,"6.64,6.88  Neelima pH meter <--- Uncalibrated"
DO-T02-30-37.5,5.2,
DO-T02-15-22.5,5.91,
DO-T02-22.5-30,5.61,
DO-T02-37.5-45,4.98,
DO-T02-7.5-15,6.25,
Blank CaCl2,5.82,
