Sample_ID,pH,Notes
DO-T03-0-7.5,6.77,Measurer was EW
DO-T03-7.5-15,6.81,
DO-T03-15-22.5,6.09,
DO-T03-22.5-30,6.47,
DO-T03-30-37.5,6.01,
DO-T03-37.5-45,6.31,
DO-T04-0-7.5,7.03,
DO-T04-7.5-15,6.4,
DO-T04-15-22.5,6.21,
DO-T04-22.5-30,5.78,
DO-T04-30-37.5,4.32,
DO-T04-37.5-45,4.16,
DO-T04-90-100,4.39,
Control,7.1,
