baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species,combined_traits
99.00008,1.46483,0.41272,3.54924,3.86E-04,1.63E-02,k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__,s__,unassigned
78.27658,1.42324,0.36108,3.94161,8.09E-05,5.23E-03,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__,s__,aerobic_chemoheterotrophy
14.77287,1.35189,0.40738,3.31848,9.05E-04,2.80E-02,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
11.19719,-1.46355,0.45549,-3.21314,1.31E-03,3.36E-02,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__,s__,aerobic_chemoheterotrophy
39.48678,-1.48056,0.40103,-3.69186,2.23E-04,1.15E-02,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__Singulisphaera,s__acidiphila,xylanolysisaerobic_chemoheterotrophyureolysis
10.18387,-1.49963,0.48603,-3.08543,2.03E-03,4.38E-02,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__,unassigned
59.09998,-1.56379,0.42536,-3.67635,2.37E-04,1.20E-02,k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__,s__,unassigned
17.52222,-1.60660,0.47094,-3.41145,6.46E-04,2.28E-02,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__TRA3-20,g__,s__,aerobic_chemoheterotrophy
17.07497,-1.70585,0.47420,-3.59736,3.21E-04,1.44E-02,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Ramlibacter,s__,aerobic_chemoheterotrophy
13.50753,-1.81361,0.45737,-3.96526,7.33E-05,5.02E-03,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__,s__,unassigned
14.36788,-1.90021,0.52497,-3.61967,2.95E-04,1.35E-02,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Ramlibacter,s__,aerobic_chemoheterotrophy
28.93285,-1.91961,0.62117,-3.09032,2.00E-03,4.35E-02,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Mycetocola,s__,aerobic_chemoheterotrophy
32.44780,-2.00785,0.63548,-3.15956,1.58E-03,3.79E-02,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
68.43408,-2.39046,0.68024,-3.51414,4.41E-04,1.80E-02,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__albus,aerobic_chemoheterotrophyaromatic_compound_degradation
22.50434,-3.70415,0.89878,-4.12132,3.77E-05,2.74E-03,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae,g__Reyranella,s__,aerobic_chemoheterotrophy
23.43261,-4.22314,0.98512,-4.28691,1.81E-05,1.69E-03,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__,s__,aerobic_chemoheterotrophy
23.14668,-30.00000,0.83077,-36.11103,1.52E-285,3.54E-282,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Lautropia,s__,fermentationaerobic_chemoheterotrophy
