DO_ID,PLFA_Total_Living_Microbial_Biomass_ng_g,PLFA_Total_Bacteria_ng_g,PLFA_Total_Bacteria_Percent_of_Total_Biomass,PLFA_Gram_Plus_Bacteria_ng_g,PLFA_Gram_Plus_Bacteria_Percent_of_Total_Biomass,PLFA_Actinobacteria_ng_g,PLFA_Actinobacteria_Percent_of_Total_Biomass,PLFA_Gram_Negative_Bacteria_ng_g,PLFA_Gram_Negative_Bacteria_Percent_of_Total_Biomass,PLFA_Total_Fungi_ng_g,PLFA_Arbuscular_Mycorrhizal_Fungi_ng_g,PLFA_Saprotrophic_Fungi_Percent_of_Total_Biomass,PLFA_Saprotrophic_Fungi_ng_g,PLFA_Protozoa_Percent_of_Total_Biomass,PLFA_Protozoa_ng_g,PLFA_Undifferentiated_Percent_of_Total_Biomass,PLFA_Undifferentiated_ng_g,PLFA_Fungi_Bacteria_Ratio_ng_g,PLFA_Predator_Prey_Ratio_ng_g,PLFA_Gram_Positive_Gram_Negative_Ratio_ng_g,PLFA_Saturated_Unsaturated_Ratio_ng_g,PLFA_Monounsaturated_Polyunsaturated_Ratio_ng_g
DO_T06_15-22.5,2620.3,612.73,23.38,355.5,13.57,159.88,6.1,257.23,9.82,324.94,31.07,11.22,293.87,0.98,25.63,63.24,1657.01,0.53,0.04,1.38,2.34,1.9
DO_T06_22.5-30,3402.67,1124.26,33.04,629.99,18.51,320.67,9.42,494.27,14.53,330.25,54.19,8.11,276.06,1.02,34.76,56.23,1913.4,0.29,0.03,1.27,2.37,3.13
DO_T06_30-37.5,2196.33,796.91,36.28,417.43,19.01,226.69,10.32,379.48,17.28,158.64,27.89,5.95,130.76,0.69,15.07,55.81,1225.7,0.2,0.02,1.1,2.43,4.43
DO_T06_37.5-45,1477.28,474.49,32.12,262.07,17.74,140.64,9.52,212.41,14.38,112.24,19.06,6.31,93.18,0,0,60.28,890.55,0.24,0,1.23,3.46,4.13
DO_T07_0-7.5,5620.31,1570.77,27.95,651.35,11.59,204.56,3.64,919.43,16.36,1177.81,159.05,18.13,1018.76,2.25,126.69,48.84,2745.04,0.75,0.08,0.71,1.09,1.67
DO_T07_7.5-15,2739.73,639.57,23.34,326.68,11.92,128.15,4.68,312.89,11.42,278.16,36.84,8.81,241.33,0.6,16.56,65.5,1794.44,0.43,0.03,1.04,2.51,2.23
DO_T07_15-22.5,2890.26,723.67,25.04,343.34,11.88,117.18,4.05,380.33,13.16,311.02,32.55,9.63,278.47,0,0,64.2,1855.57,0.43,0,0.9,2.34,3.76
DO_T07_22.5-30,3222.14,904.94,28.09,393.59,12.22,155.75,4.83,511.36,15.87,340.53,49.76,9.02,290.77,0.5,15.98,60.85,1960.69,0.38,0.02,0.77,2.45,3.07
DO_T07_30-37.5,2733.93,795.75,29.11,365.35,13.36,146.83,5.37,430.4,15.74,297.65,43.87,9.28,253.77,0.6,16.31,59.41,1624.22,0.37,0.02,0.85,2.29,2.46
DO_T07_37.5-45,2828.21,992.49,35.09,476.39,16.84,197.89,7,516.1,18.25,323.26,52.82,9.56,270.44,0.77,21.64,52.71,1490.82,0.33,0.02,0.92,2.54,2.84
