Sample_ID,PerCMoisture,FM_AD_correction,FM_OD_correction,AD_OD_correction
DO_T02_0_7.5,29.50257289879932,0.8030565461029037,0.7721854304635761,0.961557980208069
DO_T02_22.5_30,28.636421079236698,0.8122605363984674,0.7773848118675705,0.9570633768746977
DO_T02_7.5_15,21.655426118945428,0.8523334341296239,0.8219937506299768,0.9644039735099339
DO_T02_37.5_45,22.94980119284294,0.8390096008084892,0.8133400707427995,0.9694049626596001
DO_T02_30_37.5,21.618053054855366,0.8471180418476114,0.822246348203711,0.9706396364907376
DO_T02_15_22.5,20.730976632714217,0.8527047146401985,0.8282878411910669,0.971365382376906
DO_T03_30_37.5,12.915129151291499,0.9109477124183006,0.8856209150326798,0.9721973094170405
DO_T03_37.5_45,14.219759926131125,0.9191592562651576,0.8755052546483427,0.9525065963060685
DO_T03_15_22.5,12.017406828832845,0.9229006873194542,0.8927183982468374,0.9672962763086886
DO_T03_0_7.5,6.194968553459115,0.9758167999210344,0.9416641989931892,0.9650010115314587
DO_T03_7.5_15,10.359268238924406,0.9371879368883563,0.9061314160175753,0.9668620138518912
DO_T03_22.5_30,13.643982567884672,0.9095378564405113,0.8799410029498526,0.9674594594594595
DO_T04_0_7.5,7.40106951871658,0.9631547500497909,0.9310894244174467,0.9667080231596361
DO_T04_7.5_15,8.64344439636522,0.9520063725978293,0.92044209897441,0.9668444723355297
DO_T04_15_22.5,8.670831538130113,0.9508375458420062,0.920210129844385,0.9677890128218493
DO_T04_22.5_30,8.299638220898062,0.953134211043427,0.9233641186873649,0.9687661065869498
DO_T04_30_37.5,10.839122284706141,0.9385196975726223,0.902208515718265,0.9613101547593811
DO_T04_37.5_45,12.098572702943793,0.9339500646573162,0.8920720183029942,0.9551602939610183
DO_T04_90_100,13.36332958380202,0.9231990474300457,0.8821194681484422,0.9555030094582975
DO_T05_0_7.5,4.039357845675822,0.9927327028372324,0.9611747137879542,0.9682109907741676
DO_T05_7.5_15,5.329284891634388,0.9803180914512923,0.949403578528827,0.9684648144392617
DO_T05_15_22.5,5.803152071808791,0.9750419256190195,0.9451514254710467,0.9693443949817887
DO_T05_22.5_30,5.709178845547253,0.9804058086333798,0.9459916451163717,0.9648980420006088
DO_T05_30_37.5,7.8487752928647385,0.9509232744149304,0.9272242519996051,0.9750778816199378
DO_T05_37.5_45,9.763572679509634,0.9545273234942162,0.9110490626246509,0.9544504805683243
DO_T05_60_70,11.797440178074579,0.9392732702837232,0.894474863115978,0.9523052464228935
DO_T05_90_98,13.154362416107388,0.9206207987346777,0.8837485172004744,0.9599484591431332
DO_T06_0_7.5,4.708566687409243,0.9899960380348654,0.9550316957210777,0.9646823411705853
DO_T06_7.5_15,8.620876149269874,0.9599681338378809,0.9206333399721172,0.9590248962655601
DO_T06_15_22.5,7.714592274678108,0.967626257595378,0.9283793206494672,0.9594399835289273
DO_T06_22.5_30,8.56526429341963,0.958962639109698,0.9211049284578696,0.9605222256760957
DO_T06_30_37.5,9.844223279965375,0.9607051408311996,0.9103801457553674,0.9476166068682726
DO_T06_37.5_45,10.395554102647914,0.9458098904352976,0.9058335801006812,0.9577332498434565
DO_T06_100_110,13.368682310469307,0.9317345009453677,0.8820778186884267,0.946705115881662
DO_T07_0_7.5,5.981367774719464,0.9880131854959544,0.9435620817101188,0.9550096046911333
DO_T07_7.5_15,8.547008547008554,0.9603309080035881,0.921259842519685,0.9593149974052931
DO_T07_15_22.5,9.31521739130434,0.9537635477776673,0.914785721388088,0.9591326105087574
DO_T07_22.5_30,14.364890849451422,0.9532192661457818,0.8743942241123529,0.9173064951234696
DO_T07_30_37.5,9.697499180954456,0.9560975609756098,0.9115978098556496,0.9534568929612661
DO_T07_37.5_45,9.01790558871404,0.960780410113478,0.9172805096555844,0.954724409448819
DO_T07_90_100,12.943820224719097,0.9640867489056905,0.8853959411062475,0.9183778763801466
