"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name"
"g__Pelosinus","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Sporomusaceae","g__Pelosinus",NA,NA,"g__Pelosinus"
"Unclass_f__Candidatus Spiroplasma","k__Bacteria","p__Firmicutes","c__Bacilli","o__Entomoplasmatales","f__Candidatus Spiroplasma","Unclass_f__Candidatus Spiroplasma",NA,NA,"Unclass_f__Candidatus Spiroplasma"
"Unclass_f__UCG-010","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","Unclass_f__UCG-010",NA,NA,"Unclass_f__UCG-010"
"g__Alistipes","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes",NA,NA,"g__Alistipes"
"Unclass_c__028H05-P-BN-P5","k__Bacteria","p__Planctomycetota","c__028H05-P-BN-P5","o__","f__","Unclass_c__028H05-P-BN-P5",NA,NA,"Unclass_c__028H05-P-BN-P5"
"g__Thermoactinomyces","k__Bacteria","p__Firmicutes","c__Bacilli","o__Thermoactinomycetales","f__Thermoactinomycetaceae","g__Thermoactinomyces",NA,NA,"g__Thermoactinomyces"
"g__Candidatus Paenicardinium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Amoebophilaceae","g__Candidatus Paenicardinium",NA,NA,"g__Candidatus Paenicardinium"
"g__Saccharospirillum","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Saccharospirillaceae","g__Saccharospirillum",NA,NA,"g__Saccharospirillum"
"g__Procabacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Procabacteriaceae","g__Procabacter",NA,NA,"g__Procabacter"
"g__Candidatus Bealeia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Holosporales","f__Holosporaceae","g__Candidatus Bealeia",NA,NA,"g__Candidatus Bealeia"
"g__Alicyclobacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Alicyclobacillales","f__Alicyclobacillaceae","g__Alicyclobacillus",NA,NA,"g__Alicyclobacillus"
