"","Kingdom","Phylum","Class","Order","Family","Genus","Primary_lifestyle"
"g__Septoriella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Septoriella","litter_saprotroph"
"g__Clohesyomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lindgomycetaceae","g__Clohesyomyces","wood_saprotroph"
"g__Cryptodiscus","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Stictidaceae","g__Cryptodiscus","lichen_parasite"
"g__Ceratobasidiaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Ceratobasidiaceae_gen_Incertae_sedis",""
"g__Keithomyces","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Keithomyces",""
"g__Microcera","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Microcera","animal_parasite"
"g__Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Geopora","ectomycorrhizal"
"g__Podospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Podosporaceae","g__Podospora","dung_saprotroph"
"g__Cirrenalia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Halosphaeriaceae","g__Cirrenalia","wood_saprotroph"
"g__Polyphilus","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Calloriaceae","g__Polyphilus","unspecified_saprotroph"
"Unclass_o__Boletales","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales",NA,"Unclass_o__Boletales",NA
"g__Phaeoacremonium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Togniniales","f__Togniniaceae","g__Phaeoacremonium","plant_pathogen"
"Unclass_c__Lecanoromycetes","k__Fungi","p__Ascomycota","c__Lecanoromycetes",NA,NA,"Unclass_c__Lecanoromycetes",NA
"g__Cucurbitariaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Cucurbitariaceae_gen_Incertae_sedis",""
"g__Capnodiales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Capnodiales_gen_Incertae_sedis",""
"Unclass_o__Helotiales","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,"Unclass_o__Helotiales",NA
"g__Papiliotrema","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","mycoparasite"
"g__Coleophoma","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Coleophoma","plant_pathogen"
"g__Rhizophlyctis","k__Fungi","p__Chytridiomycota","c__Rhizophlyctidomycetes","o__Rhizophlyctidales","f__Rhizophlyctidaceae","g__Rhizophlyctis","litter_saprotroph"
"g__Dactylonectria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Dactylonectria","plant_pathogen"
"g__Heydenia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Heydenia","litter_saprotroph"
"Unclass_o__Cladochytriales","k__Fungi","p__Chytridiomycota","c__Cladochytriomycetes","o__Cladochytriales",NA,"Unclass_o__Cladochytriales",NA
"Unclass_f__Helotiaceae","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","Unclass_f__Helotiaceae",NA
"g__Articulospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Articulospora","litter_saprotroph"
"Unclass_f__Cucurbitariaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","Unclass_f__Cucurbitariaceae",NA
"g__Trichosporiella","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Trichosporiella","soil_saprotroph"
"g__Neobulgaria","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Gelatinodiscaceae","g__Neobulgaria","wood_saprotroph"
"g__Chaetosphaeria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriaceae","g__Chaetosphaeria","litter_saprotroph"
"g__Clonostachys","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Clonostachys","wood_saprotroph"
"g__Trichoderma","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","mycoparasite"
"g__Rhizophagus","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus","arbuscular_mycorrhizal"
"g__GS36_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__GS36","f__GS36_fam_Incertae_sedis","g__GS36_gen_Incertae_sedis",""
"Unclass_f__Pleosporales_fam_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","Unclass_f__Pleosporales_fam_Incertae_sedis",NA
"g__Lophiostoma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Lophiostoma","wood_saprotroph"
"g__Diplogelasinospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariaceae","g__Diplogelasinospora","soil_saprotroph"
"g__Dactylella","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Dactylella","wood_saprotroph"
"g__Slooffia","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae","g__Slooffia","unspecified_saprotroph"
"g__Geomyces","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Geomyces","soil_saprotroph"
"g__Arxiella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Magnaporthales","f__Magnaporthaceae","g__Arxiella","litter_saprotroph"
"g__Cunninghamellaceae_gen_Incertae_sedis","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Cunninghamellaceae","g__Cunninghamellaceae_gen_Incertae_sedis",""
"g__Cladochytriales_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Cladochytriomycetes","o__Cladochytriales","f__Cladochytriales_fam_Incertae_sedis","g__Cladochytriales_gen_Incertae_sedis",""
"g__Amphisphaeriales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Amphisphaeriales_fam_Incertae_sedis","g__Amphisphaeriales_gen_Incertae_sedis",""
"g__Pisorisporiales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Pisorisporiales","f__Pisorisporiales_fam_Incertae_sedis","g__Pisorisporiales_gen_Incertae_sedis",""
"g__Absidia","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Cunninghamellaceae","g__Absidia","soil_saprotroph"
"g__Dothiorella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Dothiorella","plant_pathogen"
"g__Pyxidiophorales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Laboulbeniomycetes","o__Pyxidiophorales","f__Pyxidiophorales_fam_Incertae_sedis","g__Pyxidiophorales_gen_Incertae_sedis",""
"Unclass_o__Diaporthales","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales",NA,"Unclass_o__Diaporthales",NA
"g__Immersidiscosia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Immersidiscosia","plant_pathogen"
"g__Mycena","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae","g__Mycena","litter_saprotroph"
"g__Murispora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amniculicolaceae","g__Murispora","wood_saprotroph"
"g__Dioszegia","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","litter_saprotroph"
"g__Chaetomidium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Chaetomidium","dung_saprotroph"
"g__Protomyces","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Protomycetaceae","g__Protomyces","plant_pathogen"
"g__Knufia","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia","soil_saprotroph"
"g__Pezizomycotina_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Pezizomycotina_gen_Incertae_sedis",""
"g__Rutstroemia","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Rutstroemiaceae","g__Rutstroemia","litter_saprotroph"
"g__Cosmospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Cosmospora","mycoparasite"
"g__Pithoascus","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Pithoascus","soil_saprotroph"
"g__Septoglomus","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Septoglomus","arbuscular_mycorrhizal"
"g__Limonomyces","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Limonomyces","plant_pathogen"
"g__Fimicolochytrium","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Powellomycetaceae","g__Fimicolochytrium","pollen_saprotroph"
"g__Cladophialophora","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","soil_saprotroph"
"g__Acaulosporaceae_gen_Incertae_sedis","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae","g__Acaulosporaceae_gen_Incertae_sedis",""
"g__Cylindrosympodium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Cylindrosympodiaceae","g__Cylindrosympodium","plant_pathogen"
"Unclass_o__Sebacinales","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales",NA,"Unclass_o__Sebacinales",NA
"g__Harzia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Melanosporales","f__Ceratostomataceae","g__Harzia","wood_saprotroph"
"g__Tricladiaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tricladiaceae","g__Tricladiaceae_gen_Incertae_sedis",""
"g__Dominikia","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Dominikia","arbuscular_mycorrhizal"
"g__Hyaloscyphaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Hyaloscyphaceae_gen_Incertae_sedis",""
"g__Subramaniula","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Subramaniula","unspecified_saprotroph"
"g__Rhinocladiella","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Rhinocladiella","soil_saprotroph"
"g__Xenoacremonium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Xenoacremonium","wood_saprotroph"
"g__Pisolithus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Pisolithaceae","g__Pisolithus","ectomycorrhizal"
"g__Flavopunctelia","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Parmeliaceae","g__Flavopunctelia","lichenized"
"g__Paragibellulopsis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","g__Paragibellulopsis","litter_saprotroph"
"g__Herpotrichia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Herpotrichia","plant_pathogen"
"g__Rhizophlyctidales_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Rhizophlyctidomycetes","o__Rhizophlyctidales","f__Rhizophlyctidales_fam_Incertae_sedis","g__Rhizophlyctidales_gen_Incertae_sedis",""
"g__Pleomonodictydaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleomonodictydaceae","g__Pleomonodictydaceae_gen_Incertae_sedis",""
"Unclass_f__Hyaloscyphaceae","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","Unclass_f__Hyaloscyphaceae",NA
"g__Cryptocline","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Cryptocline","plant_pathogen"
"Unclass_p__Chytridiomycota","k__Fungi","p__Chytridiomycota",NA,NA,NA,"Unclass_p__Chytridiomycota",NA
"g__Macrotyphula","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Typhulaceae","g__Macrotyphula","litter_saprotroph"
"g__Agaricomycetes_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricomycetes_ord_Incertae_sedis","f__Agaricomycetes_fam_Incertae_sedis","g__Agaricomycetes_gen_Incertae_sedis",""
"g__Plicaria","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Plicaria","soil_saprotroph"
"g__Truncatella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Bartaliniaceae","g__Truncatella","plant_pathogen"
"g__Didymocyrtis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Didymocyrtis","lichen_parasite"
"g__Metacordyceps","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metacordyceps","animal_parasite"
"g__Scleroconidioma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Scleroconidioma","plant_pathogen"
"g__Apophysomyces","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Saksenaeaceae","g__Apophysomyces","soil_saprotroph"
"g__Myxarium","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Hyaloriaceae","g__Myxarium","wood_saprotroph"
"g__Diversispora","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Diversisporaceae","g__Diversispora","arbuscular_mycorrhizal"
"g__Marjia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Marjia","wood_saprotroph"
"Unclass_f__Hypocreales_fam_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","Unclass_f__Hypocreales_fam_Incertae_sedis",NA
"g__Trichophaeopsis","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Trichophaeopsis","litter_saprotroph"
"g__Spirosphaera","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tricladiaceae","g__Spirosphaera","litter_saprotroph"
"g__Microdochium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Microdochium","plant_pathogen"
"Unclass_f__Leptosphaeriaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","Unclass_f__Leptosphaeriaceae",NA
"g__Harpochytrium","k__Fungi","p__Monoblepharomycota","c__Monoblepharidomycetes","o__Monoblepharidales","f__Harpochytriaceae","g__Harpochytrium","litter_saprotroph"
"g__Sphaerosporella","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Sphaerosporella","ectomycorrhizal"
"g__Apiosordaria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Apiosordaria","dung_saprotroph"
"g__Stachybotryaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Stachybotryaceae_gen_Incertae_sedis",""
"g__Cunninghamella","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Cunninghamellaceae","g__Cunninghamella","soil_saprotroph"
"g__Endogonales_gen_Incertae_sedis","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__Endogonales","f__Endogonales_fam_Incertae_sedis","g__Endogonales_gen_Incertae_sedis",""
"g__Neonectria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Neonectria","plant_pathogen"
"g__Nowakowskiella","k__Fungi","p__Chytridiomycota","c__Cladochytriomycetes","o__Cladochytriales","f__Nowakowskiellaceae","g__Nowakowskiella","litter_saprotroph"
"g__Stemphylium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Stemphylium","plant_pathogen"
"g__Achroceratosphaeria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Pisorisporiales","f__Pisorisporiaceae","g__Achroceratosphaeria","wood_saprotroph"
"g__Phacidium","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Phacidiales","f__Phacidiaceae","g__Phacidium","plant_pathogen"
"g__Biscogniauxia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Graphostromataceae","g__Biscogniauxia","wood_saprotroph"
"g__Phomatospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Phomatosporales","f__Phomatosporaceae","g__Phomatospora","wood_saprotroph"
"g__Lacrymaria","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Lacrymaria","litter_saprotroph"
"g__Saitoella","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Protomycetaceae","g__Saitoella","soil_saprotroph"
"g__Peziza","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Peziza","soil_saprotroph"
"g__Fontanospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Fontanospora","litter_saprotroph"
"g__Triscelophorus","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Triscelophorus","foliar_endophyte"
"g__Pezizales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizales_fam_Incertae_sedis","g__Pezizales_gen_Incertae_sedis",""
"g__Monosporascus","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Monosporascus","plant_pathogen"
"g__Phaeococcomyces","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Phaeococcomycetaceae","g__Phaeococcomyces","unspecified_saprotroph"
"g__Archaeorhizomyces","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces","soil_saprotroph"
"Unclass_o__Eurotiales","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales",NA,"Unclass_o__Eurotiales",NA
"g__Zoopagaceae_gen_Incertae_sedis","k__Fungi","p__Zoopagomycota","c__Zoopagomycetes","o__Zoopagales","f__Zoopagaceae","g__Zoopagaceae_gen_Incertae_sedis",""
"g__Chaetasbolisia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Chaetasbolisia","litter_saprotroph"
"Unclass_o__Minutisphaerales","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Minutisphaerales",NA,"Unclass_o__Minutisphaerales",NA
"Unclass_c__Glomeromycetes","k__Fungi","p__Glomeromycota","c__Glomeromycetes",NA,NA,"Unclass_c__Glomeromycetes",NA
"g__Leuconeurospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Leuconeurospora","dung_saprotroph"
"g__Geoglossum","k__Fungi","p__Ascomycota","c__Geoglossomycetes","o__Geoglossales","f__Geoglossaceae","g__Geoglossum","soil_saprotroph"
"g__Darksidea","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Darksidea","root_endophyte"
"g__Hirsutella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Hirsutella","animal_parasite"
"g__Rhizophlyctidaceae_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Rhizophlyctidomycetes","o__Rhizophlyctidales","f__Rhizophlyctidaceae","g__Rhizophlyctidaceae_gen_Incertae_sedis",""
"g__Vaginatispora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Vaginatispora","wood_saprotroph"
"g__Neophaeosphaeria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Neophaeosphaeriaceae","g__Neophaeosphaeria","wood_saprotroph"
"g__Apodus","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Apodus","dung_saprotroph"
"g__Delitschia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Delitschiaceae","g__Delitschia","litter_saprotroph"
"g__Fusculinaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Fusculinaceae","g__Fusculinaceae_gen_Incertae_sedis",""
"g__Phialophora","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Phialophora","litter_saprotroph"
"g__Torula","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Torulaceae","g__Torula","foliar_endophyte"
"g__Subulicystidium","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Subulicystidium","wood_saprotroph"
"g__Orbiliomycetes_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliomycetes_ord_Incertae_sedis","f__Orbiliomycetes_fam_Incertae_sedis","g__Orbiliomycetes_gen_Incertae_sedis",""
"Unclass_f__Archaeosporaceae","k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales","f__Archaeosporaceae","Unclass_f__Archaeosporaceae",NA
"g__Ascomycota_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Ascomycota_cls_Incertae_sedis","o__Ascomycota_ord_Incertae_sedis","f__Ascomycota_fam_Incertae_sedis","g__Ascomycota_gen_Incertae_sedis",""
"Unclass_o__Orbiliales","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales",NA,"Unclass_o__Orbiliales",NA
"g__Neomicrosphaeropsis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Neomicrosphaeropsis","litter_saprotroph"
"g__Pseudosigmoidea","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Pseudosigmoidea","soil_saprotroph"
"g__Balsamia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Helvellaceae","g__Balsamia","ectomycorrhizal"
"g__Mortierellaceae_gen_Incertae_sedis","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierellaceae_gen_Incertae_sedis",""
"g__Paraglomus","k__Fungi","p__Glomeromycota","c__Paraglomeromycetes","o__Paraglomerales","f__Paraglomeraceae","g__Paraglomus","arbuscular_mycorrhizal"
"Unclass_f__Didymosphaeriaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","Unclass_f__Didymosphaeriaceae",NA
"g__Pleurocatena","k__Fungi","p__Ascomycota","c__Laboulbeniomycetes","o__Pyxidiophorales","f__Pyxidiophoraceae","g__Pleurocatena","unspecified_saprotroph"
"g__Ramicandelaber","k__Fungi","p__Kickxellomycota","c__Ramicandelaberomycetes","o__Ramicandelaberales","f__Ramicandelaberaceae","g__Ramicandelaber","soil_saprotroph"
"g__Crepidotus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Crepidotaceae","g__Crepidotus","wood_saprotroph"
"g__Plectosphaerella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","g__Plectosphaerella","plant_pathogen"
"g__Karstenia","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Stictidaceae","g__Karstenia","unspecified_saprotroph"
"g__Endosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Endosporiaceae","g__Endosporium","litter_saprotroph"
"Unclass_f__Microascaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","Unclass_f__Microascaceae",NA
"g__Paramyrothecium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Paramyrothecium","soil_saprotroph"
"g__Ajellomycetaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Ajellomycetaceae","g__Ajellomycetaceae_gen_Incertae_sedis",""
"g__Rozellomycota_gen_Incertae_sedis","k__Fungi","p__Rozellomycota","c__Rozellomycota_cls_Incertae_sedis","o__Rozellomycota_ord_Incertae_sedis","f__Rozellomycota_fam_Incertae_sedis","g__Rozellomycota_gen_Incertae_sedis",""
"g__Cylindrium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cylindriaceae","g__Cylindrium","plant_pathogen"
"g__Alatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Alatospora","litter_saprotroph"
"g__Peristomialis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Peristomialis","litter_saprotroph"
"g__Tubeufiales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Tubeufiales_fam_Incertae_sedis","g__Tubeufiales_gen_Incertae_sedis",""
"g__Melanogaster","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Melanogastraceae","g__Melanogaster","ectomycorrhizal"
"g__Claussenomyces","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Claussenomyces","wood_saprotroph"
"g__Hydropisphaera","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Hydropisphaera","litter_saprotroph"
"g__Neohelicomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Tubeufiaceae","g__Neohelicomyces","wood_saprotroph"
