"","Kingdom","Phylum","Class","Order","Family","Genus","Primary_lifestyle"
"g__Tricellula","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Tricellula","litter_saprotroph"
"g__Claroideoglomus","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Claroideoglomeraceae","g__Claroideoglomus","arbuscular_mycorrhizal"
"g__Tephrocybe","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lyophyllaceae","g__Tephrocybe","soil_saprotroph"
"g__Oliveonia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariales_fam_Incertae_sedis","g__Oliveonia","wood_saprotroph"
"g__Acremonium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","unspecified_saprotroph"
"Unclass_f__Thelephoraceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","Unclass_f__Thelephoraceae",NA
"g__Phialocephala","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Mollisiaceae","g__Phialocephala","soil_saprotroph"
"g__Saitozyma","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Trimorphomycetaceae","g__Saitozyma","soil_saprotroph"
"g__Dinemasporium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriaceae","g__Dinemasporium","litter_saprotroph"
"g__Calloriaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Calloriaceae","g__Calloriaceae_gen_Incertae_sedis",""
"g__Pezicula","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Pezicula","root_endophyte"
"g__Exophiala","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","animal_parasite"
"Unclass_o__Pezizales","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales",NA,"Unclass_o__Pezizales",NA
"Unclass_f__Pyronemataceae","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","Unclass_f__Pyronemataceae",NA
"g__Kirschsteiniothelia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Kirschsteiniotheliales","f__Kirschsteiniotheliaceae","g__Kirschsteiniothelia","wood_saprotroph"
"g__Lasiosphaeris","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Lasiosphaeris","unspecified_saprotroph"
"Unclass_o__Pyxidiophorales","k__Fungi","p__Ascomycota","c__Laboulbeniomycetes","o__Pyxidiophorales",NA,"Unclass_o__Pyxidiophorales",NA
"g__Neosartorya","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Neosartorya","unspecified_saprotroph"
"g__Coniochaeta","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","unspecified_saprotroph"
"g__Lichenoconium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Abrothallales","f__Lichenoconiaceae","g__Lichenoconium","lichen_parasite"
"g__Phaeosphaeria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","litter_saprotroph"
"g__Sporothrix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Ophiostomatales","f__Ophiostomataceae","g__Sporothrix","plant_pathogen"
"g__Hyalorbilia","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Hyalorbilia","wood_saprotroph"
"g__Lachnum","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Lachnum","litter_saprotroph"
"Unclass_c__Sordariomycetes","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,"Unclass_c__Sordariomycetes",NA
"g__Venturiaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturiaceae_gen_Incertae_sedis",""
"g__Pseudeurotium","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Pseudeurotium","dung_saprotroph"
"g__Ceratobasidium","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Ceratobasidium","plant_pathogen"
"g__Sagenomella","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Sagenomella","unspecified_saprotroph"
"g__Pholiotina","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Pholiotina","soil_saprotroph"
"g__Plicariella","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Plicariella","ectomycorrhizal"
"Unclass_c__Dothideomycetes","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,"Unclass_c__Dothideomycetes",NA
"Unclass_o__Chaetothyriales","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,"Unclass_o__Chaetothyriales",NA
"g__Tricharina","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Tricharina","soil_saprotroph"
"g__Schizothecium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Schizothecium","dung_saprotroph"
"g__Paracladophialophora","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Paracladophialophoraceae","g__Paracladophialophora","plant_pathogen"
"g__Epicoccum","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","plant_pathogen"
"Unclass_c__Agaricomycetes","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,"Unclass_c__Agaricomycetes",NA
"g__Lecanicillium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Lecanicillium","animal_parasite"
"g__Parasola","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Parasola","soil_saprotroph"
"g__Orbiliales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliales_fam_Incertae_sedis","g__Orbiliales_gen_Incertae_sedis",""
"g__Talaromyces","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Talaromyces","unspecified_saprotroph"
"g__Hypocreales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Hypocreales_gen_Incertae_sedis",""
"g__Gamszarea","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Gamszarea",""
"g__Pseudocosmospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Pseudocosmospora","mycoparasite"
"g__Distoseptispora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Distoseptisporales","f__Distoseptisporaceae","g__Distoseptispora","wood_saprotroph"
"g__Gliomastix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Gliomastix","unspecified_saprotroph"
"g__Tyrannosorus","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Tyrannosorus","wood_saprotroph"
"Unclass_f__Phaeosphaeriaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","Unclass_f__Phaeosphaeriaceae",NA
"g__Serendipita","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita","root_endophyte"
"g__Xenasma","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricomycetes_ord_Incertae_sedis","f__Xenasmataceae","g__Xenasma","wood_saprotroph"
"Unclass_o__Hypocreales","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,"Unclass_o__Hypocreales",NA
"g__Iodophanus","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Iodophanus","soil_saprotroph"
"g__Gloniaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Gloniales","f__Gloniaceae","g__Gloniaceae_gen_Incertae_sedis",""
"g__Glarea","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Glarea","soil_saprotroph"
"g__Preussia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","dung_saprotroph"
"g__Metapochonia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metapochonia","animal_parasite"
"g__Neocucurbitaria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria","unspecified_saprotroph"
"g__Hamigera","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Hamigera","unspecified_saprotroph"
"g__Hebeloma","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hymenogastraceae","g__Hebeloma","ectomycorrhizal"
"g__Entrophospora","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Entrophosporales","f__Entrophosporaceae","g__Entrophospora","arbuscular_mycorrhizal"
"g__Geastrales_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastrales_fam_Incertae_sedis","g__Geastrales_gen_Incertae_sedis",""
"g__Pluteus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Pluteaceae","g__Pluteus","litter_saprotroph"
"g__Scytalidium","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Scytalidium","wood_saprotroph"
"g__Didymella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","plant_pathogen"
"g__Jeremyomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Jeremyomyces","wood_saprotroph"
"g__Glutinomyces","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Glutinomyces","root_endophyte"
"g__Omphalotus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Omphalotus","wood_saprotroph"
"g__Geminibasidium","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae","g__Geminibasidium","soil_saprotroph"
"g__Lyophyllum","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lyophyllaceae","g__Lyophyllum","ectomycorrhizal"
"g__Cytospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","plant_pathogen"
"Unclass_f__Sclerotiniaceae","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae","Unclass_f__Sclerotiniaceae",NA
"g__Crocicreas","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Crocicreas","litter_saprotroph"
"Unclass_f__Paracladophialophoraceae","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Paracladophialophoraceae","Unclass_f__Paracladophialophoraceae",NA
"g__Arnium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Arnium","dung_saprotroph"
"g__Botryotinia","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae","g__Botryotinia","plant_pathogen"
"g__Capronia","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Capronia","soil_saprotroph"
"g__Varicellaria","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Pertusariales","f__Pertusariaceae","g__Varicellaria","lichenized"
"Unclass_p__Basidiomycota","k__Fungi","p__Basidiomycota",NA,NA,NA,"Unclass_p__Basidiomycota",NA
"g__Aspergillaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillaceae_gen_Incertae_sedis",""
"g__Neosetophoma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","litter_saprotroph"
"g__Aspergillus","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","unspecified_saprotroph"
"g__Fusicolla","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusicolla","mycoparasite"
"g__Paracylindrocarpon","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Paracylindrocarpon","litter_saprotroph"
