Extraction_ID,FWD_barcode,REV_barcode,nucleic_acid,amplification,DO_ID,extraction_date,batch_letter,notes_extraction,DNA_ng_per_uL,twenty_uL_DNA_dilution_2_ng_per_uL,DNA_PCR_water,RNA_ng_per_uL,twenty_uL_RNA_dilution_2_ng_per_uL,RNA_PCR_water,cDNA_conc_ng_per_uL,uL_cDNA_input,cDNA_final_input_ng_per_uL
D33-D,PCR_F_bc009,PCR_R_bc002,DNA,PCR_ITS,DO_T05_0-7.5,8/22/23,B,NA,35,1.142857143,150uL,NA,NA,NA,NA,NA,NA
D34-D,PCR_F_bc010,PCR_R_bc002,DNA,PCR_ITS,DO_T07_15-22.5,8/22/23,C,NA,18.9,2.116402116,NA,NA,NA,NA,NA,NA,NA
D35-D,PCR_F_bc011,PCR_R_bc002,DNA,PCR_ITS,DO_T07_0-7.5,8/30/23,A,NA,31.13,1.284934147,100uL,NA,NA,NA,NA,NA,NA
D36-D,PCR_F_bc012,PCR_R_bc002,DNA,PCR_ITS,DO_T02_22.5-30,8/30/23,D,NA,41.429,0.965507253,300uL,NA,NA,NA,NA,NA,NA
D37-D,PCR_F_bc013,PCR_R_bc002,DNA,PCR_ITS,DO_T03_37.5-45,8/30/23,B,NA,44.4,0.900900901,NA,NA,NA,NA,NA,NA,NA
D38-D,PCR_F_bc014,PCR_R_bc002,DNA,PCR_ITS,DO_T02_0-7.5,9/8/23,D,NA,36,1.111111111,100uL,NA,NA,NA,NA,NA,NA
D39-D,PCR_F_bc015,PCR_R_bc002,DNA,PCR_ITS,DO_T04_7.5-15,9/12/23,C,NA,45.33,0.882417825,250uL,NA,NA,NA,NA,NA,NA
D40-D,PCR_F_bc016,PCR_R_bc002,DNA,PCR_ITS,DO_T06_22.5-30,9/12/23,D,NA,48.4,0.826446281,NA,NA,NA,NA,NA,NA,NA
D41-D,PCR_F_bc017,PCR_R_bc002,DNA,PCR_ITS,DO_T02_30-37.5,9/12/23,A,NA,8.14,4.914004914,NA,NA,NA,NA,NA,NA,NA
D42-D,PCR_F_bc018,PCR_R_bc002,DNA,PCR_ITS,DO_T06_0-7.5,9/19/2023,A,NA,36.95,1.082543978,150uL,NA,NA,NA,NA,NA,NA
D43-D,PCR_F_bc019,PCR_R_bc002,DNA,PCR_ITS,DO_T03_22.5-30,9/19/2023,C,NA,37.333,1.071438138,250uL,NA,NA,NA,NA,NA,NA
D44-D,PCR_F_bc020,PCR_R_bc002,DNA,PCR_ITS,DO_T04_30-37.5,9/19/2023,D,"Don't Dilute, just use. DNA last of batcj",6.24,6.41025641,NA,NA,NA,NA,NA,NA,NA
