"","tid","Genus"
"g__Auricularia","ft_485","g__Auricularia"
"g__Ophiocordyceps","ft_486","g__Ophiocordyceps"
"Unclass_f__Monoblastiaceae","ft_487","Unclass_f__Monoblastiaceae"
"g__Coprinopsis","ft_488","g__Coprinopsis"
"g__Sebacinales_gen_Incertae_sedis","ft_489","g__Sebacinales_gen_Incertae_sedis"
"g__Myriangiales_gen_Incertae_sedis","ft_490","g__Myriangiales_gen_Incertae_sedis"
"g__Gaeumannomyces","ft_491","g__Gaeumannomyces"
"Unclass_f__Diaporthaceae","ft_492","Unclass_f__Diaporthaceae"
"g__Gallinipes","ft_493","g__Gallinipes"
"Unclass_f__Cortinariaceae","ft_494","Unclass_f__Cortinariaceae"
"g__Rhodosporidiobolus","ft_495","g__Rhodosporidiobolus"
"g__Litschauerella","ft_496","g__Litschauerella"
"g__Hypomyces","ft_497","g__Hypomyces"
"g__Nothoseiridium","ft_498","g__Nothoseiridium"
"g__Sordariales_gen_Incertae_sedis","ft_499","g__Sordariales_gen_Incertae_sedis"
"g__Geastrum","ft_500","g__Geastrum"
"Unclass_f__Inocybaceae","ft_501","Unclass_f__Inocybaceae"
"g__Gnomoniopsis","ft_502","g__Gnomoniopsis"
"Unclass_f__Sympoventuriaceae","ft_503","Unclass_f__Sympoventuriaceae"
"g__Tricladium","ft_504","g__Tricladium"
"g__Hymenoscyphus","ft_505","g__Hymenoscyphus"
"g__Scutellinia","ft_506","g__Scutellinia"
"g__Cryptosporiopsis","ft_507","g__Cryptosporiopsis"
"Unclass_f__Mollisiaceae","ft_508","Unclass_f__Mollisiaceae"
"g__Degelia","ft_509","g__Degelia"
"g__Botryohypochnus","ft_510","g__Botryohypochnus"
"g__Rhizophydiales_gen_Incertae_sedis","ft_511","g__Rhizophydiales_gen_Incertae_sedis"
"Unclass_o__Spizellomycetales","ft_512","Unclass_o__Spizellomycetales"
"g__Pteridiosperma","ft_513","g__Pteridiosperma"
"g__Sympoventuriaceae_gen_Incertae_sedis","ft_514","g__Sympoventuriaceae_gen_Incertae_sedis"
"g__Infundichalara","ft_515","g__Infundichalara"
"g__Mycenella","ft_516","g__Mycenella"
"g__Lasionectriopsis","ft_517","g__Lasionectriopsis"
"g__Pseudoophiobolus","ft_518","g__Pseudoophiobolus"
"g__Petrophila","ft_519","g__Petrophila"
"g__Calcarisporiella","ft_520","g__Calcarisporiella"
"g__Hawksworthiomyces","ft_521","g__Hawksworthiomyces"
"Unclass_o__Endogonales","ft_522","Unclass_o__Endogonales"
"g__Conocybe","ft_523","g__Conocybe"
"g__Itersonilia","ft_524","g__Itersonilia"
"g__Cylindrosympodioides","ft_525","g__Cylindrosympodioides"
"g__Micropeltidaceae_gen_Incertae_sedis","ft_526","g__Micropeltidaceae_gen_Incertae_sedis"
"g__Tulasnella","ft_527","g__Tulasnella"
"g__Acidomelania","ft_528","g__Acidomelania"
"g__Dactylaria","ft_529","g__Dactylaria"
"g__Valsaceae_gen_Incertae_sedis","ft_530","g__Valsaceae_gen_Incertae_sedis"
"g__Physcia","ft_531","g__Physcia"
"g__Plenodomus","ft_532","g__Plenodomus"
"g__Celosporium","ft_533","g__Celosporium"
"Unclass_f__Protrudomycetaceae","ft_534","Unclass_f__Protrudomycetaceae"
"g__Lentitheciaceae_gen_Incertae_sedis","ft_535","g__Lentitheciaceae_gen_Incertae_sedis"
"g__Sympodiella","ft_536","g__Sympodiella"
"g__Gongronella","ft_537","g__Gongronella"
"g__Curvularia","ft_538","g__Curvularia"
"g__Sakaguchia","ft_539","g__Sakaguchia"
"g__Powellomyces","ft_540","g__Powellomyces"
"g__Agaricostilbomycetes_gen_Incertae_sedis","ft_541","g__Agaricostilbomycetes_gen_Incertae_sedis"
"Unclass_f__Ascobolaceae","ft_542","Unclass_f__Ascobolaceae"
"g__Udeniozyma","ft_543","g__Udeniozyma"
"g__Junewangiaceae_gen_Incertae_sedis","ft_544","g__Junewangiaceae_gen_Incertae_sedis"
"g__Botrytis","ft_545","g__Botrytis"
"g__Leptosphaeriaceae_gen_Incertae_sedis","ft_546","g__Leptosphaeriaceae_gen_Incertae_sedis"
"g__Paraloratospora","ft_547","g__Paraloratospora"
"g__Arthrocladium","ft_548","g__Arthrocladium"
"g__Dendrophoma","ft_549","g__Dendrophoma"
"g__Blastocladiomycetes_gen_Incertae_sedis","ft_550","g__Blastocladiomycetes_gen_Incertae_sedis"
"g__Aleuria","ft_551","g__Aleuria"
"g__Dissoconium","ft_552","g__Dissoconium"
"g__Herpotrichiellaceae_gen_Incertae_sedis","ft_553","g__Herpotrichiellaceae_gen_Incertae_sedis"
"Unclass_f__Ploettnerulaceae","ft_554","Unclass_f__Ploettnerulaceae"
"g__Stachybotrys","ft_555","g__Stachybotrys"
"g__Tausonia","ft_556","g__Tausonia"
"g__Pseudocoleophoma","ft_557","g__Pseudocoleophoma"
"Unclass_o__Pisorisporiales","ft_558","Unclass_o__Pisorisporiales"
"g__Contumyces","ft_559","g__Contumyces"
"Unclass_f__Ceratostomataceae","ft_560","Unclass_f__Ceratostomataceae"
"g__Melanomma","ft_561","g__Melanomma"
"g__Phaeotremella","ft_562","g__Phaeotremella"
"g__Cadophora","ft_563","g__Cadophora"
"g__Densospora","ft_564","g__Densospora"
"Unclass_o__Auriculariales","ft_565","Unclass_o__Auriculariales"
"g__Lentithecium","ft_566","g__Lentithecium"
"Unclass_f__Rhizophydiales_fam_Incertae_sedis","ft_567","Unclass_f__Rhizophydiales_fam_Incertae_sedis"
"g__Evernia","ft_568","g__Evernia"
"g__Serendipitaceae_gen_Incertae_sedis","ft_569","g__Serendipitaceae_gen_Incertae_sedis"
"g__Mycenaceae_gen_Incertae_sedis","ft_570","g__Mycenaceae_gen_Incertae_sedis"
"g__Piptocephalis","ft_571","g__Piptocephalis"
"g__Constantinomyces","ft_572","g__Constantinomyces"
"Unclass_f__Clavariaceae","ft_573","Unclass_f__Clavariaceae"
"Unclass_o__Polyporales","ft_574","Unclass_o__Polyporales"
"g__Neophaeococcomyces","ft_575","g__Neophaeococcomyces"
"g__Haudseptoria","ft_576","g__Haudseptoria"
"Unclass_p__Zoopagomycota","ft_577","Unclass_p__Zoopagomycota"
"g__Chytridiales_gen_Incertae_sedis","ft_578","g__Chytridiales_gen_Incertae_sedis"
"g__Cystofilobasidiales_gen_Incertae_sedis","ft_579","g__Cystofilobasidiales_gen_Incertae_sedis"
"g__Kalmusia","ft_580","g__Kalmusia"
"Unclass_f__Dermateaceae","ft_581","Unclass_f__Dermateaceae"
"Unclass_f__Muyocopronaceae","ft_582","Unclass_f__Muyocopronaceae"
"g__Dothidotthia","ft_583","g__Dothidotthia"
"g__Blastobotrys","ft_584","g__Blastobotrys"
"g__Berkeleyomyces","ft_585","g__Berkeleyomyces"
"g__Lachnellula","ft_586","g__Lachnellula"
"g__Antealophiotrema","ft_587","g__Antealophiotrema"
"g__Teunia","ft_588","g__Teunia"
"g__Colletotrichum","ft_589","g__Colletotrichum"
"g__Bhatiellae","ft_590","g__Bhatiellae"
"Unclass_p__Mucoromycota","ft_591","Unclass_p__Mucoromycota"
"Unclass_o__Xylariales","ft_592","Unclass_o__Xylariales"
"g__GS22_gen_Incertae_sedis","ft_593","g__GS22_gen_Incertae_sedis"
"g__Kurtzmanomyces","ft_594","g__Kurtzmanomyces"
"g__Cystobasidiaceae_gen_Incertae_sedis","ft_595","g__Cystobasidiaceae_gen_Incertae_sedis"
"Unclass_f__Dothioraceae","ft_596","Unclass_f__Dothioraceae"
"g__Necromortierella","ft_597","g__Necromortierella"
"Unclass_f__Pannariaceae","ft_598","Unclass_f__Pannariaceae"
"g__Neovaginatispora","ft_599","g__Neovaginatispora"
"g__Isthmomyces","ft_600","g__Isthmomyces"
"g__Phoma","ft_601","g__Phoma"
"g__Paraphaeosphaeria","ft_602","g__Paraphaeosphaeria"
"g__Agaricostilbales_gen_Incertae_sedis","ft_603","g__Agaricostilbales_gen_Incertae_sedis"
"g__Keissleriella","ft_604","g__Keissleriella"
"g__Microbotryomycetes_gen_Incertae_sedis","ft_605","g__Microbotryomycetes_gen_Incertae_sedis"
"g__Minutisphaera","ft_606","g__Minutisphaera"
"Unclass_o__Archaeorhizomycetales","ft_607","Unclass_o__Archaeorhizomycetales"
"g__Eucasphaeria","ft_608","g__Eucasphaeria"
"g__Pleurotheciella","ft_609","g__Pleurotheciella"
"g__Botryosphaeria","ft_610","g__Botryosphaeria"
"g__GS27_gen_Incertae_sedis","ft_611","g__GS27_gen_Incertae_sedis"
"g__Neopyrenochaeta","ft_612","g__Neopyrenochaeta"
"g__Protrudomycetaceae_gen_Incertae_sedis","ft_613","g__Protrudomycetaceae_gen_Incertae_sedis"
"g__Typhula","ft_614","g__Typhula"
"g__Clavaria","ft_615","g__Clavaria"
"g__Mucoraceae_gen_Incertae_sedis","ft_616","g__Mucoraceae_gen_Incertae_sedis"
"g__Seiridium","ft_617","g__Seiridium"
"g__Nigrospora","ft_618","g__Nigrospora"
"g__Sympoventuria","ft_619","g__Sympoventuria"
"Unclass_f__Acaulosporaceae","ft_620","Unclass_f__Acaulosporaceae"
"g__Mycoleptodiscus","ft_621","g__Mycoleptodiscus"
"g__Endophragmiella","ft_622","g__Endophragmiella"
"g__Bensingtonia","ft_623","g__Bensingtonia"
"g__Haptocillium","ft_624","g__Haptocillium"
"g__Disciseda","ft_625","g__Disciseda"
"g__Lecanoromycetes_gen_Incertae_sedis","ft_626","g__Lecanoromycetes_gen_Incertae_sedis"
"g__Mortierellomycetes_gen_Incertae_sedis","ft_627","g__Mortierellomycetes_gen_Incertae_sedis"
"Unclass_f__Chaetosphaeriaceae","ft_628","Unclass_f__Chaetosphaeriaceae"
"Unclass_f__Pleosporaceae","ft_629","Unclass_f__Pleosporaceae"
"g__Geosmithia","ft_630","g__Geosmithia"
"g__Psathyrella","ft_631","g__Psathyrella"
"g__Entoloma","ft_632","g__Entoloma"
"Unclass_f__Melanommataceae","ft_633","Unclass_f__Melanommataceae"
"Unclass_f__Kriegeriaceae","ft_634","Unclass_f__Kriegeriaceae"
"g__Cryptotrichosporon","ft_635","g__Cryptotrichosporon"
"g__Corticiaceae_gen_Incertae_sedis","ft_636","g__Corticiaceae_gen_Incertae_sedis"
"g__Acaulospora","ft_637","g__Acaulospora"
"g__Parazalerion","ft_638","g__Parazalerion"
"g__Spiculogloeomycetes_gen_Incertae_sedis","ft_639","g__Spiculogloeomycetes_gen_Incertae_sedis"
"g__Cephalothecaceae_gen_Incertae_sedis","ft_640","g__Cephalothecaceae_gen_Incertae_sedis"
"g__Dictyosporiaceae_gen_Incertae_sedis","ft_641","g__Dictyosporiaceae_gen_Incertae_sedis"
"g__Betamyces","ft_642","g__Betamyces"
"g__Marcelleina","ft_643","g__Marcelleina"
"g__Microascus","ft_644","g__Microascus"
"Unclass_o__Monoblepharidales","ft_645","Unclass_o__Monoblepharidales"
"Unclass_f__Fusculinaceae","ft_646","Unclass_f__Fusculinaceae"
"Unclass_o__Venturiales","ft_647","Unclass_o__Venturiales"
"g__Physconia","ft_648","g__Physconia"
"g__Coltricia","ft_649","g__Coltricia"
"g__Lobulomyces","ft_650","g__Lobulomyces"
"g__Clavulinaceae_gen_Incertae_sedis","ft_651","g__Clavulinaceae_gen_Incertae_sedis"
"g__Rachicladosporium","ft_652","g__Rachicladosporium"
"g__Clitopilus","ft_653","g__Clitopilus"
"g__Saksenaea","ft_654","g__Saksenaea"
"g__GS17_ord_Incertae_sedis_gen_Incertae_sedis","ft_655","g__GS17_ord_Incertae_sedis_gen_Incertae_sedis"
"g__Oedocephalum","ft_656","g__Oedocephalum"
"g__Ochroconis","ft_657","g__Ochroconis"
"g__Clavariaceae_gen_Incertae_sedis","ft_658","g__Clavariaceae_gen_Incertae_sedis"
"g__Polyschema","ft_659","g__Polyschema"
"g__Metarhizium","ft_660","g__Metarhizium"
"g__Fonsecazyma","ft_661","g__Fonsecazyma"
"g__Arachnopeziza","ft_662","g__Arachnopeziza"
