"","tid","Genus"
"g__Mortierella","ft_57","g__Mortierella"
"g__Humicola","ft_58","g__Humicola"
"g__Chaetothyriales_gen_Incertae_sedis","ft_59","g__Chaetothyriales_gen_Incertae_sedis"
"g__Atrocalyx","ft_60","g__Atrocalyx"
"g__Beauveria","ft_61","g__Beauveria"
"g__Myxomphalia","ft_62","g__Myxomphalia"
"g__Elaphomyces","ft_63","g__Elaphomyces"
"g__Pteridiospora","ft_64","g__Pteridiospora"
"g__Coprinus","ft_65","g__Coprinus"
"g__Jugulospora","ft_66","g__Jugulospora"
"g__Mortierellales_gen_Incertae_sedis","ft_67","g__Mortierellales_gen_Incertae_sedis"
"g__Cryptococcus","ft_68","g__Cryptococcus"
"g__Oidiodendron","ft_69","g__Oidiodendron"
"g__Glomus","ft_70","g__Glomus"
"Unclass_o__Onygenales","ft_71","Unclass_o__Onygenales"
"g__Arachnomyces","ft_72","g__Arachnomyces"
"g__Onygenales_gen_Incertae_sedis","ft_73","g__Onygenales_gen_Incertae_sedis"
"g__Membranomyces","ft_74","g__Membranomyces"
"g__Neoschizothecium","ft_75","g__Neoschizothecium"
"g__Niesslia","ft_76","g__Niesslia"
"g__Didymosphaeria","ft_77","g__Didymosphaeria"
"Unclass_o__Sordariales","ft_78","Unclass_o__Sordariales"
"g__Purpureocillium","ft_79","g__Purpureocillium"
"g__Synchytriaceae_gen_Incertae_sedis","ft_80","g__Synchytriaceae_gen_Incertae_sedis"
"g__Pyrenophora","ft_81","g__Pyrenophora"
"g__Cyphellophora","ft_82","g__Cyphellophora"
"g__Melaspileella","ft_83","g__Melaspileella"
"g__Otidea","ft_84","g__Otidea"
"Unclass_f__Orbiliaceae","ft_85","Unclass_f__Orbiliaceae"
"Unclass_f__Bionectriaceae","ft_86","Unclass_f__Bionectriaceae"
"g__Geoglossales_gen_Incertae_sedis","ft_87","g__Geoglossales_gen_Incertae_sedis"
"g__Neostagonospora","ft_88","g__Neostagonospora"
"g__Tremellodendropsidales_gen_Incertae_sedis","ft_89","g__Tremellodendropsidales_gen_Incertae_sedis"
"Unclass_p__Ascomycota","ft_90","Unclass_p__Ascomycota"
"g__Sclerococcum","ft_91","g__Sclerococcum"
"Unclass_f__Cordycipitaceae","ft_92","Unclass_f__Cordycipitaceae"
"g__Ilyonectria","ft_93","g__Ilyonectria"
"g__Basidiobolales_gen_Incertae_sedis","ft_94","g__Basidiobolales_gen_Incertae_sedis"
"Unclass_f__Aspergillaceae","ft_95","Unclass_f__Aspergillaceae"
"Unclass_k__Fungi","ft_96","Unclass_k__Fungi"
"g__Aureobasidium","ft_97","g__Aureobasidium"
"g__Hyaloscypha","ft_98","g__Hyaloscypha"
"g__Basidiomycota_gen_Incertae_sedis","ft_99","g__Basidiomycota_gen_Incertae_sedis"
"g__Rhodotorula","ft_100","g__Rhodotorula"
"g__Pseudoarthrographis","ft_101","g__Pseudoarthrographis"
"g__Trichocladium","ft_102","g__Trichocladium"
"g__Chaetosphaeronema","ft_103","g__Chaetosphaeronema"
"g__Monocillium","ft_104","g__Monocillium"
"g__Filobasidium","ft_105","g__Filobasidium"
"g__Ascochyta","ft_106","g__Ascochyta"
"g__Rhizoctonia","ft_107","g__Rhizoctonia"
"g__Umbelopsis","ft_108","g__Umbelopsis"
"Unclass_f__Didymellaceae","ft_109","Unclass_f__Didymellaceae"
"Unclass_f__Nectriaceae","ft_110","Unclass_f__Nectriaceae"
"g__Sordariomycetes_gen_Incertae_sedis","ft_111","g__Sordariomycetes_gen_Incertae_sedis"
"g__Venturia","ft_112","g__Venturia"
"Unclass_f__Tubeufiaceae","ft_113","Unclass_f__Tubeufiaceae"
"g__Teratosphaeria","ft_114","g__Teratosphaeria"
"g__Wojnowiciella","ft_115","g__Wojnowiciella"
"g__Spizellomycetaceae_gen_Incertae_sedis","ft_116","g__Spizellomycetaceae_gen_Incertae_sedis"
"g__Chytridiomycota_gen_Incertae_sedis","ft_117","g__Chytridiomycota_gen_Incertae_sedis"
"g__Mucor","ft_118","g__Mucor"
"g__Pseudogymnoascus","ft_119","g__Pseudogymnoascus"
"g__Spizellomyces","ft_120","g__Spizellomyces"
"g__Rhizopogon","ft_121","g__Rhizopogon"
"g__Tetracladium_f__Helotiaceae","ft_122","g__Tetracladium_f__Helotiaceae"
"g__Thelebolus","ft_123","g__Thelebolus"
"Unclass_f__Herpotrichiellaceae","ft_124","Unclass_f__Herpotrichiellaceae"
"g__Phaeosphaeriaceae_gen_Incertae_sedis","ft_125","g__Phaeosphaeriaceae_gen_Incertae_sedis"
"g__Periconia","ft_126","g__Periconia"
"g__Laburnicola","ft_127","g__Laburnicola"
"g__Fusariella","ft_128","g__Fusariella"
"g__Chaetomium","ft_129","g__Chaetomium"
"g__Tricellula","ft_130","g__Tricellula"
"g__Claroideoglomus","ft_131","g__Claroideoglomus"
"g__Tephrocybe","ft_132","g__Tephrocybe"
"g__Oliveonia","ft_133","g__Oliveonia"
"g__Acremonium","ft_134","g__Acremonium"
"Unclass_f__Thelephoraceae","ft_135","Unclass_f__Thelephoraceae"
"g__Phialocephala","ft_136","g__Phialocephala"
"g__Saitozyma","ft_137","g__Saitozyma"
"g__Dinemasporium","ft_138","g__Dinemasporium"
"g__Calloriaceae_gen_Incertae_sedis","ft_139","g__Calloriaceae_gen_Incertae_sedis"
"g__Pezicula","ft_140","g__Pezicula"
"g__Exophiala","ft_141","g__Exophiala"
"Unclass_o__Pezizales","ft_142","Unclass_o__Pezizales"
"Unclass_f__Pyronemataceae","ft_143","Unclass_f__Pyronemataceae"
"g__Kirschsteiniothelia","ft_144","g__Kirschsteiniothelia"
"g__Lasiosphaeris","ft_145","g__Lasiosphaeris"
"Unclass_o__Pyxidiophorales","ft_146","Unclass_o__Pyxidiophorales"
"g__Neosartorya","ft_147","g__Neosartorya"
"g__Coniochaeta","ft_148","g__Coniochaeta"
"g__Lichenoconium","ft_149","g__Lichenoconium"
"g__Phaeosphaeria","ft_150","g__Phaeosphaeria"
"g__Sporothrix","ft_151","g__Sporothrix"
"g__Hyalorbilia","ft_152","g__Hyalorbilia"
"g__Lachnum","ft_153","g__Lachnum"
"Unclass_c__Sordariomycetes","ft_154","Unclass_c__Sordariomycetes"
"g__Venturiaceae_gen_Incertae_sedis","ft_155","g__Venturiaceae_gen_Incertae_sedis"
"g__Pseudeurotium","ft_156","g__Pseudeurotium"
"g__Ceratobasidium","ft_157","g__Ceratobasidium"
"g__Sagenomella","ft_158","g__Sagenomella"
"g__Pholiotina","ft_159","g__Pholiotina"
"g__Plicariella","ft_160","g__Plicariella"
"Unclass_c__Dothideomycetes","ft_161","Unclass_c__Dothideomycetes"
"Unclass_o__Chaetothyriales","ft_162","Unclass_o__Chaetothyriales"
"g__Tricharina","ft_163","g__Tricharina"
"g__Schizothecium","ft_164","g__Schizothecium"
"g__Paracladophialophora","ft_165","g__Paracladophialophora"
"g__Epicoccum","ft_166","g__Epicoccum"
"Unclass_c__Agaricomycetes","ft_167","Unclass_c__Agaricomycetes"
"g__Lecanicillium","ft_168","g__Lecanicillium"
"g__Parasola","ft_169","g__Parasola"
"g__Orbiliales_gen_Incertae_sedis","ft_170","g__Orbiliales_gen_Incertae_sedis"
"g__Talaromyces","ft_171","g__Talaromyces"
"g__Hypocreales_gen_Incertae_sedis","ft_172","g__Hypocreales_gen_Incertae_sedis"
"g__Gamszarea","ft_173","g__Gamszarea"
"g__Pseudocosmospora","ft_174","g__Pseudocosmospora"
"g__Distoseptispora","ft_175","g__Distoseptispora"
"g__Gliomastix","ft_176","g__Gliomastix"
"g__Tyrannosorus","ft_177","g__Tyrannosorus"
"Unclass_f__Phaeosphaeriaceae","ft_178","Unclass_f__Phaeosphaeriaceae"
"g__Serendipita","ft_179","g__Serendipita"
"g__Xenasma","ft_180","g__Xenasma"
"Unclass_o__Hypocreales","ft_181","Unclass_o__Hypocreales"
"g__Iodophanus","ft_182","g__Iodophanus"
"g__Gloniaceae_gen_Incertae_sedis","ft_183","g__Gloniaceae_gen_Incertae_sedis"
"g__Glarea","ft_184","g__Glarea"
"g__Preussia","ft_185","g__Preussia"
"g__Metapochonia","ft_186","g__Metapochonia"
"g__Neocucurbitaria","ft_187","g__Neocucurbitaria"
"g__Hamigera","ft_188","g__Hamigera"
"g__Hebeloma","ft_189","g__Hebeloma"
"g__Entrophospora","ft_190","g__Entrophospora"
"g__Geastrales_gen_Incertae_sedis","ft_191","g__Geastrales_gen_Incertae_sedis"
"g__Pluteus","ft_192","g__Pluteus"
"g__Scytalidium","ft_193","g__Scytalidium"
"g__Didymella","ft_194","g__Didymella"
"g__Jeremyomyces","ft_195","g__Jeremyomyces"
"g__Glutinomyces","ft_196","g__Glutinomyces"
"g__Omphalotus","ft_197","g__Omphalotus"
"g__Geminibasidium","ft_198","g__Geminibasidium"
"g__Lyophyllum","ft_199","g__Lyophyllum"
"g__Cytospora","ft_200","g__Cytospora"
"Unclass_f__Sclerotiniaceae","ft_201","Unclass_f__Sclerotiniaceae"
"g__Crocicreas","ft_202","g__Crocicreas"
"Unclass_f__Paracladophialophoraceae","ft_203","Unclass_f__Paracladophialophoraceae"
"g__Arnium","ft_204","g__Arnium"
"g__Botryotinia","ft_205","g__Botryotinia"
"g__Capronia","ft_206","g__Capronia"
"g__Varicellaria","ft_207","g__Varicellaria"
"Unclass_p__Basidiomycota","ft_208","Unclass_p__Basidiomycota"
"g__Aspergillaceae_gen_Incertae_sedis","ft_209","g__Aspergillaceae_gen_Incertae_sedis"
"g__Neosetophoma","ft_210","g__Neosetophoma"
"g__Aspergillus","ft_211","g__Aspergillus"
"g__Fusicolla","ft_212","g__Fusicolla"
"g__Paracylindrocarpon","ft_213","g__Paracylindrocarpon"
"g__Powellomycetaceae_gen_Incertae_sedis","ft_214","g__Powellomycetaceae_gen_Incertae_sedis"
"g__Pectenia","ft_215","g__Pectenia"
"Unclass_f__Lasiosphaeriaceae","ft_216","Unclass_f__Lasiosphaeriaceae"
"g__Fungi_gen_Incertae_sedis","ft_217","g__Fungi_gen_Incertae_sedis"
"g__Arachniotus","ft_218","g__Arachniotus"
"g__Leptodontidium","ft_219","g__Leptodontidium"
"g__Chalara","ft_220","g__Chalara"
"g__Calyptella","ft_221","g__Calyptella"
"g__Spizellomycetales_gen_Incertae_sedis","ft_222","g__Spizellomycetales_gen_Incertae_sedis"
"g__Vishniacozyma","ft_223","g__Vishniacozyma"
"Unclass_c__Endogonomycetes","ft_224","Unclass_c__Endogonomycetes"
"g__Leohumicola","ft_225","g__Leohumicola"
"g__Monoblepharidales_gen_Incertae_sedis","ft_226","g__Monoblepharidales_gen_Incertae_sedis"
"g__Pyrenochaeta","ft_227","g__Pyrenochaeta"
"g__Tumularia","ft_228","g__Tumularia"
"g__Leucosporidium","ft_229","g__Leucosporidium"
"g__Myrmecridium","ft_230","g__Myrmecridium"
"g__Orbiliaceae_gen_Incertae_sedis","ft_231","g__Orbiliaceae_gen_Incertae_sedis"
"Unclass_f__Xylariaceae","ft_232","Unclass_f__Xylariaceae"
"g__Cephalotrichum","ft_233","g__Cephalotrichum"
"g__Linnemannia","ft_234","g__Linnemannia"
"Unclass_f__Pezizaceae","ft_235","Unclass_f__Pezizaceae"
"Unclass_f__Helvellaceae","ft_236","Unclass_f__Helvellaceae"
"g__Ramophialophora","ft_237","g__Ramophialophora"
"g__Sclerococcales_gen_Incertae_sedis","ft_238","g__Sclerococcales_gen_Incertae_sedis"
"g__Pleomassariaceae_gen_Incertae_sedis","ft_239","g__Pleomassariaceae_gen_Incertae_sedis"
"g__Waitea","ft_240","g__Waitea"
"g__Pseudorhypophila","ft_241","g__Pseudorhypophila"
"g__Gibellulopsis","ft_242","g__Gibellulopsis"
"g__Ascotricha","ft_243","g__Ascotricha"
"Unclass_f__Venturiaceae","ft_244","Unclass_f__Venturiaceae"
"g__Lunasporangiospora","ft_245","g__Lunasporangiospora"
"g__Pseudotomentella","ft_246","g__Pseudotomentella"
"g__Calyptrozyma","ft_247","g__Calyptrozyma"
"g__Diversisporaceae_gen_Incertae_sedis","ft_248","g__Diversisporaceae_gen_Incertae_sedis"
"Unclass_f__Ceratobasidiaceae","ft_249","Unclass_f__Ceratobasidiaceae"
"g__Halosphaeriaceae_gen_Incertae_sedis","ft_250","g__Halosphaeriaceae_gen_Incertae_sedis"
"g__Phaeosphaeriopsis","ft_251","g__Phaeosphaeriopsis"
"g__Rhagadostoma","ft_252","g__Rhagadostoma"
"g__Septoriella","ft_253","g__Septoriella"
"g__Clohesyomyces","ft_254","g__Clohesyomyces"
"g__Cryptodiscus","ft_255","g__Cryptodiscus"
"g__Ceratobasidiaceae_gen_Incertae_sedis","ft_256","g__Ceratobasidiaceae_gen_Incertae_sedis"
"g__Keithomyces","ft_257","g__Keithomyces"
"g__Microcera","ft_258","g__Microcera"
"g__Geopora","ft_259","g__Geopora"
"g__Podospora","ft_260","g__Podospora"
"g__Cirrenalia","ft_261","g__Cirrenalia"
"g__Polyphilus","ft_262","g__Polyphilus"
"Unclass_o__Boletales","ft_263","Unclass_o__Boletales"
"g__Phaeoacremonium","ft_264","g__Phaeoacremonium"
"Unclass_c__Lecanoromycetes","ft_265","Unclass_c__Lecanoromycetes"
"g__Cucurbitariaceae_gen_Incertae_sedis","ft_266","g__Cucurbitariaceae_gen_Incertae_sedis"
"g__Capnodiales_gen_Incertae_sedis","ft_267","g__Capnodiales_gen_Incertae_sedis"
"Unclass_o__Helotiales","ft_268","Unclass_o__Helotiales"
"g__Papiliotrema","ft_269","g__Papiliotrema"
"g__Coleophoma","ft_270","g__Coleophoma"
"g__Rhizophlyctis","ft_271","g__Rhizophlyctis"
"g__Dactylonectria","ft_272","g__Dactylonectria"
"g__Heydenia","ft_273","g__Heydenia"
"Unclass_o__Cladochytriales","ft_274","Unclass_o__Cladochytriales"
"Unclass_f__Helotiaceae","ft_275","Unclass_f__Helotiaceae"
"g__Articulospora","ft_276","g__Articulospora"
"Unclass_f__Cucurbitariaceae","ft_277","Unclass_f__Cucurbitariaceae"
"g__Trichosporiella","ft_278","g__Trichosporiella"
"g__Neobulgaria","ft_279","g__Neobulgaria"
"g__Chaetosphaeria","ft_280","g__Chaetosphaeria"
"g__Clonostachys","ft_281","g__Clonostachys"
"g__Trichoderma","ft_282","g__Trichoderma"
"g__Rhizophagus","ft_283","g__Rhizophagus"
"g__GS36_gen_Incertae_sedis","ft_284","g__GS36_gen_Incertae_sedis"
"Unclass_f__Pleosporales_fam_Incertae_sedis","ft_285","Unclass_f__Pleosporales_fam_Incertae_sedis"
"g__Lophiostoma","ft_286","g__Lophiostoma"
"g__Diplogelasinospora","ft_287","g__Diplogelasinospora"
"g__Dactylella","ft_288","g__Dactylella"
"g__Slooffia","ft_289","g__Slooffia"
"g__Geomyces","ft_290","g__Geomyces"
"g__Arxiella","ft_291","g__Arxiella"
"g__Cunninghamellaceae_gen_Incertae_sedis","ft_292","g__Cunninghamellaceae_gen_Incertae_sedis"
"g__Cladochytriales_gen_Incertae_sedis","ft_293","g__Cladochytriales_gen_Incertae_sedis"
"g__Amphisphaeriales_gen_Incertae_sedis","ft_294","g__Amphisphaeriales_gen_Incertae_sedis"
"g__Pisorisporiales_gen_Incertae_sedis","ft_295","g__Pisorisporiales_gen_Incertae_sedis"
"g__Absidia","ft_296","g__Absidia"
"g__Dothiorella","ft_297","g__Dothiorella"
"g__Pyxidiophorales_gen_Incertae_sedis","ft_298","g__Pyxidiophorales_gen_Incertae_sedis"
"Unclass_o__Diaporthales","ft_299","Unclass_o__Diaporthales"
"g__Immersidiscosia","ft_300","g__Immersidiscosia"
"g__Mycena","ft_301","g__Mycena"
"g__Murispora","ft_302","g__Murispora"
"g__Dioszegia","ft_303","g__Dioszegia"
"g__Chaetomidium","ft_304","g__Chaetomidium"
"g__Protomyces","ft_305","g__Protomyces"
"g__Knufia","ft_306","g__Knufia"
"g__Pezizomycotina_gen_Incertae_sedis","ft_307","g__Pezizomycotina_gen_Incertae_sedis"
"g__Rutstroemia","ft_308","g__Rutstroemia"
"g__Cosmospora","ft_309","g__Cosmospora"
"g__Pithoascus","ft_310","g__Pithoascus"
"g__Septoglomus","ft_311","g__Septoglomus"
"g__Limonomyces","ft_312","g__Limonomyces"
"g__Fimicolochytrium","ft_313","g__Fimicolochytrium"
"g__Cladophialophora","ft_314","g__Cladophialophora"
"g__Acaulosporaceae_gen_Incertae_sedis","ft_315","g__Acaulosporaceae_gen_Incertae_sedis"
"g__Cylindrosympodium","ft_316","g__Cylindrosympodium"
"Unclass_o__Sebacinales","ft_317","Unclass_o__Sebacinales"
"g__Harzia","ft_318","g__Harzia"
"g__Tricladiaceae_gen_Incertae_sedis","ft_319","g__Tricladiaceae_gen_Incertae_sedis"
"g__Dominikia","ft_320","g__Dominikia"
"g__Hyaloscyphaceae_gen_Incertae_sedis","ft_321","g__Hyaloscyphaceae_gen_Incertae_sedis"
"g__Subramaniula","ft_322","g__Subramaniula"
"g__Rhinocladiella","ft_323","g__Rhinocladiella"
"g__Xenoacremonium","ft_324","g__Xenoacremonium"
"g__Pisolithus","ft_325","g__Pisolithus"
"g__Flavopunctelia","ft_326","g__Flavopunctelia"
"g__Paragibellulopsis","ft_327","g__Paragibellulopsis"
"g__Herpotrichia","ft_328","g__Herpotrichia"
"g__Rhizophlyctidales_gen_Incertae_sedis","ft_329","g__Rhizophlyctidales_gen_Incertae_sedis"
"g__Pleomonodictydaceae_gen_Incertae_sedis","ft_330","g__Pleomonodictydaceae_gen_Incertae_sedis"
"Unclass_f__Hyaloscyphaceae","ft_331","Unclass_f__Hyaloscyphaceae"
"g__Cryptocline","ft_332","g__Cryptocline"
"Unclass_p__Chytridiomycota","ft_333","Unclass_p__Chytridiomycota"
"g__Macrotyphula","ft_334","g__Macrotyphula"
"g__Agaricomycetes_gen_Incertae_sedis","ft_335","g__Agaricomycetes_gen_Incertae_sedis"
"g__Plicaria","ft_336","g__Plicaria"
"g__Truncatella","ft_337","g__Truncatella"
"g__Didymocyrtis","ft_338","g__Didymocyrtis"
"g__Metacordyceps","ft_339","g__Metacordyceps"
"g__Scleroconidioma","ft_340","g__Scleroconidioma"
"g__Apophysomyces","ft_341","g__Apophysomyces"
"g__Myxarium","ft_342","g__Myxarium"
"g__Diversispora","ft_343","g__Diversispora"
"g__Marjia","ft_344","g__Marjia"
"Unclass_f__Hypocreales_fam_Incertae_sedis","ft_345","Unclass_f__Hypocreales_fam_Incertae_sedis"
"g__Trichophaeopsis","ft_346","g__Trichophaeopsis"
"g__Spirosphaera","ft_347","g__Spirosphaera"
"g__Microdochium","ft_348","g__Microdochium"
"Unclass_f__Leptosphaeriaceae","ft_349","Unclass_f__Leptosphaeriaceae"
"g__Harpochytrium","ft_350","g__Harpochytrium"
"g__Sphaerosporella","ft_351","g__Sphaerosporella"
"g__Apiosordaria","ft_352","g__Apiosordaria"
"g__Stachybotryaceae_gen_Incertae_sedis","ft_353","g__Stachybotryaceae_gen_Incertae_sedis"
"g__Cunninghamella","ft_354","g__Cunninghamella"
"g__Endogonales_gen_Incertae_sedis","ft_355","g__Endogonales_gen_Incertae_sedis"
"g__Neonectria","ft_356","g__Neonectria"
"g__Nowakowskiella","ft_357","g__Nowakowskiella"
"g__Stemphylium","ft_358","g__Stemphylium"
"g__Achroceratosphaeria","ft_359","g__Achroceratosphaeria"
"g__Phacidium","ft_360","g__Phacidium"
"g__Biscogniauxia","ft_361","g__Biscogniauxia"
"g__Phomatospora","ft_362","g__Phomatospora"
"g__Lacrymaria","ft_363","g__Lacrymaria"
"g__Saitoella","ft_364","g__Saitoella"
"g__Peziza","ft_365","g__Peziza"
"g__Fontanospora","ft_366","g__Fontanospora"
"g__Triscelophorus","ft_367","g__Triscelophorus"
"g__Pezizales_gen_Incertae_sedis","ft_368","g__Pezizales_gen_Incertae_sedis"
"g__Monosporascus","ft_369","g__Monosporascus"
"g__Phaeococcomyces","ft_370","g__Phaeococcomyces"
"g__Archaeorhizomyces","ft_371","g__Archaeorhizomyces"
"Unclass_o__Eurotiales","ft_372","Unclass_o__Eurotiales"
"g__Zoopagaceae_gen_Incertae_sedis","ft_373","g__Zoopagaceae_gen_Incertae_sedis"
"g__Chaetasbolisia","ft_374","g__Chaetasbolisia"
"Unclass_o__Minutisphaerales","ft_375","Unclass_o__Minutisphaerales"
"Unclass_c__Glomeromycetes","ft_376","Unclass_c__Glomeromycetes"
"g__Leuconeurospora","ft_377","g__Leuconeurospora"
"g__Geoglossum","ft_378","g__Geoglossum"
"g__Darksidea","ft_379","g__Darksidea"
"g__Hirsutella","ft_380","g__Hirsutella"
"g__Rhizophlyctidaceae_gen_Incertae_sedis","ft_381","g__Rhizophlyctidaceae_gen_Incertae_sedis"
"g__Vaginatispora","ft_382","g__Vaginatispora"
"g__Neophaeosphaeria","ft_383","g__Neophaeosphaeria"
"g__Apodus","ft_384","g__Apodus"
"g__Delitschia","ft_385","g__Delitschia"
"g__Fusculinaceae_gen_Incertae_sedis","ft_386","g__Fusculinaceae_gen_Incertae_sedis"
