"","Kingdom","Phylum","Class","Order","Family","Genus","Primary_lifestyle","tid"
"g__Calyptrozyma","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Calyptrozyma","unspecified_saprotroph","ft_247"
"g__Diversisporaceae_gen_Incertae_sedis","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Diversisporaceae","g__Diversisporaceae_gen_Incertae_sedis","","ft_248"
"Unclass_f__Ceratobasidiaceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","Unclass_f__Ceratobasidiaceae",NA,"ft_249"
"g__Halosphaeriaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Halosphaeriaceae","g__Halosphaeriaceae_gen_Incertae_sedis","","ft_250"
"g__Phaeosphaeriopsis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeriopsis","plant_pathogen","ft_251"
"g__Rhagadostoma","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coronophorales","f__Nitschkiaceae","g__Rhagadostoma","lichen_parasite","ft_252"
"g__Septoriella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Septoriella","litter_saprotroph","ft_253"
"g__Clohesyomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lindgomycetaceae","g__Clohesyomyces","wood_saprotroph","ft_254"
"g__Cryptodiscus","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Stictidaceae","g__Cryptodiscus","lichen_parasite","ft_255"
"g__Ceratobasidiaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Ceratobasidiaceae_gen_Incertae_sedis","","ft_256"
"g__Keithomyces","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Keithomyces","","ft_257"
"g__Microcera","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Microcera","animal_parasite","ft_258"
"g__Geopora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Geopora","ectomycorrhizal","ft_259"
"g__Podospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Podosporaceae","g__Podospora","dung_saprotroph","ft_260"
"g__Cirrenalia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Halosphaeriaceae","g__Cirrenalia","wood_saprotroph","ft_261"
"g__Polyphilus","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Calloriaceae","g__Polyphilus","unspecified_saprotroph","ft_262"
"Unclass_o__Boletales","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales",NA,"Unclass_o__Boletales",NA,"ft_263"
"g__Phaeoacremonium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Togniniales","f__Togniniaceae","g__Phaeoacremonium","plant_pathogen","ft_264"
"Unclass_c__Lecanoromycetes","k__Fungi","p__Ascomycota","c__Lecanoromycetes",NA,NA,"Unclass_c__Lecanoromycetes",NA,"ft_265"
"g__Cucurbitariaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Cucurbitariaceae_gen_Incertae_sedis","","ft_266"
"g__Capnodiales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Capnodiales_gen_Incertae_sedis","","ft_267"
"Unclass_o__Helotiales","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,"Unclass_o__Helotiales",NA,"ft_268"
"g__Papiliotrema","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","mycoparasite","ft_269"
"g__Coleophoma","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Coleophoma","plant_pathogen","ft_270"
"g__Rhizophlyctis","k__Fungi","p__Chytridiomycota","c__Rhizophlyctidomycetes","o__Rhizophlyctidales","f__Rhizophlyctidaceae","g__Rhizophlyctis","litter_saprotroph","ft_271"
"g__Dactylonectria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Dactylonectria","plant_pathogen","ft_272"
"g__Heydenia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Heydenia","litter_saprotroph","ft_273"
"Unclass_o__Cladochytriales","k__Fungi","p__Chytridiomycota","c__Cladochytriomycetes","o__Cladochytriales",NA,"Unclass_o__Cladochytriales",NA,"ft_274"
"Unclass_f__Helotiaceae","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","Unclass_f__Helotiaceae",NA,"ft_275"
"g__Articulospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Articulospora","litter_saprotroph","ft_276"
"Unclass_f__Cucurbitariaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","Unclass_f__Cucurbitariaceae",NA,"ft_277"
"g__Trichosporiella","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Trichosporiella","soil_saprotroph","ft_278"
"g__Neobulgaria","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Gelatinodiscaceae","g__Neobulgaria","wood_saprotroph","ft_279"
"g__Chaetosphaeria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriaceae","g__Chaetosphaeria","litter_saprotroph","ft_280"
"g__Clonostachys","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Clonostachys","wood_saprotroph","ft_281"
"g__Trichoderma","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","mycoparasite","ft_282"
"g__Rhizophagus","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus","arbuscular_mycorrhizal","ft_283"
"g__GS36_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__GS36","f__GS36_fam_Incertae_sedis","g__GS36_gen_Incertae_sedis","","ft_284"
"Unclass_f__Pleosporales_fam_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","Unclass_f__Pleosporales_fam_Incertae_sedis",NA,"ft_285"
"g__Lophiostoma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Lophiostoma","wood_saprotroph","ft_286"
"g__Diplogelasinospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariaceae","g__Diplogelasinospora","soil_saprotroph","ft_287"
"g__Dactylella","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Dactylella","wood_saprotroph","ft_288"
