"","Kingdom","Phylum","Class","Order","Family","Genus","Primary_lifestyle","tid"
"g__Sphaerosporella","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Sphaerosporella","ectomycorrhizal","ft_351"
"g__Apiosordaria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Apiosordaria","dung_saprotroph","ft_352"
"g__Stachybotryaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Stachybotryaceae_gen_Incertae_sedis","","ft_353"
"g__Cunninghamella","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Cunninghamellaceae","g__Cunninghamella","soil_saprotroph","ft_354"
"g__Endogonales_gen_Incertae_sedis","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__Endogonales","f__Endogonales_fam_Incertae_sedis","g__Endogonales_gen_Incertae_sedis","","ft_355"
"g__Neonectria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Neonectria","plant_pathogen","ft_356"
"g__Nowakowskiella","k__Fungi","p__Chytridiomycota","c__Cladochytriomycetes","o__Cladochytriales","f__Nowakowskiellaceae","g__Nowakowskiella","litter_saprotroph","ft_357"
"g__Stemphylium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Stemphylium","plant_pathogen","ft_358"
"g__Achroceratosphaeria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Pisorisporiales","f__Pisorisporiaceae","g__Achroceratosphaeria","wood_saprotroph","ft_359"
"g__Phacidium","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Phacidiales","f__Phacidiaceae","g__Phacidium","plant_pathogen","ft_360"
"g__Biscogniauxia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Graphostromataceae","g__Biscogniauxia","wood_saprotroph","ft_361"
"g__Phomatospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Phomatosporales","f__Phomatosporaceae","g__Phomatospora","wood_saprotroph","ft_362"
"g__Lacrymaria","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Lacrymaria","litter_saprotroph","ft_363"
"g__Saitoella","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Protomycetaceae","g__Saitoella","soil_saprotroph","ft_364"
"g__Peziza","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Peziza","soil_saprotroph","ft_365"
"g__Fontanospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Fontanospora","litter_saprotroph","ft_366"
"g__Triscelophorus","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Triscelophorus","foliar_endophyte","ft_367"
"g__Pezizales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizales_fam_Incertae_sedis","g__Pezizales_gen_Incertae_sedis","","ft_368"
"g__Monosporascus","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Monosporascus","plant_pathogen","ft_369"
"g__Phaeococcomyces","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Phaeococcomycetaceae","g__Phaeococcomyces","unspecified_saprotroph","ft_370"
"g__Archaeorhizomyces","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces","soil_saprotroph","ft_371"
"Unclass_o__Eurotiales","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales",NA,"Unclass_o__Eurotiales",NA,"ft_372"
"g__Zoopagaceae_gen_Incertae_sedis","k__Fungi","p__Zoopagomycota","c__Zoopagomycetes","o__Zoopagales","f__Zoopagaceae","g__Zoopagaceae_gen_Incertae_sedis","","ft_373"
"g__Chaetasbolisia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Chaetasbolisia","litter_saprotroph","ft_374"
"Unclass_o__Minutisphaerales","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Minutisphaerales",NA,"Unclass_o__Minutisphaerales",NA,"ft_375"
"Unclass_c__Glomeromycetes","k__Fungi","p__Glomeromycota","c__Glomeromycetes",NA,NA,"Unclass_c__Glomeromycetes",NA,"ft_376"
"g__Leuconeurospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Leuconeurospora","dung_saprotroph","ft_377"
"g__Geoglossum","k__Fungi","p__Ascomycota","c__Geoglossomycetes","o__Geoglossales","f__Geoglossaceae","g__Geoglossum","soil_saprotroph","ft_378"
"g__Darksidea","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Darksidea","root_endophyte","ft_379"
"g__Hirsutella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Hirsutella","animal_parasite","ft_380"
"g__Rhizophlyctidaceae_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Rhizophlyctidomycetes","o__Rhizophlyctidales","f__Rhizophlyctidaceae","g__Rhizophlyctidaceae_gen_Incertae_sedis","","ft_381"
"g__Vaginatispora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Vaginatispora","wood_saprotroph","ft_382"
"g__Neophaeosphaeria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Neophaeosphaeriaceae","g__Neophaeosphaeria","wood_saprotroph","ft_383"
"g__Apodus","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Apodus","dung_saprotroph","ft_384"
"g__Delitschia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Delitschiaceae","g__Delitschia","litter_saprotroph","ft_385"
"g__Fusculinaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Fusculinaceae","g__Fusculinaceae_gen_Incertae_sedis","","ft_386"
"g__Phialophora","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Phialophora","litter_saprotroph","ft_387"
"g__Torula","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Torulaceae","g__Torula","foliar_endophyte","ft_388"
"g__Subulicystidium","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Subulicystidium","wood_saprotroph","ft_389"
"g__Orbiliomycetes_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliomycetes_ord_Incertae_sedis","f__Orbiliomycetes_fam_Incertae_sedis","g__Orbiliomycetes_gen_Incertae_sedis","","ft_390"
"Unclass_f__Archaeosporaceae","k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales","f__Archaeosporaceae","Unclass_f__Archaeosporaceae",NA,"ft_391"
"g__Ascomycota_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Ascomycota_cls_Incertae_sedis","o__Ascomycota_ord_Incertae_sedis","f__Ascomycota_fam_Incertae_sedis","g__Ascomycota_gen_Incertae_sedis","","ft_392"
"Unclass_o__Orbiliales","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales",NA,"Unclass_o__Orbiliales",NA,"ft_393"
"g__Neomicrosphaeropsis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Neomicrosphaeropsis","litter_saprotroph","ft_394"
"g__Pseudosigmoidea","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Pseudosigmoidea","soil_saprotroph","ft_395"
"g__Balsamia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Helvellaceae","g__Balsamia","ectomycorrhizal","ft_396"
"g__Mortierellaceae_gen_Incertae_sedis","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierellaceae_gen_Incertae_sedis","","ft_397"
"g__Paraglomus","k__Fungi","p__Glomeromycota","c__Paraglomeromycetes","o__Paraglomerales","f__Paraglomeraceae","g__Paraglomus","arbuscular_mycorrhizal","ft_398"
"Unclass_f__Didymosphaeriaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","Unclass_f__Didymosphaeriaceae",NA,"ft_399"
"g__Pleurocatena","k__Fungi","p__Ascomycota","c__Laboulbeniomycetes","o__Pyxidiophorales","f__Pyxidiophoraceae","g__Pleurocatena","unspecified_saprotroph","ft_400"
"g__Ramicandelaber","k__Fungi","p__Kickxellomycota","c__Ramicandelaberomycetes","o__Ramicandelaberales","f__Ramicandelaberaceae","g__Ramicandelaber","soil_saprotroph","ft_401"
"g__Crepidotus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Crepidotaceae","g__Crepidotus","wood_saprotroph","ft_402"
"g__Plectosphaerella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","g__Plectosphaerella","plant_pathogen","ft_403"
"g__Karstenia","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Stictidaceae","g__Karstenia","unspecified_saprotroph","ft_404"
"g__Endosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Endosporiaceae","g__Endosporium","litter_saprotroph","ft_405"
"Unclass_f__Microascaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","Unclass_f__Microascaceae",NA,"ft_406"
"g__Paramyrothecium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Paramyrothecium","soil_saprotroph","ft_407"
"g__Ajellomycetaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Ajellomycetaceae","g__Ajellomycetaceae_gen_Incertae_sedis","","ft_408"
"g__Rozellomycota_gen_Incertae_sedis","k__Fungi","p__Rozellomycota","c__Rozellomycota_cls_Incertae_sedis","o__Rozellomycota_ord_Incertae_sedis","f__Rozellomycota_fam_Incertae_sedis","g__Rozellomycota_gen_Incertae_sedis","","ft_409"
"g__Cylindrium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cylindriaceae","g__Cylindrium","plant_pathogen","ft_410"
"g__Alatospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Alatospora","litter_saprotroph","ft_411"
"g__Peristomialis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Peristomialis","litter_saprotroph","ft_412"
"g__Tubeufiales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Tubeufiales_fam_Incertae_sedis","g__Tubeufiales_gen_Incertae_sedis","","ft_413"
"g__Melanogaster","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Melanogastraceae","g__Melanogaster","ectomycorrhizal","ft_414"
"g__Claussenomyces","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Claussenomyces","wood_saprotroph","ft_415"
"g__Hydropisphaera","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Hydropisphaera","litter_saprotroph","ft_416"
"g__Neohelicomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Tubeufiaceae","g__Neohelicomyces","wood_saprotroph","ft_417"
"g__Paramicrothyrium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Boliniales","f__Boliniales_fam_Incertae_sedis","g__Paramicrothyrium","epiphyte","ft_418"
"g__Rhizoglomus","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizoglomus","arbuscular_mycorrhizal","ft_419"
"g__Simplicillium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Simplicillium","animal_parasite","ft_420"
"g__Ochrocladosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Ochrocladosporium","wood_saprotroph","ft_421"
"g__Helicosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Tubeufiaceae","g__Helicosporium","wood_saprotroph","ft_422"
"g__Delitschiaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Delitschiaceae","g__Delitschiaceae_gen_Incertae_sedis","","ft_423"
"g__Paecilomyces","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Paecilomyces","foliar_endophyte","ft_424"
"g__Hyaloraphidiales_gen_Incertae_sedis","k__Fungi","p__Monoblepharomycota","c__Hyaloraphidiomycetes","o__Hyaloraphidiales","f__Hyaloraphidiales_fam_Incertae_sedis","g__Hyaloraphidiales_gen_Incertae_sedis","","ft_425"
"g__Lepidotia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Lepidotia","litter_saprotroph","ft_426"
"g__Candelariella","k__Fungi","p__Ascomycota","c__Candelariomycetes","o__Candelariales","f__Candelariaceae","g__Candelariella","lichenized","ft_427"
"g__GS18_ord_Incertae_sedis_gen_Incertae_sedis","k__Fungi","p__Olpidiomycota","c__GS18","o__GS18_ord_Incertae_sedis","f__GS18_ord_Incertae_sedis_fam_Incertae_sedis","g__GS18_ord_Incertae_sedis_gen_Incertae_sedis","","ft_428"
"g__Dactylospora","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales","f__Dactylosporaceae","g__Dactylospora","lichen_parasite","ft_429"
"g__Tubeufiaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Tubeufiaceae","g__Tubeufiaceae_gen_Incertae_sedis","","ft_430"
"g__Macrophomina","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Macrophomina","plant_pathogen","ft_431"
"g__Pezizellaster","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Lachnaceae","g__Pezizellaster","","ft_432"
"g__Coprotus","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizales_fam_Incertae_sedis","g__Coprotus","dung_saprotroph","ft_433"
"g__Hormiactis","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Hormiactis","mycoparasite","ft_434"
"g__Corticiales_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiales_fam_Incertae_sedis","g__Corticiales_gen_Incertae_sedis","","ft_435"
"g__Geranomyces","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Powellomycetaceae","g__Geranomyces","pollen_saprotroph","ft_436"
"g__Cystofilobasidium","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","litter_saprotroph","ft_437"
"g__Kochiomyces","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Kochiomyces","pollen_saprotroph","ft_438"
"g__Clavulinopsis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavulinopsis","soil_saprotroph","ft_439"
"g__Trappea","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hysterangiales","f__Hysterangiaceae","g__Trappea","soil_saprotroph","ft_440"
"g__Orbilia","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Orbilia","wood_saprotroph","ft_441"
"g__Chionosphaeraceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Chionosphaeraceae","g__Chionosphaeraceae_gen_Incertae_sedis","","ft_442"
"g__Lasiosphaeria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Lasiosphaeria","unspecified_saprotroph","ft_443"
"g__Amniculicola","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amniculicolaceae","g__Amniculicola","wood_saprotroph","ft_444"
"Unclass_f__Amniculicolaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amniculicolaceae","Unclass_f__Amniculicolaceae",NA,"ft_445"
"g__Cryptococcaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Cryptococcaceae_gen_Incertae_sedis","","ft_446"
"g__Sporobolomyces","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Sporobolomyces","mycoparasite","ft_447"
"g__Lecythophora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Lecythophora","unspecified_saprotroph","ft_448"
"g__Eurotiales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Eurotiales_fam_Incertae_sedis","g__Eurotiales_gen_Incertae_sedis","","ft_449"
"g__Veronaeopsis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Veronaeopsis","litter_saprotroph","ft_450"
"g__Athelia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","g__Athelia","lichen_parasite","ft_451"
"g__Cystobasidium","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium","mycoparasite","ft_452"
"g__Pseudoanungitea","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Pseudoanungitea","wood_saprotroph","ft_453"
"g__Apodospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Apodospora","unspecified_saprotroph","ft_454"
"g__Melanommataceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Melanommataceae_gen_Incertae_sedis","","ft_455"
"g__Trichobolus","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizales_fam_Incertae_sedis","g__Trichobolus","dung_saprotroph","ft_456"
"g__Glomeraceae_gen_Incertae_sedis","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomeraceae_gen_Incertae_sedis","","ft_457"
"g__Trichophaea","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Trichophaea","ectomycorrhizal","ft_458"
"g__Pseudoacrodictys","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Reticulascaceae","g__Pseudoacrodictys","foliar_endophyte","ft_459"
"g__Ostropales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Ostropales_fam_Incertae_sedis","g__Ostropales_gen_Incertae_sedis","","ft_460"
"g__Tubaria","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Tubaria","litter_saprotroph","ft_461"
"g__Curvibasidium","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Microbotryomycetes_fam_Incertae_sedis","g__Curvibasidium","wood_saprotroph","ft_462"
"g__Lanzia","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Rutstroemiaceae","g__Lanzia","litter_saprotroph","ft_463"
"g__Sporormiella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Sporormiella","litter_saprotroph","ft_464"
"Unclass_f__Glomeraceae","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","Unclass_f__Glomeraceae",NA,"ft_465"
"g__Entyloma","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Entylomatales","f__Entylomataceae","g__Entyloma","plant_pathogen","ft_466"
"Unclass_f__Typhulaceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Typhulaceae","Unclass_f__Typhulaceae",NA,"ft_467"
"g__Endogone","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__Endogonales","f__Endogonaceae","g__Endogone","soil_saprotroph","ft_468"
"g__Podosphaera","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Podosphaera","plant_pathogen","ft_469"
"g__Archaeospora","k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales","f__Archaeosporaceae","g__Archaeospora","arbuscular_mycorrhizal","ft_470"
"g__Erythricium","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Erythricium","wood_saprotroph","ft_471"
"g__Halenospora","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tricladiaceae","g__Halenospora","wood_saprotroph","ft_472"
"g__Pyronemataceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Pyronemataceae_gen_Incertae_sedis","","ft_473"
"g__Kondoa","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Kondoa","unspecified_saprotroph","ft_474"
"Unclass_f__Serendipitaceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","Unclass_f__Serendipitaceae",NA,"ft_475"
"g__Endogonomycetes_gen_Incertae_sedis","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__Endogonomycetes_ord_Incertae_sedis","f__Endogonomycetes_fam_Incertae_sedis","g__Endogonomycetes_gen_Incertae_sedis","","ft_476"
"g__Rasamsonia","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Rasamsonia","soil_saprotroph","ft_477"
"g__Rupestriomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetes_ord_Incertae_sedis","f__Dothideomycetes_fam_Incertae_sedis","g__Rupestriomyces","unspecified_saprotroph","ft_478"
"Unclass_f__Parmeliaceae","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Parmeliaceae","Unclass_f__Parmeliaceae",NA,"ft_479"
"g__Lamprospora","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Lamprospora","moss_symbiont","ft_480"
"g__Rhizophydium","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiaceae","g__Rhizophydium","algal_parasite","ft_481"
"g__Sistotrema","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","g__Sistotrema","litter_saprotroph","ft_482"
"g__Sphaerostilbella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Sphaerostilbella","mycoparasite","ft_483"
"g__Unguicularia","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Unguicularia","litter_saprotroph","ft_484"
"g__Auricularia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariaceae","g__Auricularia","wood_saprotroph","ft_485"
"g__Ophiocordyceps","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Ophiocordyceps","animal_parasite","ft_486"
"Unclass_f__Monoblastiaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Monoblastiales","f__Monoblastiaceae","Unclass_f__Monoblastiaceae",NA,"ft_487"
"g__Coprinopsis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis","soil_saprotroph","ft_488"
"g__Sebacinales_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinales_fam_Incertae_sedis","g__Sebacinales_gen_Incertae_sedis","","ft_489"
"g__Myriangiales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Myriangiales_fam_Incertae_sedis","g__Myriangiales_gen_Incertae_sedis","","ft_490"
"g__Gaeumannomyces","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Magnaporthales","f__Magnaporthaceae","g__Gaeumannomyces","plant_pathogen","ft_491"
"Unclass_f__Diaporthaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","Unclass_f__Diaporthaceae",NA,"ft_492"
"g__Gallinipes","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Gallinipes","pollen_saprotroph","ft_493"
"Unclass_f__Cortinariaceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","Unclass_f__Cortinariaceae",NA,"ft_494"
"g__Rhodosporidiobolus","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodosporidiobolus","unspecified_saprotroph","ft_495"
"g__Litschauerella","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Litschauerella","wood_saprotroph","ft_496"
"g__Hypomyces","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Hypomyces","mycoparasite","ft_497"
"g__Nothoseiridium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Nothoseiridium","","ft_498"
"g__Sordariales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","g__Sordariales_gen_Incertae_sedis","","ft_499"
"g__Geastrum","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum","litter_saprotroph","ft_500"
"Unclass_f__Inocybaceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","Unclass_f__Inocybaceae",NA,"ft_501"
"g__Gnomoniopsis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniopsis","foliar_endophyte","ft_502"
"Unclass_f__Sympoventuriaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","Unclass_f__Sympoventuriaceae",NA,"ft_503"
"g__Tricladium","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tricladiaceae","g__Tricladium","litter_saprotroph","ft_504"
