"","tid","Genus"
"g__Sporocytophaga","bt_443","g__Sporocytophaga"
"g__Polycyclovorans","bt_444","g__Polycyclovorans"
"g__Luteitalea","bt_445","g__Luteitalea"
"g__Actinocorallia","bt_446","g__Actinocorallia"
"g__Panacagrimonas","bt_447","g__Panacagrimonas"
"g__Microbacterium","bt_448","g__Microbacterium"
"Unclass_o__S-BQ2-57 soil group","bt_449","Unclass_o__S-BQ2-57 soil group"
"Unclass_f__Microtrichaceae","bt_450","Unclass_f__Microtrichaceae"
"Unclass_f__Planococcaceae","bt_451","Unclass_f__Planococcaceae"
"Unclass_f__37-13","bt_452","Unclass_f__37-13"
"Unclass_c__BD7-11","bt_453","Unclass_c__BD7-11"
"g__Fimbriiglobus","bt_454","g__Fimbriiglobus"
"g__Shinella","bt_455","g__Shinella"
"g__Nitrosomonas","bt_456","g__Nitrosomonas"
"g__Hirschia","bt_457","g__Hirschia"
"g__Knoellia","bt_458","g__Knoellia"
"g__Sporichthya","bt_459","g__Sporichthya"
"Unclass_f__type III","bt_460","Unclass_f__type III"
"g__Sandaracinus","bt_461","g__Sandaracinus"
"g__Variibacter","bt_462","g__Variibacter"
"g__JGI 0001001-H03","bt_463","g__JGI 0001001-H03"
"Unclass_c__Bacteroidia","bt_464","Unclass_c__Bacteroidia"
"g__Roseisolibacter","bt_465","g__Roseisolibacter"
"Unclass_c__Anaerolineae","bt_466","Unclass_c__Anaerolineae"
"g__Candidatus Finniella","bt_467","g__Candidatus Finniella"
"g__Parafrigoribacterium","bt_468","g__Parafrigoribacterium"
"Unclass_f__Methylophilaceae","bt_469","Unclass_f__Methylophilaceae"
"g__Cystobacter","bt_470","g__Cystobacter"
"g__Sphaerobacter","bt_471","g__Sphaerobacter"
"Unclass_f__Caldilineaceae","bt_472","Unclass_f__Caldilineaceae"
"g__Glycomyces","bt_473","g__Glycomyces"
"g__Quadrisphaera","bt_474","g__Quadrisphaera"
"Unclass_f__SM2D12","bt_475","Unclass_f__SM2D12"
"Unclass_p__Firmicutes","bt_476","Unclass_p__Firmicutes"
"Unclass_c__OLB14","bt_477","Unclass_c__OLB14"
"g__Stenotrophobacter","bt_478","g__Stenotrophobacter"
"g__Neochlamydia","bt_479","g__Neochlamydia"
"g__Bdellovibrio","bt_480","g__Bdellovibrio"
"Unclass_f__Sulfuricellaceae","bt_481","Unclass_f__Sulfuricellaceae"
"g__Taibaiella","bt_482","g__Taibaiella"
"Unclass_c__Lineage IIb","bt_483","Unclass_c__Lineage IIb"
"g__Pseudoflavitalea","bt_484","g__Pseudoflavitalea"
"Unclass_f__Phycisphaeraceae","bt_485","Unclass_f__Phycisphaeraceae"
"g__Sulfurifustis","bt_486","g__Sulfurifustis"
"Unclass_o__FFCH16767","bt_487","Unclass_o__FFCH16767"
"Unclass_o__Armatimonadales","bt_488","Unclass_o__Armatimonadales"
"g__Glutamicibacter","bt_489","g__Glutamicibacter"
"g__Zoogloea","bt_490","g__Zoogloea"
"g__Qipengyuania","bt_491","g__Qipengyuania"
"g__Sumerlaea","bt_492","g__Sumerlaea"
"Unclass_c__Pla4 lineage","bt_493","Unclass_c__Pla4 lineage"
"g__Sphingobacterium","bt_494","g__Sphingobacterium"
"Unclass_c__BD2-11 terrestrial group","bt_495","Unclass_c__BD2-11 terrestrial group"
"g__Nitrobacter","bt_496","g__Nitrobacter"
"Unclass_c__Parcubacteria","bt_497","Unclass_c__Parcubacteria"
"Unclass_f__Simkaniaceae","bt_498","Unclass_f__Simkaniaceae"
"g__Stenotrophomonas","bt_499","g__Stenotrophomonas"
"Unclass_o__MVP-88","bt_500","Unclass_o__MVP-88"
"g__Rhodocytophaga","bt_501","g__Rhodocytophaga"
"g__Bordetella","bt_502","g__Bordetella"
"g__KD3-10","bt_503","g__KD3-10"
"g__Geobacter","bt_504","g__Geobacter"
"g__Nocardia","bt_505","g__Nocardia"
"g__Crossiella","bt_506","g__Crossiella"
"g__Rhodomicrobium","bt_507","g__Rhodomicrobium"
"Unclass_f__Vermiphilaceae","bt_508","Unclass_f__Vermiphilaceae"
"g__Peredibacter","bt_509","g__Peredibacter"
"g__Planotetraspora","bt_510","g__Planotetraspora"
"g__Candidatus Omnitrophus","bt_511","g__Candidatus Omnitrophus"
"g__Chishuiella","bt_512","g__Chishuiella"
"g__SH-PL14","bt_513","g__SH-PL14"
"g__Thermoleophilum","bt_514","g__Thermoleophilum"
"g__Shimazuella","bt_515","g__Shimazuella"
"g__YC-ZSS-LKJ147","bt_516","g__YC-ZSS-LKJ147"
"g__Subtercola","bt_517","g__Subtercola"
"g__Cnuella","bt_518","g__Cnuella"
"Unclass_o__Myxococcales","bt_519","Unclass_o__Myxococcales"
"Unclass_f__bac2nit3","bt_520","Unclass_f__bac2nit3"
"g__Edaphobacter","bt_521","g__Edaphobacter"
"Unclass_o__Candidatus Magasanikbacteria","bt_522","Unclass_o__Candidatus Magasanikbacteria"
"g__Abditibacterium","bt_523","g__Abditibacterium"
"Unclass_o__Candidatus Staskawiczbacteria","bt_524","Unclass_o__Candidatus Staskawiczbacteria"
"Unclass_f__Magnetospirillaceae","bt_525","Unclass_f__Magnetospirillaceae"
"g__wb1-P19","bt_526","g__wb1-P19"
"Unclass_o__Kapabacteriales","bt_527","Unclass_o__Kapabacteriales"
"g__Klenkia","bt_528","g__Klenkia"
"g__Jiangella","bt_529","g__Jiangella"
"g__G12-WMSP1","bt_530","g__G12-WMSP1"
"Unclass_o__mle1-27","bt_531","Unclass_o__mle1-27"
"g__Terrabacter","bt_532","g__Terrabacter"
"g__Spirochaeta 2","bt_533","g__Spirochaeta 2"
"Unclass_o__RBG-13-54-9","bt_534","Unclass_o__RBG-13-54-9"
"g__Leptothrix","bt_535","g__Leptothrix"
"Unclass_f__Burkholderiaceae","bt_536","Unclass_f__Burkholderiaceae"
"g__Rhodococcus","bt_537","g__Rhodococcus"
"g__Actinopolymorpha","bt_538","g__Actinopolymorpha"
"g__Chryseobacterium","bt_539","g__Chryseobacterium"
"g__Rubrivivax","bt_540","g__Rubrivivax"
"Unclass_f__Geminicoccaceae","bt_541","Unclass_f__Geminicoccaceae"
"Unclass_f__Longimicrobiaceae","bt_542","Unclass_f__Longimicrobiaceae"
"Unclass_f__Rhodocyclaceae","bt_543","Unclass_f__Rhodocyclaceae"
"g__Kitasatospora","bt_544","g__Kitasatospora"
"g__Fimbriimonas","bt_545","g__Fimbriimonas"
"Unclass_o__Subgroup 15","bt_546","Unclass_o__Subgroup 15"
"g__[Aquaspirillum] arcticum group","bt_547","g__[Aquaspirillum] arcticum group"
"g__Pelomonas","bt_548","g__Pelomonas"
"g__Thermomonas","bt_549","g__Thermomonas"
"g__Heliimonas","bt_550","g__Heliimonas"
"g__Luteibacter","bt_551","g__Luteibacter"
"g__Tepidisphaera","bt_552","g__Tepidisphaera"
"g__Rugamonas","bt_553","g__Rugamonas"
"Unclass_o__Micavibrionales","bt_554","Unclass_o__Micavibrionales"
"g__Oryzihumus","bt_555","g__Oryzihumus"
"Unclass_f__Obscuribacteraceae","bt_556","Unclass_f__Obscuribacteraceae"
"g__Rubrivirga","bt_557","g__Rubrivirga"
"Unclass_c__Subgroup 11","bt_558","Unclass_c__Subgroup 11"
"g__Actimicrobium","bt_559","g__Actimicrobium"
"g__SWB02","bt_560","g__SWB02"
"g__Yersinia","bt_561","g__Yersinia"
"g__Rhodovastum","bt_562","g__Rhodovastum"
"g__Neo-b11","bt_563","g__Neo-b11"
"g__Alkanibacter","bt_564","g__Alkanibacter"
"g__28-YEA-48","bt_565","g__28-YEA-48"
"Unclass_o__Sphingobacteriales","bt_566","Unclass_o__Sphingobacteriales"
"g__Undibacterium","bt_567","g__Undibacterium"
"Unclass_c__Lineage IIa","bt_568","Unclass_c__Lineage IIa"
"Unclass_o__Omnitrophales","bt_569","Unclass_o__Omnitrophales"
"Unclass_f__BSV26","bt_570","Unclass_f__BSV26"
"Unclass_f__Nannocystaceae","bt_571","Unclass_f__Nannocystaceae"
"Unclass_f__Hydrogenedensaceae","bt_572","Unclass_f__Hydrogenedensaceae"
"Unclass_o__Cytophagales","bt_573","Unclass_o__Cytophagales"
"g__Enhydrobacter","bt_574","g__Enhydrobacter"
"g__Saccharopolyspora","bt_575","g__Saccharopolyspora"
"Unclass_f__Sneathiellaceae","bt_576","Unclass_f__Sneathiellaceae"
"Unclass_f__Parvibaculaceae","bt_577","Unclass_f__Parvibaculaceae"
"Unclass_f__Moraxellaceae","bt_578","Unclass_f__Moraxellaceae"
"Unclass_o__Candidatus Yanofskybacteria","bt_579","Unclass_o__Candidatus Yanofskybacteria"
"Unclass_f__LiUU-11-161","bt_580","Unclass_f__LiUU-11-161"
"g__Leifsonia","bt_581","g__Leifsonia"
"g__Roseomonas","bt_582","g__Roseomonas"
"Unclass_o__053A03-B-DI-P58","bt_583","Unclass_o__053A03-B-DI-P58"
"g__Frankia","bt_584","g__Frankia"
"g__Labilithrix","bt_585","g__Labilithrix"
"Unclass_f__Propionibacteriaceae","bt_586","Unclass_f__Propionibacteriaceae"
"Unclass_o__Puniceispirillales","bt_587","Unclass_o__Puniceispirillales"
"Unclass_f__NS9 marine group","bt_588","Unclass_f__NS9 marine group"
"g__Catellatospora","bt_589","g__Catellatospora"
"g__Actinotalea","bt_590","g__Actinotalea"
"Unclass_f__Saprospiraceae","bt_591","Unclass_f__Saprospiraceae"
"g__Hassallia","bt_592","g__Hassallia"
"g__Parasegetibacter","bt_593","g__Parasegetibacter"
"Unclass_o__Cyanobacteriales","bt_594","Unclass_o__Cyanobacteriales"
"Unclass_o__JTB23","bt_595","Unclass_o__JTB23"
"g__Emticicia","bt_596","g__Emticicia"
"g__Geminicoccus","bt_597","g__Geminicoccus"
"g__Turneriella","bt_598","g__Turneriella"
"Unclass_f__Methylacidiphilaceae","bt_599","Unclass_f__Methylacidiphilaceae"
"g__Aureimonas","bt_600","g__Aureimonas"
"Unclass_f__Intrasporangiaceae","bt_601","Unclass_f__Intrasporangiaceae"
"Unclass_o__Elev-1554","bt_602","Unclass_o__Elev-1554"
"Unclass_c__Polyangia","bt_603","Unclass_c__Polyangia"
"g__Pseudolabrys","bt_604","g__Pseudolabrys"
"Unclass_f__Euzebyaceae","bt_605","Unclass_f__Euzebyaceae"
"g__Verticiella","bt_606","g__Verticiella"
"Unclass_f__Sutterellaceae","bt_607","Unclass_f__Sutterellaceae"
"Unclass_f__Vampirovibrionaceae","bt_608","Unclass_f__Vampirovibrionaceae"
"g__Crocinitomix","bt_609","g__Crocinitomix"
"g__Vulgatibacter","bt_610","g__Vulgatibacter"
"g__Rhizorhapis","bt_611","g__Rhizorhapis"
"g__Rhizocola","bt_612","g__Rhizocola"
"g__Chitinimonas","bt_613","g__Chitinimonas"
"g__Nevskia","bt_614","g__Nevskia"
"Unclass_o__0319-6G20","bt_615","Unclass_o__0319-6G20"
"g__Uliginosibacterium","bt_616","g__Uliginosibacterium"
"g__LD29","bt_617","g__LD29"
"g__Pseudohongiella","bt_618","g__Pseudohongiella"
"g__Advenella","bt_619","g__Advenella"
"g__Motilibacter","bt_620","g__Motilibacter"
"g__Corticibacterium","bt_621","g__Corticibacterium"
"Unclass_f__Blastocatellaceae","bt_622","Unclass_f__Blastocatellaceae"
"g__Sediminibacterium","bt_623","g__Sediminibacterium"
"Unclass_f__Opitutaceae","bt_624","Unclass_f__Opitutaceae"
"Unclass_c__Thermoplasmata","bt_625","Unclass_c__Thermoplasmata"
"g__Nitrospirillum","bt_626","g__Nitrospirillum"
"g__Herpetosiphon","bt_627","g__Herpetosiphon"
"g__Gemmatirosa","bt_628","g__Gemmatirosa"
"g__Permianibacter","bt_629","g__Permianibacter"
"g__Armatimonas","bt_630","g__Armatimonas"
"Unclass_o__FFCH16263","bt_631","Unclass_o__FFCH16263"
"g__Spirosoma","bt_632","g__Spirosoma"
"g__Amnibacterium","bt_633","g__Amnibacterium"
"g__Kaistia","bt_634","g__Kaistia"
"g__Alsobacter","bt_635","g__Alsobacter"
"g__CM1G08","bt_636","g__CM1G08"
"Unclass_f__Chthoniobacteraceae","bt_637","Unclass_f__Chthoniobacteraceae"
"Unclass_f__Hyphomicrobiaceae","bt_638","Unclass_f__Hyphomicrobiaceae"
"g__Parablastomonas","bt_639","g__Parablastomonas"
"g__Solimonas","bt_640","g__Solimonas"
"g__Fibrella","bt_641","g__Fibrella"
"Unclass_f__Solimonadaceae","bt_642","Unclass_f__Solimonadaceae"
"Unclass_f__Azospirillaceae","bt_643","Unclass_f__Azospirillaceae"
"g__Litorilinea","bt_644","g__Litorilinea"
"g__Flavihumibacter","bt_645","g__Flavihumibacter"
"g__Polyangium","bt_646","g__Polyangium"
"g__Rhodopseudomonas","bt_647","g__Rhodopseudomonas"
"Unclass_o__Bacteroidetes VC2.1 Bac22","bt_648","Unclass_o__Bacteroidetes VC2.1 Bac22"
"g__Rugosimonospora","bt_649","g__Rugosimonospora"
"g__Flexibacter","bt_650","g__Flexibacter"
"Unclass_o__UA11","bt_651","Unclass_o__UA11"
"Unclass_o__JG36-TzT-191","bt_652","Unclass_o__JG36-TzT-191"
"Unclass_p__WS2","bt_653","Unclass_p__WS2"
"g__Tumebacillus","bt_654","g__Tumebacillus"
"Unclass_f__Diplorickettsiaceae","bt_655","Unclass_f__Diplorickettsiaceae"
"Unclass_f__Rhizobiaceae","bt_656","Unclass_f__Rhizobiaceae"
"g__AKYG587","bt_657","g__AKYG587"
"Unclass_f__Stappiaceae","bt_658","Unclass_f__Stappiaceae"
"Unclass_o__Thermotogales","bt_659","Unclass_o__Thermotogales"
"g__GKS98 freshwater group","bt_660","g__GKS98 freshwater group"
"g__Terracidiphilus","bt_661","g__Terracidiphilus"
"Unclass_f__Gimesiaceae","bt_662","Unclass_f__Gimesiaceae"
"Unclass_o__VHS-B3-70","bt_663","Unclass_o__VHS-B3-70"
"g__Tahibacter","bt_664","g__Tahibacter"
"g__Azohydromonas","bt_665","g__Azohydromonas"
"Unclass_c__Bathyarchaeia","bt_666","Unclass_c__Bathyarchaeia"
"Unclass_c__Bacilli","bt_667","Unclass_c__Bacilli"
"Unclass_f__Cyclobacteriaceae","bt_668","Unclass_f__Cyclobacteriaceae"
"Unclass_f__FFCH9454","bt_669","Unclass_f__FFCH9454"
"g__FFCH7168","bt_670","g__FFCH7168"
"g__Sandarakinorhabdus","bt_671","g__Sandarakinorhabdus"
"g__Aliidongia","bt_672","g__Aliidongia"
"g__Legionella","bt_673","g__Legionella"
"g__Spirillospora","bt_674","g__Spirillospora"
"Unclass_f__Chlamydiaceae","bt_675","Unclass_f__Chlamydiaceae"
"g__Acidisoma","bt_676","g__Acidisoma"
"g__Larkinella","bt_677","g__Larkinella"
"g__Microcoleus SAG 1449-1a","bt_678","g__Microcoleus SAG 1449-1a"
"Unclass_f__A0839","bt_679","Unclass_f__A0839"
"g__Candidatus Paracaedibacter","bt_680","g__Candidatus Paracaedibacter"
"Unclass_f__Nocardiaceae","bt_681","Unclass_f__Nocardiaceae"
"g__Clostridium sensu stricto 13","bt_682","g__Clostridium sensu stricto 13"
"g__Tuwongella","bt_683","g__Tuwongella"
"g__Herbaspirillum","bt_684","g__Herbaspirillum"
"Unclass_f__Methylopilaceae","bt_685","Unclass_f__Methylopilaceae"
"Unclass_p__Gemmatimonadota","bt_686","Unclass_p__Gemmatimonadota"
"Unclass_c__Planctomycetes","bt_687","Unclass_c__Planctomycetes"
"Unclass_o__EV818SWSAP88","bt_688","Unclass_o__EV818SWSAP88"
"Unclass_f__Frankiaceae","bt_689","Unclass_f__Frankiaceae"
"Unclass_o__SAR202 clade","bt_690","Unclass_o__SAR202 clade"
"Unclass_f__Cytophagaceae","bt_691","Unclass_f__Cytophagaceae"
"g__Lysinimonas","bt_692","g__Lysinimonas"
"g__Nitrolancea","bt_693","g__Nitrolancea"
"g__Ktedonobacter","bt_694","g__Ktedonobacter"
"Unclass_o__PB19","bt_695","Unclass_o__PB19"
"g__Kutzneria","bt_696","g__Kutzneria"
"g__Pseudenhygromyxa","bt_697","g__Pseudenhygromyxa"
"g__Limibaculum","bt_698","g__Limibaculum"
"Unclass_f__Fibrobacteraceae","bt_699","Unclass_f__Fibrobacteraceae"
"g__Cryptosporangium","bt_700","g__Cryptosporangium"
"g__Constrictibacter","bt_701","g__Constrictibacter"
"g__RS25G","bt_702","g__RS25G"
"Unclass_o__Entomoplasmatales","bt_703","Unclass_o__Entomoplasmatales"
"g__Rurimicrobium","bt_704","g__Rurimicrobium"
"Unclass_o__Elev-16S-1166","bt_705","Unclass_o__Elev-16S-1166"
"Unclass_o__B12-WMSP1","bt_706","Unclass_o__B12-WMSP1"
"Unclass_o__Subgroup 12","bt_707","Unclass_o__Subgroup 12"
"g__Longispora","bt_708","g__Longispora"
"Unclass_f__UBA12409","bt_709","Unclass_f__UBA12409"
"g__UBA6140","bt_710","g__UBA6140"
"g__Candidimonas","bt_711","g__Candidimonas"
"g__Dechloromonas","bt_712","g__Dechloromonas"
"Unclass_f__LWQ8","bt_713","Unclass_f__LWQ8"
"g__Pseudoduganella","bt_714","g__Pseudoduganella"
"Unclass_c__AT-s3-28","bt_715","Unclass_c__AT-s3-28"
"Unclass_f__Paludibacteraceae","bt_716","Unclass_f__Paludibacteraceae"
"g__Hymenobacter","bt_717","g__Hymenobacter"
"Unclass_f__Paracaedibacteraceae","bt_718","Unclass_f__Paracaedibacteraceae"
"Unclass_o__Polyangiales","bt_719","Unclass_o__Polyangiales"
"g__Rhodopila","bt_720","g__Rhodopila"
"g__Tenggerimyces","bt_721","g__Tenggerimyces"
"Unclass_f__Rhodobacteraceae","bt_722","Unclass_f__Rhodobacteraceae"
"g__Georgfuchsia","bt_723","g__Georgfuchsia"
"g__Serratia","bt_724","g__Serratia"
"Unclass_f__Ardenticatenaceae","bt_725","Unclass_f__Ardenticatenaceae"
"g__Balneatrix","bt_726","g__Balneatrix"
"g__Flaviaesturariibacter","bt_727","g__Flaviaesturariibacter"
"g__Bacteriovorax","bt_728","g__Bacteriovorax"
"g__Pseudopelobacter","bt_729","g__Pseudopelobacter"
"g__Chiayiivirga","bt_730","g__Chiayiivirga"
"g__Derxia","bt_731","g__Derxia"
"g__JTB255 marine benthic group","bt_732","g__JTB255 marine benthic group"
"g__Methylovirgula","bt_733","g__Methylovirgula"
"Unclass_o__Candidatus Nomurabacteria","bt_734","Unclass_o__Candidatus Nomurabacteria"
"g__Phreatobacter","bt_735","g__Phreatobacter"
"g__Hoeflea","bt_736","g__Hoeflea"
"g__Nostoc PCC-73102","bt_737","g__Nostoc PCC-73102"
"Unclass_f__Eel-36e1D6","bt_738","Unclass_f__Eel-36e1D6"
"Unclass_o__Chthoniobacterales","bt_739","Unclass_o__Chthoniobacterales"
"g__Goodfellowiella","bt_740","g__Goodfellowiella"
"g__Methylibium","bt_741","g__Methylibium"
"Unclass_o__Candidatus Uhrbacteria","bt_742","Unclass_o__Candidatus Uhrbacteria"
"Unclass_o__Candidatus Pacebacteria","bt_743","Unclass_o__Candidatus Pacebacteria"
"g__Ferritrophicum","bt_744","g__Ferritrophicum"
"g__Silvanigrella","bt_745","g__Silvanigrella"
"g__Lapillicoccus","bt_746","g__Lapillicoccus"
"Unclass_f__01D2Z36","bt_747","Unclass_f__01D2Z36"
"Unclass_f__Rickettsiaceae","bt_748","Unclass_f__Rickettsiaceae"
"g__Allocatelliglobosispora","bt_749","g__Allocatelliglobosispora"
"g__WCHB1-32","bt_750","g__WCHB1-32"
"g__Clostridium sensu stricto 1","bt_751","g__Clostridium sensu stricto 1"
"g__Ensifer","bt_752","g__Ensifer"
"Unclass_o__Ga0077536","bt_753","Unclass_o__Ga0077536"
"g__Fictibacillus","bt_754","g__Fictibacillus"
"g__Georgenia","bt_755","g__Georgenia"
"Unclass_f__Symbiobacteraceae","bt_756","Unclass_f__Symbiobacteraceae"
"Unclass_f__Parachlamydiaceae","bt_757","Unclass_f__Parachlamydiaceae"
"Unclass_f__Rhodothermaceae","bt_758","Unclass_f__Rhodothermaceae"
"g__Dokdonella","bt_759","g__Dokdonella"
"Unclass_o__Candidatus Yonathbacteria","bt_760","Unclass_o__Candidatus Yonathbacteria"
"Unclass_f__Holosporaceae","bt_761","Unclass_f__Holosporaceae"
"g__Limnobacter","bt_762","g__Limnobacter"
"g__Sphingorhabdus","bt_763","g__Sphingorhabdus"
"g__Psychrobacillus","bt_764","g__Psychrobacillus"
"g__OLB13","bt_765","g__OLB13"
"Unclass_f__Silvanigrellaceae","bt_766","Unclass_f__Silvanigrellaceae"
"Unclass_c__Subgroup 25","bt_767","Unclass_c__Subgroup 25"
"Unclass_f__Muribaculaceae","bt_768","Unclass_f__Muribaculaceae"
"Unclass_f__Tepidisphaeraceae","bt_769","Unclass_f__Tepidisphaeraceae"
"Unclass_f__WWH38","bt_770","Unclass_f__WWH38"
"g__PMMR1","bt_771","g__PMMR1"
"g__Propionicicella","bt_772","g__Propionicicella"
"g__Rathayibacter","bt_773","g__Rathayibacter"
"g__Parafilimonas","bt_774","g__Parafilimonas"
"g__Rhodovarius","bt_775","g__Rhodovarius"
"Unclass_f__Oligoflexaceae","bt_776","Unclass_f__Oligoflexaceae"
"g__Coxiella","bt_777","g__Coxiella"
"g__Acidiphilium","bt_778","g__Acidiphilium"
"g__Niveibacterium","bt_779","g__Niveibacterium"
"Unclass_o__Babeliales","bt_780","Unclass_o__Babeliales"
"g__Methylocapsa","bt_781","g__Methylocapsa"
"g__Methylophilus","bt_782","g__Methylophilus"
"Unclass_c__Gracilibacteria","bt_783","Unclass_c__Gracilibacteria"
"Unclass_f__Cellvibrionaceae","bt_784","Unclass_f__Cellvibrionaceae"
"Unclass_c__Verrucomicrobiae","bt_785","Unclass_c__Verrucomicrobiae"
"g__Rufibacter","bt_786","g__Rufibacter"
"g__Catenuloplanes","bt_787","g__Catenuloplanes"
"Unclass_o__Candidatus Woesebacteria","bt_788","Unclass_o__Candidatus Woesebacteria"
"g__Clostridium sensu stricto 9","bt_789","g__Clostridium sensu stricto 9"
"g__Oerskovia","bt_790","g__Oerskovia"
"Unclass_o__WN-HWB-116","bt_791","Unclass_o__WN-HWB-116"
"g__Falsirhodobacter","bt_792","g__Falsirhodobacter"
"g__Hydrogenophaga","bt_793","g__Hydrogenophaga"
"g__Vampirovibrio","bt_794","g__Vampirovibrio"
"Unclass_p__Proteobacteria","bt_795","Unclass_p__Proteobacteria"
"g__Terriglobus","bt_796","g__Terriglobus"
"g__BD1-7 clade","bt_797","g__BD1-7 clade"
"Unclass_p__Patescibacteria","bt_798","Unclass_p__Patescibacteria"
"Unclass_o__PLTA13","bt_799","Unclass_o__PLTA13"
"Unclass_o__S-70","bt_800","Unclass_o__S-70"
"g__Dolosigranulum","bt_801","g__Dolosigranulum"
"Unclass_f__Micavibrionaceae","bt_802","Unclass_f__Micavibrionaceae"
"Unclass_o__Flavobacteriales","bt_803","Unclass_o__Flavobacteriales"
"g__Brevifollis","bt_804","g__Brevifollis"
"g__I-8","bt_805","g__I-8"
"g__Skermania","bt_806","g__Skermania"
"Unclass_f__Neisseriaceae","bt_807","Unclass_f__Neisseriaceae"
"g__Anaerococcus","bt_808","g__Anaerococcus"
"Unclass_o__Chlamydiales","bt_809","Unclass_o__Chlamydiales"
"g__Sulfuritalea","bt_810","g__Sulfuritalea"
"g__Paludisphaera","bt_811","g__Paludisphaera"
"g__Sulfurirhabdus","bt_812","g__Sulfurirhabdus"
"Unclass_f__cvE6","bt_813","Unclass_f__cvE6"
"g__Aquicella","bt_814","g__Aquicella"
"g__Frigoribacterium","bt_815","g__Frigoribacterium"
"g__Aquamicrobium","bt_816","g__Aquamicrobium"
"g__Ideonella","bt_817","g__Ideonella"
"g__Candidatus Rhabdochlamydia","bt_818","g__Candidatus Rhabdochlamydia"
"g__Plantibacter","bt_819","g__Plantibacter"
"g__FukuN18 freshwater group","bt_820","g__FukuN18 freshwater group"
"Unclass_o__Woesearchaeales","bt_821","Unclass_o__Woesearchaeales"
"g__Marinilutecoccus","bt_822","g__Marinilutecoccus"
"g__Streptococcus","bt_823","g__Streptococcus"
"g__Oceanicella","bt_824","g__Oceanicella"
"g__Porphyrobacter","bt_825","g__Porphyrobacter"
"g__Collimonas","bt_826","g__Collimonas"
"g__Rubritepida","bt_827","g__Rubritepida"
"g__Bythopirellula","bt_828","g__Bythopirellula"
"Unclass_c__Ktedonobacteria","bt_829","Unclass_c__Ktedonobacteria"
"g__Fodinicola","bt_830","g__Fodinicola"
"g__IMCC26207","bt_831","g__IMCC26207"
"Unclass_o__Candidatus Azambacteria","bt_832","Unclass_o__Candidatus Azambacteria"
"g__Xanthobacter","bt_833","g__Xanthobacter"
"g__Risungbinella","bt_834","g__Risungbinella"
"g__Herbiconiux","bt_835","g__Herbiconiux"
"g__Candidatus Accumulibacter","bt_836","g__Candidatus Accumulibacter"
"Unclass_o__Vampirovibrionales","bt_837","Unclass_o__Vampirovibrionales"
"g__Methylobacillus","bt_838","g__Methylobacillus"
"g__Sanguibacter-Flavimobilis","bt_839","g__Sanguibacter-Flavimobilis"
"g__Parapedobacter","bt_840","g__Parapedobacter"
"g__Actinomycetospora","bt_841","g__Actinomycetospora"
"Unclass_c__Acidobacteriae","bt_842","Unclass_c__Acidobacteriae"
"Unclass_","bt_843","Unclass_"
"g__Ancylobacter","bt_844","g__Ancylobacter"
"g__Buttiauxella","bt_845","g__Buttiauxella"
"Unclass_p__Myxococcota","bt_846","Unclass_p__Myxococcota"
"g__Craurococcus-Caldovatus","bt_847","g__Craurococcus-Caldovatus"
"g__UTCFX1","bt_848","g__UTCFX1"
"Unclass_f__Taonella","bt_849","Unclass_f__Taonella"
"Unclass_o__PeM15","bt_850","Unclass_o__PeM15"
"g__Alterococcus","bt_851","g__Alterococcus"
"g__Rhizomicrobium","bt_852","g__Rhizomicrobium"
"g__Solibacillus","bt_853","g__Solibacillus"
"Unclass_f__Oscillospiraceae","bt_854","Unclass_f__Oscillospiraceae"
"g__Candidatus Ovatusbacter","bt_855","g__Candidatus Ovatusbacter"
"Unclass_c__Microgenomatia","bt_856","Unclass_c__Microgenomatia"
"g__Empedobacter","bt_857","g__Empedobacter"
"g__Pseudanabaena PCC-7429","bt_858","g__Pseudanabaena PCC-7429"
"g__Pantoea","bt_859","g__Pantoea"
"Unclass_c__Cyanobacteriia","bt_860","Unclass_c__Cyanobacteriia"
"Unclass_f__27F-1492R","bt_861","Unclass_f__27F-1492R"
"g__Anoxybacillus","bt_862","g__Anoxybacillus"
"g__Chroococcidiopsis CC1","bt_863","g__Chroococcidiopsis CC1"
"g__Geotalea","bt_864","g__Geotalea"
"Unclass_o__Pseudomonadales","bt_865","Unclass_o__Pseudomonadales"
"g__Brachybacterium","bt_866","g__Brachybacterium"
"g__1174-901-12","bt_867","g__1174-901-12"
"g__Stella","bt_868","g__Stella"
"Unclass_o__Chloroflexales","bt_869","Unclass_o__Chloroflexales"
"Unclass_o__SJA-28","bt_870","Unclass_o__SJA-28"
"Unclass_f__Nitrosotaleaceae","bt_871","Unclass_f__Nitrosotaleaceae"
"Unclass_p__Planctomycetota","bt_872","Unclass_p__Planctomycetota"
"g__Patulibacter","bt_873","g__Patulibacter"
"g__Olivibacter","bt_874","g__Olivibacter"
"g__Acidicapsa","bt_875","g__Acidicapsa"
"g__Ochrobactrum","bt_876","g__Ochrobactrum"
"Unclass_p__SAR324 clade(Marine group B)","bt_877","Unclass_p__SAR324 clade(Marine group B)"
"g__FFCH5858","bt_878","g__FFCH5858"
"g__Candidatus Captivus","bt_879","g__Candidatus Captivus"
"g__Kytococcus","bt_880","g__Kytococcus"
"g__Planctomicrobium","bt_881","g__Planctomicrobium"
"g__Lacibacter","bt_882","g__Lacibacter"
