"","tid","Genus"
"g__Sphaerotilus","bt_126","g__Sphaerotilus"
"g__Rhodoplanes","bt_127","g__Rhodoplanes"
"g__Comamonas","bt_128","g__Comamonas"
"Unclass_f__Solirubrobacteraceae","bt_129","Unclass_f__Solirubrobacteraceae"
"g__Sphingopyxis","bt_130","g__Sphingopyxis"
"g__Aquisphaera","bt_131","g__Aquisphaera"
"g__Actinoplanes","bt_132","g__Actinoplanes"
"Unclass_f__A21b","bt_133","Unclass_f__A21b"
"g__Prosthecobacter","bt_134","g__Prosthecobacter"
"g__Archangium","bt_135","g__Archangium"
"Unclass_f__Nitrososphaeraceae","bt_136","Unclass_f__Nitrososphaeraceae"
"g__Ellin517","bt_137","g__Ellin517"
"Unclass_p__Latescibacterota","bt_138","Unclass_p__Latescibacterota"
"Unclass_p__Actinobacteriota","bt_139","Unclass_p__Actinobacteriota"
"Unclass_o__MSB-4B10","bt_140","Unclass_o__MSB-4B10"
"Unclass_o__Blfdi19","bt_141","Unclass_o__Blfdi19"
"g__Burkholderia-Caballeronia-Paraburkholderia","bt_142","g__Burkholderia-Caballeronia-Paraburkholderia"
"Unclass_o__Rhizobiales","bt_143","Unclass_o__Rhizobiales"
"g__Microvirga","bt_144","g__Microvirga"
"Unclass_f__Sporichthyaceae","bt_145","Unclass_f__Sporichthyaceae"
"g__Lautropia","bt_146","g__Lautropia"
"Unclass_o__11-24","bt_147","Unclass_o__11-24"
"Unclass_c__Chloroflexia","bt_148","Unclass_c__Chloroflexia"
"Unclass_o__Microtrichales","bt_149","Unclass_o__Microtrichales"
"Unclass_f__Acidobacteriaceae (Subgroup 1)","bt_150","Unclass_f__Acidobacteriaceae (Subgroup 1)"
"Unclass_f__KF-JG30-B3","bt_151","Unclass_f__KF-JG30-B3"
"Unclass_f__Pedosphaeraceae","bt_152","Unclass_f__Pedosphaeraceae"
"g__Caulobacter","bt_153","g__Caulobacter"
"g__Psychroglaciecola","bt_154","g__Psychroglaciecola"
"g__Candidatus Brownia","bt_155","g__Candidatus Brownia"
"g__Cellvibrio","bt_156","g__Cellvibrio"
"Unclass_f__YM_S32_TM7_50_20","bt_157","Unclass_f__YM_S32_TM7_50_20"
"g__Gemmatimonas","bt_158","g__Gemmatimonas"
"Unclass_o__SBR1031","bt_159","Unclass_o__SBR1031"
"Unclass_o__Saccharimonadales","bt_160","Unclass_o__Saccharimonadales"
"g__Pirellula","bt_161","g__Pirellula"
"g__Candidatus Koribacter","bt_162","g__Candidatus Koribacter"
"Unclass_c__Thermoleophilia","bt_163","Unclass_c__Thermoleophilia"
"g__Actinophytocola","bt_164","g__Actinophytocola"
"g__Cellulomonas","bt_165","g__Cellulomonas"
"Unclass_f__Caulobacteraceae","bt_166","Unclass_f__Caulobacteraceae"
"g__Actinomadura","bt_167","g__Actinomadura"
"g__Nonomuraea","bt_168","g__Nonomuraea"
"g__Opitutus","bt_169","g__Opitutus"
"Unclass_f__Micropepsaceae","bt_170","Unclass_f__Micropepsaceae"
"Unclass_f__Sandaracinaceae","bt_171","Unclass_f__Sandaracinaceae"
"Unclass_o__Methanomassiliicoccales","bt_172","Unclass_o__Methanomassiliicoccales"
"g__1959-1","bt_173","g__1959-1"
"g__Afipia","bt_174","g__Afipia"
"g__IS-44","bt_175","g__IS-44"
"Unclass_f__Methyloligellaceae","bt_176","Unclass_f__Methyloligellaceae"
"Unclass_f__env.OPS 17","bt_177","Unclass_f__env.OPS 17"
"Unclass_f__B1-7BS","bt_178","Unclass_f__B1-7BS"
"g__Parviterribacter","bt_179","g__Parviterribacter"
"Unclass_f__Nitrosococcaceae","bt_180","Unclass_f__Nitrosococcaceae"
"Unclass_o__Rhodospirillales","bt_181","Unclass_o__Rhodospirillales"
"g__Chthoniobacter","bt_182","g__Chthoniobacter"
"g__Flavitalea","bt_183","g__Flavitalea"
"Unclass_f__Rhodospirillaceae","bt_184","Unclass_f__Rhodospirillaceae"
"Unclass_p__Armatimonadota","bt_185","Unclass_p__Armatimonadota"
"Unclass_o__WD260","bt_186","Unclass_o__WD260"
"Unclass_o__Solirubrobacterales","bt_187","Unclass_o__Solirubrobacterales"
"Unclass_o__Subgroup 13","bt_188","Unclass_o__Subgroup 13"
"Unclass_o__KF-JG30-C25","bt_189","Unclass_o__KF-JG30-C25"
"Unclass_o__Planctomycetales","bt_190","Unclass_o__Planctomycetales"
"g__Arsenicitalea","bt_191","g__Arsenicitalea"
"g__1921-3","bt_192","g__1921-3"
"g__Occallatibacter","bt_193","g__Occallatibacter"
"g__Arcticibacter","bt_194","g__Arcticibacter"
"g__Acidovorax","bt_195","g__Acidovorax"
"g__Sphingobium","bt_196","g__Sphingobium"
"g__JCM 18997","bt_197","g__JCM 18997"
"g__Luteolibacter","bt_198","g__Luteolibacter"
"g__Ellin6067","bt_199","g__Ellin6067"
"g__Lechevalieria","bt_200","g__Lechevalieria"
"Unclass_f__Pseudonocardiaceae","bt_201","Unclass_f__Pseudonocardiaceae"
"Unclass_f__D05-2","bt_202","Unclass_f__D05-2"
"Unclass_f__WX65","bt_203","Unclass_f__WX65"
"Unclass_f__Chitinophagaceae","bt_204","Unclass_f__Chitinophagaceae"
"g__Corallococcus","bt_205","g__Corallococcus"
"g__Granulicella","bt_206","g__Granulicella"
"Unclass_c__Gammaproteobacteria","bt_207","Unclass_c__Gammaproteobacteria"
"g__OLB12","bt_208","g__OLB12"
"g__Lacunisphaera","bt_209","g__Lacunisphaera"
"g__Rhodanobacter","bt_210","g__Rhodanobacter"
"Unclass_f__Beijerinckiaceae","bt_211","Unclass_f__Beijerinckiaceae"
"g__Nitrospira","bt_212","g__Nitrospira"
"g__Microlunatus","bt_213","g__Microlunatus"
"g__Diplosphaera","bt_214","g__Diplosphaera"
"Unclass_c__Gitt-GS-136","bt_215","Unclass_c__Gitt-GS-136"
"g__Pseudoxanthomonas","bt_216","g__Pseudoxanthomonas"
"Unclass_f__Microbacteriaceae","bt_217","Unclass_f__Microbacteriaceae"
"Unclass_f__KD3-93","bt_218","Unclass_f__KD3-93"
"g__Luedemannella","bt_219","g__Luedemannella"
"g__possible genus 04","bt_220","g__possible genus 04"
"g__Bosea","bt_221","g__Bosea"
"g__Novosphingobium","bt_222","g__Novosphingobium"
"Unclass_p__Chloroflexi","bt_223","Unclass_p__Chloroflexi"
"Unclass_o__0319-7L14","bt_224","Unclass_o__0319-7L14"
"Unclass_f__Acetobacteraceae","bt_225","Unclass_f__Acetobacteraceae"
"g__Candidatus Nostocoida","bt_226","g__Candidatus Nostocoida"
"g__Xylophilus","bt_227","g__Xylophilus"
"g__mle1-7","bt_228","g__mle1-7"
"g__Sphaerisporangium","bt_229","g__Sphaerisporangium"
"g__Brevundimonas","bt_230","g__Brevundimonas"
"g__OM27 clade","bt_231","g__OM27 clade"
"Unclass_f__Elsteraceae","bt_232","Unclass_f__Elsteraceae"
"g__Phyllobacterium","bt_233","g__Phyllobacterium"
"g__Azotobacter","bt_234","g__Azotobacter"
"Unclass_f__A4b","bt_235","Unclass_f__A4b"
"g__CL500-29 marine group","bt_236","g__CL500-29 marine group"
"Unclass_f__Roseiflexaceae","bt_237","Unclass_f__Roseiflexaceae"
"g__Duganella","bt_238","g__Duganella"
"g__OLB17","bt_239","g__OLB17"
"g__Planosporangium","bt_240","g__Planosporangium"
"g__Modestobacter","bt_241","g__Modestobacter"
"Unclass_o__CCD24","bt_242","Unclass_o__CCD24"
"g__FCPS473","bt_243","g__FCPS473"
"g__Altererythrobacter","bt_244","g__Altererythrobacter"
"g__Angustibacter","bt_245","g__Angustibacter"
"g__Flindersiella","bt_246","g__Flindersiella"
"g__Ilumatobacter","bt_247","g__Ilumatobacter"
"g__Longimicrobium","bt_248","g__Longimicrobium"
"Unclass_o__Thermomicrobiales","bt_249","Unclass_o__Thermomicrobiales"
"Unclass_f__Ilumatobacteraceae","bt_250","Unclass_f__Ilumatobacteraceae"
"g__IMCC26134","bt_251","g__IMCC26134"
"g__Ferruginibacter","bt_252","g__Ferruginibacter"
"g__Chthonomonas","bt_253","g__Chthonomonas"
"g__Methylorosula","bt_254","g__Methylorosula"
"g__Chitinophaga","bt_255","g__Chitinophaga"
"g__Geodermatophilus","bt_256","g__Geodermatophilus"
"Unclass_f__JG30-KF-AS9","bt_257","Unclass_f__JG30-KF-AS9"
"g__Niastella","bt_258","g__Niastella"
"g__Tardiphaga","bt_259","g__Tardiphaga"
"Unclass_f__Magnetospiraceae","bt_260","Unclass_f__Magnetospiraceae"
"Unclass_f__Myxococcaceae","bt_261","Unclass_f__Myxococcaceae"
"g__P3OB-42","bt_262","g__P3OB-42"
"Unclass_o__Chthonomonadales","bt_263","Unclass_o__Chthonomonadales"
"Unclass_f__Nitrosomonadaceae","bt_264","Unclass_f__Nitrosomonadaceae"
"g__Chryseoglobus","bt_265","g__Chryseoglobus"
"Unclass_f__Mitochondria","bt_266","Unclass_f__Mitochondria"
"Unclass_f__Pirellulaceae","bt_267","Unclass_f__Pirellulaceae"
"Unclass_p__MBNT15","bt_268","Unclass_p__MBNT15"
"Unclass_c__Subgroup 22","bt_269","Unclass_c__Subgroup 22"
"g__Tychonema CCAP 1459-11B","bt_270","g__Tychonema CCAP 1459-11B"
"g__Flavisolibacter","bt_271","g__Flavisolibacter"
"Unclass_f__Polyangiaceae","bt_272","Unclass_f__Polyangiaceae"
"Unclass_f__Nocardioidaceae","bt_273","Unclass_f__Nocardioidaceae"
"Unclass_o__Streptosporangiales","bt_274","Unclass_o__Streptosporangiales"
"Unclass_f__Xanthomonadaceae","bt_275","Unclass_f__Xanthomonadaceae"
"g__Kibdelosporangium","bt_276","g__Kibdelosporangium"
"Unclass_o__Rickettsiales","bt_277","Unclass_o__Rickettsiales"
"g__Asanoa","bt_278","g__Asanoa"
"g__Neorhizobium","bt_279","g__Neorhizobium"
"Unclass_f__Amb-16S-1034","bt_280","Unclass_f__Amb-16S-1034"
"g__Paeniglutamicibacter","bt_281","g__Paeniglutamicibacter"
"g__Paracoccus","bt_282","g__Paracoccus"
"g__Plot4-2H12","bt_283","g__Plot4-2H12"
"Unclass_f__Geodermatophilaceae","bt_284","Unclass_f__Geodermatophilaceae"
"g__BIyi10","bt_285","g__BIyi10"
"g__Iamia","bt_286","g__Iamia"
"g__Pajaroellobacter","bt_287","g__Pajaroellobacter"
"g__Ohtaekwangia","bt_288","g__Ohtaekwangia"
"g__Asticcacaulis","bt_289","g__Asticcacaulis"
"g__Candidatus Xiphinematobacter","bt_290","g__Candidatus Xiphinematobacter"
"g__Cloacibacterium","bt_291","g__Cloacibacterium"
"Unclass_f__Acidiferrobacteraceae","bt_292","Unclass_f__Acidiferrobacteraceae"
"g__Marmoricola","bt_293","g__Marmoricola"
"g__Pedosphaera","bt_294","g__Pedosphaera"
"g__Pseudorhodoferax","bt_295","g__Pseudorhodoferax"
"g__Polaromonas","bt_296","g__Polaromonas"
"g__Vicinamibacter","bt_297","g__Vicinamibacter"
"g__Edaphobaculum","bt_298","g__Edaphobaculum"
"g__Labrys","bt_299","g__Labrys"
"g__Oxalobacter","bt_300","g__Oxalobacter"
"Unclass_f__Streptomycetaceae","bt_301","Unclass_f__Streptomycetaceae"
"Unclass_c__JG30-KF-CM66","bt_302","Unclass_c__JG30-KF-CM66"
"g__Tundrisphaera","bt_303","g__Tundrisphaera"
"g__GTL1","bt_304","g__GTL1"
"g__Marisediminicola","bt_305","g__Marisediminicola"
"g__Segetibacter","bt_306","g__Segetibacter"
"Unclass_o__DS-100","bt_307","Unclass_o__DS-100"
"Unclass_o__Paludibaculum","bt_308","Unclass_o__Paludibaculum"
"g__Pir4 lineage","bt_309","g__Pir4 lineage"
"g__Actinospica","bt_310","g__Actinospica"
"Unclass_c__P2-11E","bt_311","Unclass_c__P2-11E"
"Unclass_o__Defluviicoccales","bt_312","Unclass_o__Defluviicoccales"
"Unclass_f__Acidimicrobiaceae","bt_313","Unclass_f__Acidimicrobiaceae"
"Unclass_f__Devosiaceae","bt_314","Unclass_f__Devosiaceae"
"Unclass_f__AKYH767","bt_315","Unclass_f__AKYH767"
"g__Lysobacter","bt_316","g__Lysobacter"
"g__Agromyces","bt_317","g__Agromyces"
"g__Inquilinus","bt_318","g__Inquilinus"
"Unclass_f__Fimbriimonadaceae","bt_319","Unclass_f__Fimbriimonadaceae"
"g__Roseococcus","bt_320","g__Roseococcus"
"g__Conyzicola","bt_321","g__Conyzicola"
"Unclass_o__Chitinophagales","bt_322","Unclass_o__Chitinophagales"
"Unclass_f__Sphingobacteriaceae","bt_323","Unclass_f__Sphingobacteriaceae"
"g__Actinocatenispora","bt_324","g__Actinocatenispora"
"g__Citrifermentans","bt_325","g__Citrifermentans"
"g__BacC-u-018","bt_326","g__BacC-u-018"
"g__Acinetobacter","bt_327","g__Acinetobacter"
"Unclass_o__Burkholderiales","bt_328","Unclass_o__Burkholderiales"
"g__Candidatus Nitrotoga","bt_329","g__Candidatus Nitrotoga"
"Unclass_o__Marine Group II","bt_330","Unclass_o__Marine Group II"
"Unclass_f__Kineosporiaceae","bt_331","Unclass_f__Kineosporiaceae"
