"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name","tid"
"Unclass_o__Puniceispirillales","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Puniceispirillales","f__","Unclass_o__Puniceispirillales",NA,NA,"Unclass_o__Puniceispirillales","bt_587"
"Unclass_f__NS9 marine group","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__NS9 marine group","Unclass_f__NS9 marine group",NA,NA,"Unclass_f__NS9 marine group","bt_588"
"g__Catellatospora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Catellatospora",NA,NA,"g__Catellatospora","bt_589"
"g__Actinotalea","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Cellulomonadaceae","g__Actinotalea",NA,NA,"g__Actinotalea","bt_590"
"Unclass_f__Saprospiraceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Saprospiraceae","Unclass_f__Saprospiraceae",NA,NA,"Unclass_f__Saprospiraceae","bt_591"
"g__Hassallia","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Microscillaceae","g__Hassallia",NA,NA,"g__Hassallia","bt_592"
"g__Parasegetibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Parasegetibacter",NA,NA,"g__Parasegetibacter","bt_593"
"Unclass_o__Cyanobacteriales","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__","Unclass_o__Cyanobacteriales",NA,NA,"Unclass_o__Cyanobacteriales","bt_594"
"Unclass_o__JTB23","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__JTB23","f__","Unclass_o__JTB23",NA,NA,"Unclass_o__JTB23","bt_595"
"g__Emticicia","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","g__Emticicia",NA,NA,"g__Emticicia","bt_596"
"g__Geminicoccus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Tistrellales","f__Geminicoccaceae","g__Geminicoccus",NA,NA,"g__Geminicoccus","bt_597"
"g__Turneriella","k__Bacteria","p__Spirochaetota","c__Leptospirae","o__Leptospirales","f__Leptospiraceae","g__Turneriella",NA,NA,"g__Turneriella","bt_598"
"Unclass_f__Methylacidiphilaceae","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Methylacidiphilales","f__Methylacidiphilaceae","Unclass_f__Methylacidiphilaceae",NA,NA,"Unclass_f__Methylacidiphilaceae","bt_599"
"g__Aureimonas","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Aureimonas",NA,NA,"g__Aureimonas","bt_600"
"Unclass_f__Intrasporangiaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","Unclass_f__Intrasporangiaceae",NA,NA,"Unclass_f__Intrasporangiaceae","bt_601"
"Unclass_o__Elev-1554","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Elev-1554","f__","Unclass_o__Elev-1554",NA,NA,"Unclass_o__Elev-1554","bt_602"
"Unclass_c__Polyangia","k__Bacteria","p__Myxococcota","c__Polyangia","o__","f__","Unclass_c__Polyangia",NA,NA,"Unclass_c__Polyangia","bt_603"
"g__Pseudolabrys","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Pseudolabrys",NA,NA,"g__Pseudolabrys","bt_604"
"Unclass_f__Euzebyaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Euzebyales","f__Euzebyaceae","Unclass_f__Euzebyaceae",NA,NA,"Unclass_f__Euzebyaceae","bt_605"
"g__Verticiella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Verticiella",NA,NA,"g__Verticiella","bt_606"
"Unclass_f__Sutterellaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","Unclass_f__Sutterellaceae",NA,NA,"Unclass_f__Sutterellaceae","bt_607"
"Unclass_f__Vampirovibrionaceae","k__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Vampirovibrionales","f__Vampirovibrionaceae","Unclass_f__Vampirovibrionaceae",NA,NA,"Unclass_f__Vampirovibrionaceae","bt_608"
"g__Crocinitomix","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Crocinitomicaceae","g__Crocinitomix",NA,NA,"g__Crocinitomix","bt_609"
"g__Vulgatibacter","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Vulgatibacteraceae","g__Vulgatibacter",NA,NA,"g__Vulgatibacter","bt_610"
"g__Rhizorhapis","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Rhizorhapis",NA,NA,"g__Rhizorhapis","bt_611"
"g__Rhizocola","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Rhizocola",NA,NA,"g__Rhizocola","bt_612"
"g__Chitinimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Chitinimonadaceae","g__Chitinimonas",NA,NA,"g__Chitinimonas","bt_613"
"g__Nevskia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__Solimonadaceae","g__Nevskia",NA,NA,"g__Nevskia","bt_614"
"Unclass_o__0319-6G20","k__Bacteria","p__Bdellovibrionota","c__Oligoflexia","o__0319-6G20","f__","Unclass_o__0319-6G20",NA,NA,"Unclass_o__0319-6G20","bt_615"
"g__Uliginosibacterium","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Uliginosibacterium",NA,NA,"g__Uliginosibacterium","bt_616"
"g__LD29","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Chthoniobacterales","f__Chthoniobacteraceae","g__LD29",NA,NA,"g__LD29","bt_617"
"g__Pseudohongiella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudohongiellaceae","g__Pseudohongiella",NA,NA,"g__Pseudohongiella","bt_618"
"g__Advenella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Advenella",NA,NA,"g__Advenella","bt_619"
"g__Motilibacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__","g__Motilibacter",NA,NA,"g__Motilibacter","bt_620"
"g__Corticibacterium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Corticibacterium",NA,NA,"g__Corticibacterium","bt_621"
"Unclass_f__Blastocatellaceae","k__Bacteria","p__Acidobacteriota","c__Blastocatellia","o__Blastocatellales","f__Blastocatellaceae","Unclass_f__Blastocatellaceae",NA,NA,"Unclass_f__Blastocatellaceae","bt_622"
"g__Sediminibacterium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Sediminibacterium",NA,NA,"g__Sediminibacterium","bt_623"
"Unclass_f__Opitutaceae","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Opitutaceae","Unclass_f__Opitutaceae",NA,NA,"Unclass_f__Opitutaceae","bt_624"
"Unclass_c__Thermoplasmata","k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__","f__","Unclass_c__Thermoplasmata",NA,NA,"Unclass_c__Thermoplasmata","bt_625"
"g__Nitrospirillum","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Azospirillales","f__Azospirillaceae","g__Nitrospirillum",NA,NA,"g__Nitrospirillum","bt_626"
"g__Herpetosiphon","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Chloroflexales","f__Herpetosiphonaceae","g__Herpetosiphon",NA,NA,"g__Herpetosiphon","bt_627"
"g__Gemmatirosa","k__Bacteria","p__Gemmatimonadota","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatirosa",NA,NA,"g__Gemmatirosa","bt_628"
"g__Permianibacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Permianibacter",NA,NA,"g__Permianibacter","bt_629"
"g__Armatimonas","k__Bacteria","p__Armatimonadota","c__Armatimonadia","o__Armatimonadales","f__Armatimonadaceae","g__Armatimonas",NA,NA,"g__Armatimonas","bt_630"
"Unclass_o__FFCH16263","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__FFCH16263","f__","Unclass_o__FFCH16263",NA,NA,"Unclass_o__FFCH16263","bt_631"
"g__Spirosoma","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","g__Spirosoma",NA,NA,"g__Spirosoma","bt_632"
"g__Amnibacterium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Amnibacterium",NA,NA,"g__Amnibacterium","bt_633"
"g__Kaistia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Kaistiaceae","g__Kaistia",NA,NA,"g__Kaistia","bt_634"
"g__Alsobacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__","g__Alsobacter",NA,NA,"g__Alsobacter","bt_635"
"g__CM1G08","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__CM1G08",NA,NA,"g__CM1G08","bt_636"
"Unclass_f__Chthoniobacteraceae","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Chthoniobacterales","f__Chthoniobacteraceae","Unclass_f__Chthoniobacteraceae",NA,NA,"Unclass_f__Chthoniobacteraceae","bt_637"
"Unclass_f__Hyphomicrobiaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","Unclass_f__Hyphomicrobiaceae",NA,NA,"Unclass_f__Hyphomicrobiaceae","bt_638"
"g__Parablastomonas","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Parablastomonas",NA,NA,"g__Parablastomonas","bt_639"
"g__Solimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__Solimonadaceae","g__Solimonas",NA,NA,"g__Solimonas","bt_640"
"g__Fibrella","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","g__Fibrella",NA,NA,"g__Fibrella","bt_641"
"Unclass_f__Solimonadaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__Solimonadaceae","Unclass_f__Solimonadaceae",NA,NA,"Unclass_f__Solimonadaceae","bt_642"
"Unclass_f__Azospirillaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Azospirillales","f__Azospirillaceae","Unclass_f__Azospirillaceae",NA,NA,"Unclass_f__Azospirillaceae","bt_643"
"g__Litorilinea","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Caldilineales","f__Caldilineaceae","g__Litorilinea",NA,NA,"g__Litorilinea","bt_644"
"g__Flavihumibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Flavihumibacter",NA,NA,"g__Flavihumibacter","bt_645"
"g__Polyangium","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Polyangiaceae","g__Polyangium",NA,NA,"g__Polyangium","bt_646"
"g__Rhodopseudomonas","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Rhodopseudomonas",NA,NA,"g__Rhodopseudomonas","bt_647"
"Unclass_o__Bacteroidetes VC2.1 Bac22","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidetes VC2.1 Bac22","f__","Unclass_o__Bacteroidetes VC2.1 Bac22",NA,NA,"Unclass_o__Bacteroidetes VC2.1 Bac22","bt_648"
"g__Rugosimonospora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Rugosimonospora",NA,NA,"g__Rugosimonospora","bt_649"
"g__Flexibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Microscillaceae","g__Flexibacter",NA,NA,"g__Flexibacter","bt_650"
"Unclass_o__UA11","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__UA11","f__","Unclass_o__UA11",NA,NA,"Unclass_o__UA11","bt_651"
"Unclass_o__JG36-TzT-191","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__JG36-TzT-191","f__","Unclass_o__JG36-TzT-191",NA,NA,"Unclass_o__JG36-TzT-191","bt_652"
"Unclass_p__WS2","k__Bacteria","p__WS2","c__","o__","f__","Unclass_p__WS2",NA,NA,"Unclass_p__WS2","bt_653"
"g__Tumebacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Alicyclobacillales","f__Alicyclobacillaceae","g__Tumebacillus",NA,NA,"g__Tumebacillus","bt_654"
"Unclass_f__Diplorickettsiaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Diplorickettsiales","f__Diplorickettsiaceae","Unclass_f__Diplorickettsiaceae",NA,NA,"Unclass_f__Diplorickettsiaceae","bt_655"
"Unclass_f__Rhizobiaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","Unclass_f__Rhizobiaceae",NA,NA,"Unclass_f__Rhizobiaceae","bt_656"
"g__AKYG587","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__Phycisphaeraceae","g__AKYG587",NA,NA,"g__AKYG587","bt_657"
"Unclass_f__Stappiaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Stappiaceae","Unclass_f__Stappiaceae",NA,NA,"Unclass_f__Stappiaceae","bt_658"
"Unclass_o__Thermotogales","k__Bacteria","p__Thermotogota","c__Thermotogae","o__Thermotogales","f__","Unclass_o__Thermotogales",NA,NA,"Unclass_o__Thermotogales","bt_659"
