Animal_biotrophic_capacity_template,,animal-associated,animal-associated/opportunistic_human_parasite,animal_parasite,animal_parasite/opportunistic_human_parasite,arthropod-associated,arthropod_parasite,fish_parasite,invertebrate-associated,invertebrate_parasite,nematophagous,opportunistic_animal_parasite,opportunistic_animal_parasite_G._destructans,opportunistic_human_parasite,vertebrate-associated,NA
DO_PCR_R_bc002_PCR_F_bc016_R1.fastq.gz,8.708958e-01,0.000000e+00,5.079953e-05,2.765752e-04,4.741289e-04,0.000000e+00,1.264344e-03,0.000000e+00,0.000000e+00,3.369702e-03,6.378163e-04,0.000000e+00,0.000000e+00,2.492564e-02,0.000000e+00,9.810518e-02
DO_PCR_R_bc002_PCR_F_bc017_R1.fastq.gz,0.645530146,0.000000000,0.001559252,0.002079002,0.002598753,0.000000000,0.000000000,0.000000000,0.000000000,0.002079002,0.000000000,0.000000000,0.000000000,0.136694387,0.000000000,0.209459459
DO_PCR_R_bc002_PCR_F_bc018_R1.fastq.gz,4.661330e-01,0.000000e+00,2.595505e-03,1.541217e-02,7.483887e-03,2.958112e-03,9.705879e-04,0.000000e+00,8.179112e-06,5.152840e-04,1.875743e-03,7.933738e-04,1.633096e-03,1.860257e-01,0.000000e+00,3.135953e-01
DO_PCR_R_bc002_PCR_F_bc019_R1.fastq.gz,8.625469e-01,0.000000e+00,0.000000e+00,7.683695e-05,1.051020e-03,1.920924e-05,0.000000e+00,0.000000e+00,1.509297e-04,9.522294e-04,5.213936e-05,0.000000e+00,0.000000e+00,4.278172e-03,0.000000e+00,1.308725e-01
DO_PCR_R_bc002_PCR_F_bc020_R1.fastq.gz,8.933168e-01,0.000000e+00,2.065217e-04,7.250385e-03,2.765915e-03,2.507763e-04,0.000000e+00,0.000000e+00,0.000000e+00,4.056675e-03,3.783772e-03,1.106366e-04,8.850928e-04,9.448366e-03,3.687887e-05,7.788817e-02
DO_PCR_R_bc002_PCR_F_bc021_R1.fastq.gz,9.168452e-01,0.000000e+00,0.000000e+00,9.307823e-04,5.806309e-03,0.000000e+00,4.481544e-03,0.000000e+00,1.477432e-05,2.659378e-04,1.822166e-04,0.000000e+00,5.087292e-03,1.566078e-02,0.000000e+00,5.072517e-02
DO_PCR_R_bc002_PCR_F_bc022_R1.fastq.gz,7.559308e-01,0.000000e+00,7.914046e-05,6.100599e-02,5.539832e-03,4.899171e-05,1.281322e-04,0.000000e+00,1.808925e-04,1.081209e-02,7.774608e-03,0.000000e+00,4.899171e-05,1.954392e-02,1.130578e-05,1.388953e-01
DO_PCR_R_bc003_PCR_F_bc001_R1.fastq.gz,0.9444956734,0.0000000000,0.0008480228,0.0005269268,0.0001564314,0.0017907277,0.0006668917,0.0000000000,0.0000000000,0.0035361727,0.0008109733,0.0000000000,0.0000000000,0.0065618851,0.0000000000,0.0406062951
DO_PCR_R_bc003_PCR_F_bc002_R1.fastq.gz,0.4474976061,0.0000000000,0.0001302541,0.0018048574,0.0334507985,0.0003765762,0.0039153606,0.0000000000,0.0030487195,0.0030635505,0.0418779803,0.0000000000,0.0024574176,0.1275303631,0.0000000000,0.3348465162
DO_PCR_R_bc003_PCR_F_bc003_R1.fastq.gz,0.8686453793,0.0000000000,0.0003764462,0.0011711659,0.0009536637,0.0008825572,0.0005228419,0.0000000000,0.0001505785,0.0016521805,0.0004140908,0.0000000000,0.0000711065,0.0076376747,0.0000000000,0.1175223149
