Secondary_lifestyle,,algal_decomposer,algal_parasite,animal_decomposer,animal_parasite,arthropod-associated,bryophilous,dung_saprotroph,epiphyte,ericoid_mycorrhizal,foliar_endophyte,fungal_decomposer,insect-associated,litter_saprotroph,nematophagous,plant_pathogen,pollen_saprotroph,rock-inhabiting,root-associated,root_endophyte,root_endophyte_dark_septate,soil_saprotroph,unspecified_symbiotroph,vertebrate-associated,wood_saprotroph,NA
DO_PCR_R_bc002_PCR_F_bc009_R1.fastq.gz,5.992127e-01,0.000000e+00,1.530517e-04,2.914104e-03,2.234555e-04,0.000000e+00,0.000000e+00,7.333319e-02,9.642257e-04,0.000000e+00,2.379954e-02,9.519816e-04,0.000000e+00,7.674624e-02,0.000000e+00,2.907982e-02,0.000000e+00,6.734275e-05,2.669222e-02,0.000000e+00,7.132209e-04,0.000000e+00,0.000000e+00,0.000000e+00,1.193803e-02,1.532109e-01
DO_PCR_R_bc002_PCR_F_bc010_R1.fastq.gz,5.343891e-01,0.000000e+00,0.000000e+00,1.772968e-02,3.743909e-03,0.000000e+00,0.000000e+00,6.906218e-03,6.026975e-03,2.992960e-02,3.262891e-02,1.066609e-02,0.000000e+00,3.100841e-02,0.000000e+00,3.767857e-03,0.000000e+00,0.000000e+00,1.477036e-02,7.515187e-04,0.000000e+00,7.112629e-03,8.096787e-05,0.000000e+00,3.410914e-03,2.970768e-01
DO_PCR_R_bc002_PCR_F_bc011_R1.fastq.gz,1.098793e-01,0.000000e+00,2.407483e-04,1.842765e-04,1.723877e-04,0.000000e+00,0.000000e+00,1.200175e-02,3.150533e-03,0.000000e+00,3.920125e-01,2.449094e-03,0.000000e+00,1.247165e-01,2.972201e-05,1.410904e-02,0.000000e+00,2.972201e-05,1.126464e-03,0.000000e+00,2.437205e-04,0.000000e+00,0.000000e+00,0.000000e+00,3.343132e-02,3.062229e-01
DO_PCR_R_bc002_PCR_F_bc012_R1.fastq.gz,3.777666e-01,1.177694e-04,4.324893e-03,1.316010e-02,1.898092e-02,2.505732e-06,0.000000e+00,4.009171e-05,1.834872e-01,2.656076e-04,1.702945e-01,1.816656e-03,0.000000e+00,1.862510e-02,2.004585e-05,2.172470e-03,0.000000e+00,2.831477e-04,3.425837e-02,5.044038e-03,1.841713e-03,2.856534e-03,2.430560e-04,0.000000e+00,8.965509e-03,1.554331e-01
DO_PCR_R_bc002_PCR_F_bc013_R1.fastq.gz,7.687279e-01,0.000000e+00,3.679475e-05,5.040025e-03,6.357790e-04,1.446119e-04,0.000000e+00,2.353153e-04,5.964172e-04,3.569091e-03,3.806973e-03,1.232196e-04,0.000000e+00,1.646009e-02,0.000000e+00,3.799272e-04,0.000000e+00,0.000000e+00,5.656123e-04,2.971818e-03,0.000000e+00,4.275036e-03,0.000000e+00,0.000000e+00,1.138070e-04,1.923176e-01
DO_PCR_R_bc002_PCR_F_bc014_R1.fastq.gz,5.057584e-01,1.975483e-04,4.526283e-03,5.198640e-04,1.576921e-03,0.000000e+00,1.732880e-05,4.616392e-03,2.971196e-02,5.302613e-03,1.074420e-01,7.974714e-03,0.000000e+00,1.080277e-01,0.000000e+00,2.457917e-02,1.316989e-04,4.595598e-03,6.241834e-03,1.001605e-03,3.663308e-03,1.514537e-03,9.392210e-04,9.357552e-05,2.136294e-02,1.602048e-01
DO_PCR_R_bc002_PCR_F_bc015_R1.fastq.gz,0.4278001248,0.0009034395,0.0004302093,0.0137774527,0.0030652412,0.0000000000,0.0000000000,0.0251672439,0.0143797457,0.0001613285,0.0301576717,0.0016347953,0.0000000000,0.0212093183,0.0000000000,0.0019251866,0.0000000000,0.0000000000,0.0653165265,0.0000000000,0.0000000000,0.0006668244,0.0004732302,0.0000000000,0.0027748500,0.3901568113
DO_PCR_R_bc002_PCR_F_bc016_R1.fastq.gz,8.270897e-01,9.595466e-05,0.000000e+00,4.933199e-03,4.515514e-04,0.000000e+00,0.000000e+00,1.523986e-04,2.065847e-03,0.000000e+00,2.431040e-02,1.411098e-04,0.000000e+00,7.066779e-03,0.000000e+00,4.854177e-04,0.000000e+00,0.000000e+00,5.108175e-03,2.590776e-02,1.128878e-05,1.015991e-03,0.000000e+00,0.000000e+00,3.059260e-03,9.810518e-02
DO_PCR_R_bc002_PCR_F_bc017_R1.fastq.gz,0.449064449,0.000000000,0.000000000,0.002079002,0.000000000,0.000000000,0.000000000,0.003638254,0.098232848,0.000000000,0.178794179,0.001559252,0.000000000,0.036902287,0.000000000,0.000000000,0.000000000,0.000000000,0.005197505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.015072765,0.209459459
DO_PCR_R_bc002_PCR_F_bc018_R1.fastq.gz,2.161630e-01,3.326172e-04,3.244381e-03,2.369216e-03,1.924818e-03,0.000000e+00,0.000000e+00,1.095183e-02,6.308821e-03,1.036021e-04,2.602293e-01,1.218142e-02,2.726371e-05,1.236791e-01,0.000000e+00,5.024701e-03,0.000000e+00,6.870454e-04,6.510573e-03,3.789655e-04,1.494051e-03,4.656641e-03,3.544282e-05,0.000000e+00,3.010186e-02,3.135953e-01
