Extraction_ID,FWD_barcode,REV_barcode,nucleic_acid,amplification
D21-R,PCR_F_bc019,PCR_R_bc004,RNA,PCR_16S
D22-R,PCR_F_bc020,PCR_R_bc004,RNA,PCR_16S
D23-R,PCR_F_bc021,PCR_R_bc004,RNA,PCR_16S
D24-R,PCR_F_bc022,PCR_R_bc004,RNA,PCR_16S
D25-R,PCR_F_bc001,PCR_R_bc005,RNA,PCR_16S
D26-R,PCR_F_bc002,PCR_R_bc005,RNA,PCR_16S
D27-R,PCR_F_bc003,PCR_R_bc005,RNA,PCR_16S
D28-R,PCR_F_bc004,PCR_R_bc005,RNA,PCR_16S
D30-R,PCR_F_bc005,PCR_R_bc005,RNA,PCR_16S
D01-R,PCR_F_bc001,PCR_R_bc001,RNA,PCR_ITS
D02-R,PCR_F_bc002,PCR_R_bc001,RNA,PCR_ITS
D03-R,PCR_F_bc003,PCR_R_bc001,RNA,PCR_ITS
D04-R,PCR_F_bc004,PCR_R_bc001,RNA,PCR_ITS
D05-R,PCR_F_bc005,PCR_R_bc001,RNA,PCR_ITS
D06-R,PCR_F_bc006,PCR_R_bc001,RNA,PCR_ITS
D07-R,PCR_F_bc007,PCR_R_bc001,RNA,PCR_ITS
D08-R,PCR_F_bc008,PCR_R_bc001,RNA,PCR_ITS
D09-R,PCR_F_bc009,PCR_R_bc001,RNA,PCR_ITS
D10-R,PCR_F_bc010,PCR_R_bc001,RNA,PCR_ITS
D11-R,PCR_F_bc011,PCR_R_bc001,RNA,PCR_ITS
D31-R,PCR_F_bc012,PCR_R_bc001,RNA,PCR_ITS
D12-R,PCR_F_bc013,PCR_R_bc001,RNA,PCR_ITS
D13-R,PCR_F_bc014,PCR_R_bc001,RNA,PCR_ITS
D14-R,PCR_F_bc015,PCR_R_bc001,RNA,PCR_ITS
D15-R,PCR_F_bc016,PCR_R_bc001,RNA,PCR_ITS
D16-R,PCR_F_bc017,PCR_R_bc001,RNA,PCR_ITS
D17-R,PCR_F_bc018,PCR_R_bc001,RNA,PCR_ITS
D18-R,PCR_F_bc019,PCR_R_bc001,RNA,PCR_ITS
