Decay_type_template,,brown_rot,chitinolytic,keratinolytic,mold,other,soft_rot,white_rot,NA
DO_PCR_R_bc003_PCR_F_bc010_R1.fastq.gz,0.8453864590,0.0000000000,0.0030295087,0.0002658778,0.0005692031,0.0000000000,0.0009137208,0.0000000000,0.1498352307
DO_PCR_R_bc003_PCR_F_bc011_R1.fastq.gz,0.466914523,0.000000000,0.003690931,0.000000000,0.115552714,0.000000000,0.058486281,0.007445788,0.347909762
DO_PCR_R_bc003_PCR_F_bc012_R1.fastq.gz,0.837935599,0.000000000,0.003669580,0.002070692,0.004193806,0.002752185,0.005465054,0.000000000,0.143913083
DO_PCR_R_bc003_PCR_F_bc013_R1.fastq.gz,5.928292e-01,0.000000e+00,3.745938e-03,1.344042e-03,2.219738e-03,2.711481e-04,3.780197e-03,8.105197e-05,3.957287e-01
DO_PCR_R_bc003_PCR_F_bc014_R1.fastq.gz,0.3697741151,0.0000000000,0.0002111932,0.0053670630,0.1038359120,0.0000000000,0.0526123686,0.0001698728,0.4680294752
DO_PCR_R_bc003_PCR_F_bc015_R1.fastq.gz,5.368407e-01,4.576659e-05,5.688860e-03,3.465185e-04,1.812132e-01,0.000000e+00,1.767535e-02,2.673350e-04,2.579223e-01
DO_PCR_R_bc003_PCR_F_bc016_R1.fastq.gz,9.788852e-01,0.000000e+00,3.273147e-05,1.249747e-04,2.481641e-03,0.000000e+00,4.314603e-04,0.000000e+00,1.804397e-02
DO_PCR_R_bc003_PCR_F_bc017_R1.fastq.gz,0.795639320,0.000000000,0.001108647,0.000000000,0.025868441,0.000000000,0.002586844,0.000000000,0.174796748
DO_PCR_R_bc003_PCR_F_bc018_R1.fastq.gz,9.992104e-01,0.000000e+00,0.000000e+00,4.082672e-07,8.900226e-05,0.000000e+00,1.918856e-05,0.000000e+00,6.809898e-04
DO_PCR_R_bc003_PCR_F_bc019_R1.fastq.gz,0.81414538,0.00000000,0.00000000,0.00000000,0.02554028,0.00000000,0.00000000,0.00000000,0.16031434
