Endophytic_interaction_capability_template,,foliar_endophyte,moss-associated,no_endophytic_capacity,root-associated,root_endophyte,root_endophyte_dark_septate,NA
DO_PCR_R_bc003_PCR_F_bc008_R1.fastq.gz,0.4114558729,0.0819519004,0.0002433612,0.0567747477,0.0018144728,0.0088862644,0.0035036862,0.4353696944
DO_PCR_R_bc003_PCR_F_bc009_R1.fastq.gz,0.8044519411,0.0067862824,0.0000000000,0.0025738057,0.0042168464,0.0059298037,0.0007603433,0.1752809774
DO_PCR_R_bc003_PCR_F_bc010_R1.fastq.gz,0.8342458059,0.0090810365,0.0000000000,0.0004044338,0.0030295087,0.0027299281,0.0006740563,0.1498352307
DO_PCR_R_bc003_PCR_F_bc011_R1.fastq.gz,0.332284710,0.221253974,0.000000000,0.072849621,0.005591912,0.007920192,0.012189829,0.347909762
DO_PCR_R_bc003_PCR_F_bc012_R1.fastq.gz,0.8259570397,0.0150452800,0.0000000000,0.0008387613,0.0036695805,0.0079027037,0.0026735515,0.1439130834
DO_PCR_R_bc003_PCR_F_bc013_R1.fastq.gz,0.508619083,0.016716342,0.000000000,0.001813225,0.003758472,0.007953956,0.065410194,0.395728728
DO_PCR_R_bc003_PCR_F_bc014_R1.fastq.gz,0.2416211377,0.2040218539,0.0000000000,0.0161471007,0.0024562692,0.0671204261,0.0006037372,0.4680294752
DO_PCR_R_bc003_PCR_F_bc015_R1.fastq.gz,0.501241510,0.194863245,0.000000000,0.016863899,0.006258400,0.016340126,0.006510479,0.257922342
DO_PCR_R_bc003_PCR_F_bc016_R1.fastq.gz,0.9481354964,0.0087214492,0.0000000000,0.0006873609,0.0002529250,0.0239445588,0.0002142424,0.0180439673
DO_PCR_R_bc003_PCR_F_bc017_R1.fastq.gz,0.7172949002,0.0883222469,0.0000000000,0.0000000000,0.0011086475,0.0003695492,0.0181079084,0.1747967480
DO_PCR_R_bc003_PCR_F_bc018_R1.fastq.gz,6.450774e-01,3.541657e-01,0.000000e+00,9.798414e-06,0.000000e+00,8.165345e-07,6.532276e-05,6.809898e-04
DO_PCR_R_bc003_PCR_F_bc019_R1.fastq.gz,0.718664047,0.100589391,0.000000000,0.000000000,0.000000000,0.001178782,0.019253438,0.160314342
