secondary_photobiont,,NA
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,0.5600397,0.4399603
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,0.3915055,0.6084945
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,0.7813808,0.2186192
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,0.5438187,0.4561813
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,0.7026061,0.2973939
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,0.7200772,0.2799228
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,0.7406042,0.2593958
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,0.4989378,0.5010622
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,0.7260135,0.2739865
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,0.8377572,0.1622428
DO_PCR_R_bc001_PCR_F_bc013_R1.fastq.gz,0.2547028,0.7452972
DO_PCR_R_bc001_PCR_F_bc014_R1.fastq.gz,0.5782227,0.4217773
DO_PCR_R_bc001_PCR_F_bc015_R1.fastq.gz,0.8083486,0.1916514
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,0.5318183,0.4681817
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,0.8463531,0.1536469
DO_PCR_R_bc001_PCR_F_bc018_R1.fastq.gz,0.7043167,0.2956833
DO_PCR_R_bc001_PCR_F_bc020_R1.fastq.gz,0.7518493,0.2481507
DO_PCR_R_bc001_PCR_F_bc021_R1.fastq.gz,0.5390907,0.4609093
DO_PCR_R_bc001_PCR_F_bc022_R1.fastq.gz,0.7547443,0.2452557
DO_PCR_R_bc002_PCR_F_bc003_R1.fastq.gz,0.8304773,0.1695227
DO_PCR_R_bc002_PCR_F_bc006_R1.fastq.gz,0.6493167,0.3506833
DO_PCR_R_bc002_PCR_F_bc009_R1.fastq.gz,0.8467891,0.1532109
DO_PCR_R_bc002_PCR_F_bc010_R1.fastq.gz,0.7029232,0.2970768
DO_PCR_R_bc002_PCR_F_bc011_R1.fastq.gz,0.6937771,0.3062229
DO_PCR_R_bc002_PCR_F_bc012_R1.fastq.gz,0.8445669,0.1554331
DO_PCR_R_bc002_PCR_F_bc013_R1.fastq.gz,0.8076824,0.1923176
DO_PCR_R_bc002_PCR_F_bc014_R1.fastq.gz,0.8397952,0.1602048
DO_PCR_R_bc002_PCR_F_bc015_R1.fastq.gz,0.6098432,0.3901568
DO_PCR_R_bc002_PCR_F_bc016_R1.fastq.gz,0.90189482,0.09810518
DO_PCR_R_bc002_PCR_F_bc017_R1.fastq.gz,0.7905405,0.2094595
DO_PCR_R_bc002_PCR_F_bc018_R1.fastq.gz,0.6864047,0.3135953
DO_PCR_R_bc002_PCR_F_bc019_R1.fastq.gz,0.8691275,0.1308725
DO_PCR_R_bc002_PCR_F_bc020_R1.fastq.gz,0.92211183,0.07788817
DO_PCR_R_bc002_PCR_F_bc021_R1.fastq.gz,0.94927483,0.05072517
DO_PCR_R_bc002_PCR_F_bc022_R1.fastq.gz,0.8611047,0.1388953
DO_PCR_R_bc003_PCR_F_bc001_R1.fastq.gz,0.9593937,0.0406063
DO_PCR_R_bc003_PCR_F_bc002_R1.fastq.gz,0.6651535,0.3348465
DO_PCR_R_bc003_PCR_F_bc003_R1.fastq.gz,0.8824777,0.1175223
DO_PCR_R_bc003_PCR_F_bc004_R1.fastq.gz,0.7193741,0.2806259
DO_PCR_R_bc003_PCR_F_bc005_R1.fastq.gz,0.7952772,0.2047228
DO_PCR_R_bc003_PCR_F_bc006_R1.fastq.gz,0.6522712,0.3477288
DO_PCR_R_bc003_PCR_F_bc007_R1.fastq.gz,0.93420673,0.06579327
DO_PCR_R_bc003_PCR_F_bc008_R1.fastq.gz,0.5646303,0.4353697
DO_PCR_R_bc003_PCR_F_bc009_R1.fastq.gz,0.824719,0.175281
DO_PCR_R_bc003_PCR_F_bc010_R1.fastq.gz,0.8501648,0.1498352
DO_PCR_R_bc003_PCR_F_bc011_R1.fastq.gz,0.6520902,0.3479098
DO_PCR_R_bc003_PCR_F_bc012_R1.fastq.gz,0.8560869,0.1439131
DO_PCR_R_bc003_PCR_F_bc013_R1.fastq.gz,0.6042713,0.3957287
DO_PCR_R_bc003_PCR_F_bc014_R1.fastq.gz,0.5319705,0.4680295
DO_PCR_R_bc003_PCR_F_bc015_R1.fastq.gz,0.7420777,0.2579223
DO_PCR_R_bc003_PCR_F_bc016_R1.fastq.gz,0.98195603,0.01804397
DO_PCR_R_bc003_PCR_F_bc017_R1.fastq.gz,0.8252033,0.1747967
DO_PCR_R_bc003_PCR_F_bc018_R1.fastq.gz,0.9993190102,0.0006809898
DO_PCR_R_bc003_PCR_F_bc019_R1.fastq.gz,0.8396857,0.1603143
