"","bcComboNum","Forward","Reverse","libPrepBy","Sample.ID","Target","PCR.ng.per.uL","libPrepNotes","unq.id","sequenced","Extraction.Date","Date.Collected","Starting.depth..cm.","Tree","Depth.cm","RNA.ng.uL","DNA.ng.uL","Soil.Mass..g.","X20uL.RNA.DILUTION.2ng.uL","X20uL.DNA.Dilution.2ng.uL","Letter.in.Batch","RNA.PCR.Water.to.be.Added.","DNA.PCR.Water.to.be.added.","X","cDNA.conc..ng.uL","uL.of.cDNA.to.input","Final.Input.ng","nucleicAcid-box","nucleicAcid"
"21",21,"PCR_F_bc021","PCR_R_bc001","Nate","D20-R","ITS",6.96,"","D20-R-ITS","yes","9/29/2023","260523",15,"T05","15-22.5",7.58,45.6,2,"5.277044855",0.8771929825,"A","","","",0.27,5,1.35,"DO.RNA.Box.ID","R"
"22",22,"PCR_F_bc022","PCR_R_bc001","Nate","D21-R","ITS",1.748,"","D21-R-ITS","yes","10/24/23","200523",0,"T03","0-7.5",40.8,41,1.99,"0.9803921569",0.9756097561,"A","100uL","250uL","",0.79,2,1.58,"DO.RNA.Box.ID","R"
"23",23,"PCR_F_bc001","PCR_R_bc002","Nate","D22-R","ITS",NA,"","D22-R-ITS","no","10/24/23","220523",15,"T04","15-22.5",25.2,35.8667,2.03,"1.587301587",1.115240599,"C","","100uL","",0.356,3,1.068,"DO.RNA.Box.ID","R"
"24",24,"PCR_F_bc002","PCR_R_bc002","Nate","D23-R","ITS",NA,"","D23-R-ITS","no","10/24/23","200523",30,"T03","30-37.5",4.72,43.8,2.11,"8.474576271",0.9132420091,"D","","50uL","",0.0876,7,0.6132,"DO.RNA.Box.ID","R"
"25",25,"PCR_F_bc003","PCR_R_bc002","Nate","D24-R","ITS",0.546,"","D24-R-ITS","yes","10/25/23","220523",0,"T04","0-7.5",26.2,36.4,1.99,"1.526717557",1.098901099,"A","","","",0.43,3,1.29,"DO.RNA.Box.ID","R"
"26",26,"PCR_F_bc004","PCR_R_bc002","Nate","D25-R","ITS",NA,"","D25-R-ITS","no","10/25/23","260523",22.5,"T05","22.5-30",19.1,34.4,2.11,"2.094240838",1.162790698,"C","","150uL","",0.368,3,1.104,"DO.RNA.Box.ID","R"
"27",27,"PCR_F_bc005","PCR_R_bc002","Nate","D26-R","ITS",NA,"","D26-R-ITS","no","10/31/23","280523",7.5,"T06","7.5-15",23.4,38.2,2.06,"1.709401709",1.047120419,"B","","50uL","",1.1,1,1.1,"DO.RNA.Box.ID","R"
"28",28,"PCR_F_bc006","PCR_R_bc002","Nate","D27-R","ITS",0.53,"","D27-R-ITS","yes","10/31/23","80523",15,"T02","15-22.5",36.2,34,2.09,"1.104972376",1.176470588,"A","","250uL","",0.608,3,1.824,"DO.RNA.Box.ID","R"
"29",29,"PCR_F_bc007","PCR_R_bc002","Nate","D28-R","ITS",NA,"","D28-R-ITS","no","10/31/23","80523",37.5,"T02","37.5-45",10.6,0.806,2.1,"3.773584906",49.62779156,"C","RNA good/not DNA",", DNA Mixed with another sample","",0.36,3,1.08,"DO.RNA.Box.ID","R"
"30",30,"PCR_F_bc008","PCR_R_bc002","Nate","D30-R","ITS",0,"","D30-R-ITS","no","9/29/23","PCR WATER",NA,"","",NA,NA,NA,"",NA,"D","","","",0,1,0,"DO.RNA.Box.ID","R"
