"","bcComboNum","Forward","Reverse","libPrepBy","Sample.ID","Target","PCR.ng.per.uL","libPrepNotes","unq.id","sequenced","Extraction.Date","Date.Collected","Starting.depth..cm.","Tree","Depth.cm","RNA.ng.uL","DNA.ng.uL","Soil.Mass..g.","X20uL.RNA.DILUTION.2ng.uL","X20uL.DNA.Dilution.2ng.uL","Letter.in.Batch","RNA.PCR.Water.to.be.Added.","DNA.PCR.Water.to.be.added.","X","cDNA.conc..ng.uL","uL.of.cDNA.to.input","Final.Input.ng","nucleicAcid-box","nucleicAcid"
"89",86,"PCR_F_bc020","PCR_R_bc004","Nate","D22-R","16S",0.214,"","D22-R-16S","yes","10/24/23","220523",15,"T04","15-22.5",25.2,35.8667,2.03,"1.587301587",1.115240599,"C","","100uL","",0.356,3,1.068,"DO.RNA.Box.ID","R"
"90",87,"PCR_F_bc021","PCR_R_bc004","Nate","D23-R","16S",0.73,"","D23-R-16S","yes","10/24/23","200523",30,"T03","30-37.5",4.72,43.8,2.11,"8.474576271",0.9132420091,"D","","50uL","",0.0876,7,0.6132,"DO.RNA.Box.ID","R"
"91",88,"PCR_F_bc022","PCR_R_bc004","Nate","D24-R","16S",2.44,"","D24-R-16S","yes","10/25/23","220523",0,"T04","0-7.5",26.2,36.4,1.99,"1.526717557",1.098901099,"A","","","",0.43,3,1.29,"DO.RNA.Box.ID","R"
"92",89,"PCR_F_bc001","PCR_R_bc005","Nate","D25-R","16S",0.161,"","D25-R-16S","yes","10/25/23","260523",22.5,"T05","22.5-30",19.1,34.4,2.11,"2.094240838",1.162790698,"C","","150uL","",0.368,3,1.104,"DO.RNA.Box.ID","R"
"93",90,"PCR_F_bc002","PCR_R_bc005","Nate","D26-R","16S",NA,"","D26-R-16S","no","10/31/23","280523",7.5,"T06","7.5-15",23.4,38.2,2.06,"1.709401709",1.047120419,"B","","50uL","",1.1,1,1.1,"DO.RNA.Box.ID","R"
"94",91,"PCR_F_bc003","PCR_R_bc005","Nate","D27-R","16S",3.28,"","D27-R-16S","yes","10/31/23","80523",15,"T02","15-22.5",36.2,34,2.09,"1.104972376",1.176470588,"A","","250uL","",0.608,3,1.824,"DO.RNA.Box.ID","R"
"95",92,"PCR_F_bc004","PCR_R_bc005","Nate","D28-R","16S",0.278,"","D28-R-16S","yes","10/31/23","80523",37.5,"T02","37.5-45",10.6,0.806,2.1,"3.773584906",49.62779156,"C","RNA good/not DNA",", DNA Mixed with another sample","",0.36,3,1.08,"DO.RNA.Box.ID","R"
"96",93,"PCR_F_bc005","PCR_R_bc005","Nate","D30-R","16S",0,"","D30-R-16S","no","9/29/23","PCR WATER",NA,"","",NA,NA,NA,"",NA,"D","","","",0,1,0,"DO.RNA.Box.ID","R"
"97",94,"PCR_F_bc006","PCR_R_bc005","Nate","D33-D","16S",12.84,"","D33-D-16S","yes","8/22/23","260523",0,"T05","0-7.5",34.6,35,2.1,"1.156069364",1.142857143,"B","50uL","150uL","",3.7,1,3.7,"DO.DNA.Box.ID","D"
"98",95,"PCR_F_bc007","PCR_R_bc005","Nate","D34-D","16S",6.48,"","D34-D-16S","yes","8/22/23","290523",15,"T07","15-22.5",9.12,18.9,2.1,"4.385964912",2.116402116,"C","","","",0.494,3,1.482,"DO.DNA.Box.ID","D"
"99",96,"PCR_F_bc008","PCR_R_bc005","Nate","D35-D","16S",5.82,"","D35-D-16S","yes","8/30/23","290523",0,"T07","0-7.5",32.7,31.13,2,"1.22324159",1.284934147,"A","50uL","100uL","",2.2,1,2.2,"DO.DNA.Box.ID","D"
"100",97,"PCR_F_bc009","PCR_R_bc005","Nate","D36-D","16S",8.44,"","D36-D-16S","yes","8/30/23","80523",22.5,"T02","22.5-30",26.3,41.429,2,"1.520912548",0.9655072534,"D","50uL","300uL","",2.12,1,2.12,"DO.DNA.Box.ID","D"
"101",98,"PCR_F_bc010","PCR_R_bc005","Nate","D37-D","16S",5.5,"","D37-D-16S","yes","8/30/23","200523",37.5,"T03","37.5-45",2.32,44.4,1.9,"17.24137931",0.9009009009,"B","","","",1.668,1,1.668,"DO.DNA.Box.ID","D"
"102",99,"PCR_F_bc011","PCR_R_bc005","Nate","D38-D","16S",11.78,"","D38-D-16S","yes","9/8/23","80523",0,"T02","0-7.5",38,36,1.9,"1.052631579",1.111111111,"D","100uL","100uL","",1.672,1,1.672,"DO.DNA.Box.ID","D"
"103",100,"PCR_F_bc012","PCR_R_bc005","Nate","D39-D","16S",6.04,"","D39-D-16S","yes","9/12/23","220523",7.5,"T04","7.5-15",38.55,45.33,2,"1.037613489",0.8824178248,"C","25uL","250uL","",1.512,1,1.512,"DO.DNA.Box.ID","D"
"104",101,"PCR_F_bc013","PCR_R_bc005","Nate","D40-D","16S",12.44,"","D40-D-16S","yes","9/12/23","280523",22.5,"T06","22.5-30",5.78,48.4,2,"6.920415225",0.826446281,"D","","","",0.296,5,1.48,"DO.DNA.Box.ID","D"
"105",102,"PCR_F_bc014","PCR_R_bc005","Nate","D41-D","16S",5.34,"","D41-D-16S","yes","9/12/23","80523",30,"T02","30-37.5",15.2,8.14,2.2,"2.631578947",4.914004914,"A","","","",1.034,1,1.034,"DO.DNA.Box.ID","D"
"106",103,"PCR_F_bc015","PCR_R_bc005","Nate","D42-D","16S",3.3,"","D42-D-16S","yes","9/19/2023","280523",0,"T06","0-7.5",32.2666,36.95,2.1,"1.239671983",1.082543978,"A","50uL","150uL","",2.24,1,2.24,"DO.DNA.Box.ID","D"
"107",104,"PCR_F_bc016","PCR_R_bc005","Nate","D43-D","16S",0.71,"","D43-D-16S","yes","9/19/2023","200523",22.5,"T03","22.5-30",28.2,37.333,2.1,"1.418439716",1.071438138,"C","","250uL","",0.966,1,0.966,"DO.DNA.Box.ID","D"
"108",105,"PCR_F_bc017","PCR_R_bc005","Nate","D44-D","16S",4.42,"","D44-D-16S","yes","9/19/2023","220523",30,"T04","30-37.5",0.608,6.24,1.9,"65.78947368",6.41025641,"D","Don't Dilute, just use","","DNA last of batcj",0.162,7,1.134,"DO.DNA.Box.ID","D"
"109",106,"PCR_F_bc018","PCR_R_bc005","Nate","D45-D","16S",4.86,"","D45-D-16S","yes","9/25/2023","260523",7.5,"T05","7.5-15",4.2,11.24,2.1,"9.523809524",3.558718861,"A","","","DNA",0.146,7,1.022,"DO.DNA.Box.ID","D"
"110",107,"PCR_F_bc019","PCR_R_bc005","Nate","D46-D","16S",2.94,"","D46-D-16S","yes","9/25/2023","220523",22.5,"T04","22.5-30",11.8,35,1.9,"3.389830508",1.142857143,"B","","100uL","",0.77,2,1.54,"DO.DNA.Box.ID","D"
"111",108,"PCR_F_bc020","PCR_R_bc005","Nate","D47-D","16S",2.04,"","D47-D-16S","yes","9/25/2023","280523",30,"T06","30-37.5",13.8,32.4,1.9,"2.898550725",1.234567901,"C","","100uL","",0.6,3,1.8,"DO.DNA.Box.ID","D"
"112",109,"PCR_F_bc021","PCR_R_bc005","Nate","D48-D","16S",2.24,"","D48-D-16S","yes","9/27/2023","290523",7.5,"T07","7.5-15",37.05,33.333,2.1,"1.079622132",1.200012,"A","25uL","250uL","",0.586,3,1.758,"DO.DNA.Box.ID","D"
"113",110,"PCR_F_bc022","PCR_R_bc005","Nate","D49-D","16S",1.696,"","D49-D-16S","yes","9/27/2023","200523",15,"T03","15-22.5",34.5,38.5,2,"1.15942029",1.038961039,"D","50uL","350uL","",0.594,3,1.782,"DO.DNA.Box.ID","D"
"114",111,"PCR_F_bc001","PCR_R_bc006","Nate","D50-D","16S",6.08,"","D50-D-16S","yes","9/27/2023","280523",15,"T06","15-22.5",35.8,41.3,1.9,"1.117318436",0.9685230024,"C","","50uL","",0.518,3,1.554,"DO.DNA.Box.ID","D"
"115",112,"PCR_F_bc002","PCR_R_bc006","Nate","D51-D","16S",11.82,"","D51-D-16S","yes","9/29/2023","80523",7.5,"T02","7.5-15",36.3,39,1.9,"1.101928375",1.025641026,"B","25uL","50uL","",0.396,3,1.188,"DO.DNA.Box.ID","D"
"116",113,"PCR_F_bc003","PCR_R_bc006","Nate","D52-D","16S",10.56,"","D52-D-16S","yes","9/29/2023","200523",7.5,"T03","7.5-15",28.1,42,1.9,"1.423487544",0.9523809524,"C","50uL","250uL","",0.726,2,1.452,"DO.DNA.Box.ID","D"
"117",114,"PCR_F_bc004","PCR_R_bc006","Nate","D53-D","16S",9.88,"","D53-D-16S","yes","9/29/2023","260523",15,"T05","15-22.5",7.58,45.6,2,"5.277044855",0.8771929825,"A","","","",0.27,5,1.35,"DO.DNA.Box.ID","D"
"118",115,"PCR_F_bc005","PCR_R_bc006","Nate","D54-D","16S",8.66,"","D54-D-16S","yes","10/24/23","200523",0,"T03","0-7.5",40.8,41,1.99,"0.9803921569",0.9756097561,"A","100uL","250uL","",0.79,2,1.58,"DO.DNA.Box.ID","D"
"119",116,"PCR_F_bc006","PCR_R_bc006","Nate","D55-D","16S",6.26,"","D55-D-16S","yes","10/24/23","220523",15,"T04","15-22.5",25.2,35.8667,2.03,"1.587301587",1.115240599,"C","","100uL","",0.356,3,1.068,"DO.DNA.Box.ID","D"
"120",117,"PCR_F_bc007","PCR_R_bc006","Nate","D56-D","16S",10.6,"","D56-D-16S","yes","10/24/23","200523",30,"T03","30-37.5",4.72,43.8,2.11,"8.474576271",0.9132420091,"D","","50uL","",0.0876,7,0.6132,"DO.DNA.Box.ID","D"
"121",118,"PCR_F_bc008","PCR_R_bc006","Nate","D57-D","16S",15.14,"","D57-D-16S","yes","10/25/23","220523",0,"T04","0-7.5",26.2,36.4,1.99,"1.526717557",1.098901099,"A","","","",0.43,3,1.29,"DO.DNA.Box.ID","D"
"122",119,"PCR_F_bc009","PCR_R_bc006","Nate","D58-D","16S",8.76,"","D58-D-16S","yes","10/25/23","260523",22.5,"T05","22.5-30",19.1,34.4,2.11,"2.094240838",1.162790698,"C","","150uL","",0.368,3,1.104,"DO.DNA.Box.ID","D"
"123",120,"PCR_F_bc010","PCR_R_bc006","Nate","D59-D","16S",8.08,"","D59-D-16S","yes","10/25/23","260523",30,"T05","30-37.5",0,30.7,2.09,"#DIV/0!",1.302931596,"D","","50uL","",0.692,2,1.384,"DO.DNA.Box.ID","D"
"124",121,"PCR_F_bc011","PCR_R_bc006","Nate","D60-D","16S",8.32,"","D60-D-16S","yes","10/31/23","280523",7.5,"T06","7.5-15",23.4,38.2,2.06,"1.709401709",1.047120419,"B","","50uL","",1.1,1,1.1,"DO.DNA.Box.ID","D"
"125",122,"PCR_F_bc012","PCR_R_bc006","Nate","D61-D","16S",5.42,"","D61-D-16S","yes","10/31/23","80523",15,"T02","15-22.5",36.2,34,2.09,"1.104972376",1.176470588,"A","","250uL","",0.608,3,1.824,"DO.DNA.Box.ID","D"
"126",123,"PCR_F_bc013","PCR_R_bc006","Nate","D62-D","16S",9.8,"","D62-D-16S","yes","10/31/23","280523",37.5,"T06","37.5-45",6.86,31.8,2.12,"5.83090379",1.257861635,"D","","","",0.183,5,0.915,"DO.DNA.Box.ID","D"
"127",124,"PCR_F_bc014","PCR_R_bc006","Nate","D63-D","16S",2.32,"","D63-D-16S","yes","9/29/23","PCR WATER",NA,"","",NA,NA,NA,"",NA,"D","","","",0,1,0,"DO.DNA.Box.ID","D"
"128",125,"PCR_F_bc015","PCR_R_bc006","Nate","MMC","16S",11.02,"","MMC-16S","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",126,"PCR_F_bc016","PCR_R_bc006","Nate","Negative","16S",2.4,"","Negative-16S","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",552,"PCR_F_bc024","PCR_R_bc023","Nate","D29-R","16S",0,"","D29-R-16S","no","10/31/23","280523",37.5,"T06","37.5-45",6.86,31.8,2.12,"5.83090379",1.257861635,"D","","","",0.183,5,0.915,"DO.RNA.Box.ID","R"
